,title,metadata_visibility,volume,rev_number,status_changed,eprint_status,abstract,subjects,eprintid,date_type,publisher,documents,ispublished,number,refereed,uri,full_text_status,corp_creators,lastmod,userid,datestamp,creators,issn,publication,date,dir,type,divisions,pagerange,official_url,related_url,event_location,event_title,event_dates,event_type,pres_type,id_number,place_of_pub,isbn,pages,book_title,series,referencetext,contact_email,keywords,funders,projects
0,Koreksi Gayaberat akibat Curah Hujan pada Pengukuran Gayaberatmikro antar-waktu Lapangan Panasbumi Kamojang 2006-2007,show,13.0,7,2018-06-30 05:34:01,archive,"Perubahan muka airtanah dangkal penyebab anomali gayaberat musiman. Perubahan muka airtanah berhubungan langsung dengan curah hujan, ketika curah hujan tinggi, muka airtanah naik pesat dan kemudian menurun secara gradual. Anomali gayaberat akibat musim merupakan noise yang penting untuk diperhitungkan. Perubahan muka airtanah akibat curuh hujan dihitung menggunakan persamaan empiris, dan respon gayaberatnya dihitung menggunakan pendekatan koreksi slab Bouguer tak hingga dengan memasukan faktor porositas. 
Musim penghujan di Lapangan Panasbumi Kamojang terjadi antara November-Juni dan kemarau antara Juli-Oktober. Curah hujan tinggi dalam 24 jam terjadi pada 8 Desember sebesar 75 mm. Dari perhitungan persamaan empiris didapatkan bahwa perubahan muka airtanah akibat curah hujan periode November 2006-Juni 2006 sebesar -1,502 m dan Juli 2007-Juni 2006 sebesar _0,396 m. Berdasarkan pendekatan koreksi slab Bouguer tak hingga menyebabkan anomali gayaberat antar-waktu masing-masing sebesar -18,89 mikrogal dan +5,98 mikrogal untuk porositas 30%. Perubahan muka airtanah negatif (pengurangan airtanah) menyebabkan anomali gayaberat antar-waktu negatif, dan sebaliknya. koreksi anomali gayaberat antar-waktu akibat curah hujan ini tidak boleh diabaikan karena anomali gayaberat antar-waktu pada lapangan panasbumi biasanya kecil.",['QC'],8296,published,Universitas Diponegoro,"[{'files': [{'filename': 'JURNAL BERKALA FISIKA VOL.13-2 (2010).pdf', 'hash': '8f8537d0e7f2f0160945c99e5a330514', 'hash_type': 'MD5', 'mtime': '2018-06-29 14:40:53', 'mime_type': 'application/pdf', 'fileid': 82222, 'filesize': 7035617, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/82222', 'objectid': 21344}], 'main': 'JURNAL BERKALA FISIKA VOL.13-2 (2010).pdf', 'docid': 21344, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21344', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 8296, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,2.0,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8296,public,"['Geophysical Engineering, University of Lampung']",2018-06-30 05:34:01,662,2018-06-30 05:34:01,"[{'id': 'zaenudin7209@gmail.com', 'name': {'given': 'Zaenudin', 'lineage': None, 'honourific': None, 'family': 'Ahmad'}}]",1410-9662,Berkala Fisika,2010-04-01 00:00:00.000000000,disk0/00/00/82/96,article,['FT1'],,,,,,,,,,,,,,,,,,,
1,TIME-LAPSE MICROGRAVITY UNTUK MONITORING DEFISIT MASSA RESERVOIR PANASBUMI KAMOJANG,show,16.0,12,2019-04-29 07:54:26,archive,"Geothermal field is a dynamic system. The exploitation of geothermal vapour causes change of some physical parameters, such as reservoir mass. Time-lapse microgravity method is one of the methods applied to monitor the mass defisit in Komajang geothermal field. The microgravity measurements have been done three times during 2006-2007 and the elevation change were measured with geodetic GPS. Based on the anomaly map time-lapse microgravity analysis, the mass defisit area (dry out) is shown by negative  time-lapse microgravity (-) and the addition of water mass-reservoir injection (recharge) is represented by positive time-lapse microgravity (+). The negative time-lapse microgravity anomaly is represented by negative density (-) and vice versa. The big negative anomaly in the period of July 07 - June 06 was in the west of the field, in the area of rim structure and predicted due to the well production in KMJ-22, KMJ-28, KMJ-37, KMJ-41, KMJ-42, KMJ-27 and KMJ-65. The cutlet of 3D inversion map in the depth of 1000m showed the change the negative density mass up to -0.02 - -0.04 g/cm3. This result proved that the number of injection through injection well of KMJ-35 and KMJ-46 was not effective. The positive time-lapse microgravity anomaly represents the accumulation of injection water from injection well and/or the meteoric water accumulation which run through the faults. The presence of fluid flow in the reservoir is made clear by the result of analysis of tracer injection and micro earth quake. 

Keywords: time-lapse microgravity, monitoring, mass defisit",['QE'],11116,published,FMIPA Universitas Lampung,"[{'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24113', 'pos': 1, 'format': 'text', 'files': [{'filesize': 806036, 'datasetid': 'document', 'hash': '263ad9a9c8563b06b0e6b504128bbe9d', 'filename': '239-659-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2019-04-10 02:16:36', 'mime_type': 'application/pdf', 'fileid': 101643, 'uri': 'http://repository.lppm.unila.ac.id/id/file/101643', 'objectid': 24113}], 'main': '239-659-1-PB.pdf', 'docid': 24113, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 11116}]",pub,1.0,TRUE,http://repository.lppm.unila.ac.id/id/eprint/11116,public,"['Jurusan Teknik Geofisika, Fakultas Teknik, Universitas Lampung']",2019-04-29 07:54:26,662,2019-04-29 07:54:26,"[{'id': 'zae_unila@yahoo.com', 'name': {'given': 'Zaenudin', 'family': 'Ahmad', 'honourific': None, 'lineage': None}}]",1978-1873,Jurnal Sains MIPA,2010-01-02 00:00:00.000000000,disk0/00/01/11/16,article,['FT1'],47-56,,,,,,,,,,,,,,,,,,
2,Determination of Negative Density changes in the Kamojang Geothermal Field using TimeLaPse MicrogravitY AnalYsis,show,,9,2018-06-30 05:34:03,archive,"Cround defonnations and gravity changes rvere tnesured in
order 10 study density distribution changes caused by the
production and re-injection into the Karnojang geothennal
ieseru'oir, In the last two years (2006-2007) we conducted
two elevation measuremenls, in July 2006 and July 2007 In
addition. we carried out three microgravity surveys' in June
2006, Novetrber 2006 and July 2007. The gravity stations
were located at 88 benchrnarks to cover the sunr'ey area'
From those three maps we have already made two tlmelapse rnicrogtavity anorraly change n-taps, covering the
periods ofJune-November 2006 and June 2006-Ju1y 2007'
Gravity effects due to density change in the reservotr
(caused by production/re-injection) were obtained by
coffecting the measured gravity anomalies of the
gravitational effect to vertical gtound rnovements
isubsidence) and ground waler level changes. Gravify
anomaly measured on the surface due to elevation change
has a positive value for elevation lowering (subsidence) and
the gravity change is approximately 3 pGal for 1 cm
elevation change. Graviry anomaly related to dynatnic
groundwater was corected by a stripping frlter. By using
inversion methods, a map of density distribution changes
has been produced during this period.",['QC'],8297,published,,"[{'security': 'public', 'placement': 1, 'eprintid': 8297, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 9585219, 'datasetid': 'document', 'mtime': '2018-06-29 15:01:08', 'hash_type': 'MD5', 'filename': 'PROCEEDINGS WGC 2010.pdf', 'hash': 'aa2d258f181a4aea4e0e84c15d52619e', 'fileid': 82239, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/82239', 'objectid': 21347}], 'main': 'PROCEEDINGS WGC 2010.pdf', 'docid': 21347, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21347', 'format': 'text', 'pos': 1}]",pub,,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8297,public,"['Geophysical Engineering, University of Lampung', 'Geophysical Engineering, ITB', 'Geophysical Engineering, ITB', 'Petroleum Engineering, ITB', 'Pertamina, PGE']",2018-06-30 05:34:03,662,2018-06-30 05:34:03,"[{'id': 'zaenudin7209@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Ahmad', 'given': 'Zaenudin'}}, {'id': None, 'name': {'honourific': None, 'family': 'Wawan G.A. Kadir', 'lineage': None, 'given': 'WGA Kadir'}}, {'id': None, 'name': {'given': 'DjS', 'lineage': None, 'family': 'Djoko Santoso', 'honourific': None}}, {'id': None, 'name': {'given': 'DA', 'lineage': None, 'family': 'Doddy Abdassah', 'honourific': None}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Yustin Kamah', 'given': 'YK'}}]",,Proceeding World Geothermal Congress 2010,2010-04-25 00:00:00.000000000,disk0/00/00/82/97,article,['FT1'],,,,,,,,,,,,,,,,,,,
3,"Magnetic Analysis to Determine the Permeability of a Geothermal Reservoir: Case Study of the Mt. Rajabasa Geothermal System, Lampung Selatan Indonesia",show,,8,2021-03-04 03:23:22,archive,"A magnetic survey of the Mt. Rajabasa geothermal system
has been conducted and the data were analyzed to etermine the reservoir permeability of the study area. Interpretation of magnetic anomalies for the Mt. Rajabasa
geothermal system was carried out using the IGRF. Three
dimensional modeling was used to interpret the pseudogravity anomaly. The study shows that the demagnetized rock has good correlation with reservoir permeability. Hence, this analysis suggests that demagnetized rocks occur mainly associated with high permeability in the geothermal system.",['QC'],28124,,"Proceedings World Geothermal Congress 2010 Bali, Indonesia, 25-29 April 2010","[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 28124, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42177', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/250295', 'objectid': 42177, 'filesize': 145587, 'datasetid': 'document', 'hash': 'bc5133f7470d2f0975e3593908ce48d9', 'filename': '2010WGC1344Suharno.pdf', 'mtime': '2021-02-28 07:14:24', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 250295}], 'docid': 42177, 'main': '2010WGC1344Suharno.pdf'}]",pub,,TRUE,http://repository.lppm.unila.ac.id/id/eprint/28124,public,['Universitas Lampung'],2021-03-04 03:23:22,1070,2021-03-04 03:23:22,"[{'name': {'given': 'Akroma Hidayatika', 'family': 'Akroma Hidayatika', 'honourific': None, 'lineage': None}, 'id': 'akroma.hidayatika@eng.unila.ac.id'}, {'id': 'suharno@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Suharno', 'lineage': None, 'given': 'Suharno'}}]",,"Proceedings World Geothermal Congress 2010 Bali, Indonesia, 25-29 April 2010",2010-04-25 00:00:00.000000000,disk0/00/02/81/24,article,['FT1'],,,,,,,,,,,,,,,,,,,
4,"Mathematical model of time-lapse vertical gradient microgravity measurement and its application for subsidence mass change and vertical ground movement (subsidence) identification, case strudy: Semarang Alluvial plain, Central Java, Indonesia",show,37.0,6,2020-05-26 08:57:29,archive,"Application of microgravity survey by measuring gravity change in time had been used extensively in many fields. The major causes of gravity change are mass change in reservoir including ground water level change (subsurface) and vertical ground movement (subsidence). While the observed gravity change, called as time-lapse microgravity anomaly, is as superposition of all the causes, hence how to identify each source is very important one because some of causes could have similar response. As example is increase in subsurface density shows similar gravimetric
response with that of ground subsidence. In order to distinguish this similarity, time-lapse microgravity along with its vertical gradient analysis is effective. Theoretical background of this analysis is that vertical gradient microgravity value at the surface would be constant if there is only subsidence (no subsurface mass change). Therefore, response of its timelapse vertical gradient microgravity for subsidence will be zero. In contrast, subsurface density change is identified as anomaly in both time-lapse microgravity and its vertical gradient, and the value of anomaly is proportional to the amount of subsurface density contrast (change). To
demonstrate this technique, microgravity and vertical gradient microgravity measurement were repeatedly conducted in Semarang alluvial plain area where 2 to 17 cm/year subsidence rate and 1 to 5 m/year ground water level change occurred. Their time-lapse microgravity and vertical gradient anomalies indicate existence of ground water decrease, subsidence, and combination between subsidence and tidal flood. These results were confirmed with elevation change measurement and ground water level
change from well data.",['T1'],20512,published,Puspha Publishing House,"[{'eprintid': 20512, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'PaperSarkowi-Wawan.pdf', 'docid': 33868, 'files': [{'datasetid': 'document', 'filesize': 465035, 'fileid': 192740, 'mime_type': 'application/pdf', 'mtime': '2020-05-26 05:25:17', 'hash_type': 'MD5', 'filename': 'PaperSarkowi-Wawan.pdf', 'hash': 'b6661c5ec55715c5881196c00d803114', 'objectid': 33868, 'uri': 'http://repository.lppm.unila.ac.id/id/file/192740'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33868'}]",pub,2.0,TRUE,http://repository.lppm.unila.ac.id/id/eprint/20512,public,,2020-05-26 08:57:29,816,2020-05-26 08:57:29,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Gunawan', 'given': 'Wawan'}}, {'name': {'given': 'Djoko', 'honourific': None, 'family': 'Santoso', 'lineage': None}, 'id': None}, {'id': 'sarkov323@yahoo.com', 'name': {'given': 'Muh', 'family': 'Sarkowi', 'honourific': None, 'lineage': None}}]",0972-0871,Far East Journal of Mathematical Sciences (FJMS),2010-02-01 00:00:00.000000000,disk0/00/02/05/12,article,['FT1'],181-192,http://www.pphmj.com/journals/articles/590.htm,[{'url': 'http://www.pphmj.com/journals/articles/590.htm'}],,,,,,,,,,,,,,,,
5,"Specific Characteristics of the Gravity Analysis Within the Ulubelu Geothermal System Tanggamus, Lampung Indonesia",show,,7,2020-06-12 08:45:36,archive,"Interpretation of a gravitiy survey has been carried out in the Ulubelu geothermal system. Detailed data within the geothermal system have been collected, then processed and interpreted. Density is determined by measuring the cores and cuttings and interpreted using the Parasnis and Nettleton methods. Geobodies were modeled using a three dimensional gravity inversion program. 
The gravity model shows that four specific models occur in the Ulebelu geothermal system. The caldera or graben groups outlined in the study area, are at an average dept of about 3 km below the surface. The permeable area outlined in in the survey surrounds Mt. Duduk and spreads out to the northern part of the study area.",['T1'],22357,published,,"[{'main': 'PaperWGC2010-AkromaSarkowi1343.pdf', 'docid': 35777, 'files': [{'objectid': 35777, 'uri': 'http://repository.lppm.unila.ac.id/id/file/205424', 'fileid': 205424, 'mime_type': 'application/pdf', 'mtime': '2020-06-12 06:40:33', 'hash_type': 'MD5', 'filename': 'PaperWGC2010-AkromaSarkowi1343.pdf', 'hash': 'ad9048a0a8dd60f2915d5c08c90cad91', 'datasetid': 'document', 'filesize': 905285}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35777', 'eprintid': 22357, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",pub,,TRUE,http://repository.lppm.unila.ac.id/id/eprint/22357,public,,2020-06-12 08:45:36,816,2020-06-12 08:45:36,"[{'name': {'given': 'Akroma', 'lineage': None, 'honourific': None, 'family': 'Hidayatika'}, 'id': 'akroma.hidayatika@eng.unila.ac.id'}, {'id': None, 'name': {'given': 'Supriyadi', 'lineage': None, 'family': 'Soengkono', 'honourific': None}}, {'id': 'suharno@eng.unila.ac.id', 'name': {'given': 'Suharno', 'lineage': None, 'family': 'Suharno', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Sarkowi', 'honourific': None, 'given': 'Muh'}, 'id': 'sarkov323@yahoo.com'}]",,,2010-04-01 00:00:00.000000000,disk0/00/02/23/57,conference_item,['FT1'],1-4,https://www.geothermal-energy.org/pdf/IGAstandard/WGC/2010/1343.pdf,[{'url': 'https://www.geothermal-energy.org/pdf/IGAstandard/WGC/2010/1343.pdf'}],Bali Indonesia,World Geothermal Congress 2010,25 - 29 April 2010,conference,paper,,,,,,,,,,,
6,IDENTIFIKASI STRUKTUR DAERAH PANASBUMI ULUBELU  BERDASARKAN  ANALISA DATA SVD ANOMALI BOUGUER,show,16.0,6,2020-06-12 04:21:15,archive,"Ulubelu geothermal field is situated in Lampung, southern Sumatra, Indonesia. The field is at the southern end of the Great Sumatra Fault. The field is located in high terrain. The field lies in steep terrain between 300 and 1600 m above sea level (a.s.l.). Most elevations in its central part are about 700 to 800 m (a.s.l.), the higher volcanic terrains of Mts. Rindingan, Kukusan and Sula surround it .The gravity survey was done by PT. PERTAMINA to understand the subsurface structure at Ulubelu geothermal field.Gravity data were corrected by : normal gravity, free air correction, Bouguer corrections, and terrain correction to obtained Bouguer anomaly. Low Bouguer anomaly in the North area between Mt Rindingan and Duduk. This anomaly caused of piroclastic rock  from Mt. Rindingan filling up graben in this area. Hight  Bouguer anomaly at south area at Mt. Kukusan may be caused  exixtence of high density rock which possibility become hot source in the area. Second vertical derivative Bouguer anomaly represent one of technique which can be used to get the local effect from anomali Bouguer.In this researh we used operator SVD from Elkins formulations. Map SVD anomali Bouguer of area Ulubelu show the existence of negative anomaly at Northen area betwen Mt. Rindingan and Duduk and at Southwestern area (west of Mt. Kukusan). Its indication that this area represent the graben and the fault structure NW-SE and NE-SW direction. From correlation of well data indicate that the this negative anomali represent the prospect geothermal at Ulubelu area  specially the area between Mt. Rindingan and Duduk.",['T1'],22328,,Fakultas MIPA Universitas Lampung,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35740', 'docid': 35740, 'main': 'PaperJurnalSiansMIPA2010-Ulubelu.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/205187', 'objectid': 35740, 'filesize': 458094, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-06-12 04:01:15', 'hash': 'dc2aa98e5548475787cbfa2f84a79b77', 'filename': 'PaperJurnalSiansMIPA2010-Ulubelu.pdf', 'fileid': 205187, 'mime_type': 'application/pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 22328, 'security': 'public', 'placement': 1}]",pub,2.0,TRUE,http://repository.lppm.unila.ac.id/id/eprint/22328,public,,2020-06-12 04:21:15,816,2020-06-12 04:21:15,"[{'name': {'honourific': None, 'family': 'Sarkowi', 'lineage': None, 'given': 'Muh'}, 'id': 'sarkov323@yahoo.com'}]",1978-1873,J. Sains MIPA,2010-06-06 00:00:00.000000000,disk0/00/02/23/28,article,['FT1'],111-118,http://jurnal.fmipa.unila.ac.id/sains/article/view/253/pdf,[{'url': 'http://jurnal.fmipa.unila.ac.id/sains/article/view/253/pdf'}],,,,,,http://jurnal.fmipa.unila.ac.id/sains/article/view/253/pdf,,,,,,,,,,
7,"INTERPRETASI  STRUKTUR  BAWAH  PERMUKAAN DAERAH GUNUNG 
MERBABU – MERAPI BERDASARKAN PEMODELAN 3D ANOMALI BOUGUER",show,13.0,6,2020-06-12 08:43:30,archive,"Mount Merbabu represent the volcano which keep a lot of mystery because its activity not many known by vulcanology expert. At least existing data about activity of Mount Merbabu cause the  its  activity  characteristic  not  yet  can  be  expressed  surely.  Study  [of]  about  characteristic  of Mount  Merbabu  needed  to to  learn  the  nature  of  vulcanisme  activity  so  that  action  prevetive  fall the  victim  and  disaster  mitigation  can  be  done  early  possible.    While  the  Mount  of  Merapi 
represent  the  most  active  volcano  in  the  world.  In  Its  activity,  eruption  Merapi  Mount    yield  the 
hot cloud (wedus gembel) with the temperature 3000 º C to  glide the mean reach the distance 4-5 km.
In  this  research  we  have  been  done  modeling  and  interpretation  of  Bouguer  anomaly around  Mt. Merapi and Merbabu. Result of research indicate that Mt. Merapi and Merbabu have the  negative  anomaly  which  because  of  existence    magma  chamber.  The  magma  chamber  in  Mt. 
Merapi have a convex form with the deepnes from 500 – 6000 meter from meas sea level, while the magma chamber in Mt. Merbabu have the same from but rather minimize with the deppnes magma chamber about 1000 – 4000 meter from means sea level.  Magma chamber in Mt. Merapi caontain liquid magma while the solid magma in Mt. Merbabu",['T1'],22355,published,Jurusan Fisika Fakultas MIPA Univ. Diponegoro,"[{'security': 'public', 'placement': 1, 'eprintid': 22355, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 527186, 'mime_type': 'application/pdf', 'fileid': 205409, 'hash': '9c42de7e2359dec5fad84ae7a6bd3cb1', 'filename': 'PaperSarkowi-Merbabu2010.pdf', 'mtime': '2020-06-12 06:35:17', 'hash_type': 'MD5', 'objectid': 35773, 'uri': 'http://repository.lppm.unila.ac.id/id/file/205409'}], 'main': 'PaperSarkowi-Merbabu2010.pdf', 'docid': 35773, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35773', 'format': 'text', 'pos': 1}]",pub,2.0,TRUE,http://repository.lppm.unila.ac.id/id/eprint/22355,public,,2020-06-12 08:43:30,816,2020-06-12 08:43:30,"[{'id': 'sarkov323@yahoo.com', 'name': {'lineage': None, 'family': 'Sarkowi', 'honourific': None, 'given': 'Muh'}}]",1410 - 9662,Berkala Fisika,2010-04-01 00:00:00.000000000,disk0/00/02/23/55,article,['FT1'],11-18,,[{'url': 'https://ejournal.undip.ac.id/index.php/berkala_fisika/article/view/3039/2721'}],,,,,,https://ejournal.undip.ac.id/index.php/berkala_fisika/article/view/3039/2721,,,,,,,,,,
8,Similirity Identifikasi Struktur Daerah Panasbumi Ulubelu Berdasarkan Analisa Data SVD Anomali Bouguer,show,,7,2023-05-02 07:35:43,archive,Similirity Identifikasi Struktur Daerah Panasbumi Ulubelu Berdasarkan Analisa Data SVD Anomali Bouguer,['AC'],50933,completed,Sarkowi,"[{'files': [{'mime_type': 'application/pdf', 'fileid': 548185, 'hash': '428fa484cc9ffdcdc11cb81e859394ad', 'filename': '23-SVDUlubelu.pdf', 'mtime': '2023-05-02 04:19:51', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 508387, 'objectid': 190647, 'uri': 'http://repository.lppm.unila.ac.id/id/file/548185'}], 'docid': 190647, 'main': '23-SVDUlubelu.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190647', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 50933, 'language': 'en', 'mime_type': 'application/pdf'}]",unpub,,,http://repository.lppm.unila.ac.id/id/eprint/50933,public,,2023-05-02 07:35:43,816,2023-05-02 07:35:43,"[{'name': {'given': 'Muh', 'honourific': None, 'family': 'Sarkowi', 'lineage': None}, 'id': 'muhsarkowi@gmail.com'}]",,,1970-01-01 00:00:00.000002010,disk0_bak/00/05/09/33,other,['FT1'],,,,,,,,,,,,,,,,,,,
9,Similirity Interpretasi Struktur Bawah Permukaan Daerah Gunung Merbabu – Merapi Berdasarkan Pemodelan 3D Anomali Bouguer,show,,7,2023-05-02 07:35:38,archive,Similirity Interpretasi Struktur Bawah Permukaan Daerah Gunung Merbabu – Merapi Berdasarkan Pemodelan 3D Anomali Bouguer,['AC'],50931,completed,Sarkowi,"[{'docid': 190645, 'main': '21-GravityMerbabuMerapi.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/548171', 'objectid': 190645, 'filesize': 575643, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-05-02 04:12:41', 'hash': 'f1d05531247fc6414a15b45260fdfaee', 'filename': '21-GravityMerbabuMerapi.pdf', 'fileid': 548171, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190645', 'eprintid': 50931, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",unpub,,,http://repository.lppm.unila.ac.id/id/eprint/50931,public,,2023-05-02 07:35:38,816,2023-05-02 07:35:38,"[{'name': {'family': 'Sarkowi', 'honourific': None, 'lineage': None, 'given': 'Muh'}, 'id': 'muhsarkowi@gmail.com'}]",,,1970-01-01 00:00:00.000002010,disk0_bak/00/05/09/31,other,['FT1'],,,,,,,,,,,,,,,,,,,
