,status_changed,eprint_status,abstract,subjects,title,metadata_visibility,rev_number,eprintid,date_type,corp_creators,userid,lastmod,datestamp,publisher,documents,ispublished,refereed,full_text_status,uri,type,divisions,issn,creators,publication,id_number,dir,date,number,pagerange,volume,official_url,pres_type,event_title,event_type,related_url,contributors,succeeds,event_dates,event_location,contact_email
0,2020-02-17 03:46:40,archive,"The major causes of gravity change are mass change in reservoir (subsurface) and vertcal ground movement (subsidence). While the observed gravity change, called as time-lapse microgravity anomaly, is as superposition of all the causes, hence how to identify each source is very important because some of causes could have similar response. As example is increase of subsurface density (mass) and subsidence. In order to minimaize this uncertainty, time-lapse vertical gradient microgravity associated with its time-lapse microgravity is analyzed. Microgravity ang vertical-gradient measurement has been conducted at 87 station which distributed in geothermal field of Kamojang and anlyzed to identify subsurface source. The time-lapse microgravity anomaly of June-November 2006 periode showed the anomaly value in range of -240 to 120 microgal and vertical-gradient in the range of -200 to 240 microgral. The time-lapse microgravity anomaly of June-November 2006 periode showed the anomaly value in range of -240 to 120 microgal that relate with the existance of density change in the range of -0.25 to 0.30 g/cc. This density contrast could be used as a representation of not only for fluid and pressure increase for positive density contras but also fluid and pressure decrease for negative density contrast.",['QC'],"Identifikasi Zona Perubahan Massa Bawah Permukaan dan Subsidence Dengan Metode Gayaberatmikro 4D, Gradien Vertikal Gayaberatmikro dan Inversi Linier, Studi Kasus: Lapangan Panasbumi Kamojang",show,7,17546,published,['Teknik Geofisika'],662,2020-02-17 03:46:40,2020-02-17 03:46:40,FMIPA Universitas Lampung,"[{'placement': 1, 'security': 'public', 'eprintid': 17546, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filename': 'J Sains Mipa V 13 No 2-2007.pdf', 'hash': 'a429c2fbf2ba203572b00df5a8e741df', 'hash_type': 'MD5', 'mtime': '2020-01-11 08:04:12', 'mime_type': 'application/pdf', 'fileid': 148289, 'filesize': 2275570, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/148289', 'objectid': 30674}], 'docid': 30674, 'main': 'J Sains Mipa V 13 No 2-2007.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30674', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/17546,article,['FT1'],1978-1873,"[{'name': {'family': 'Ahmad', 'honourific': None, 'lineage': None, 'given': 'Zaenudin'}, 'id': 'zaenudin7209@gmail.com'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Kadir,', 'given': 'W.G.A'}}, {'name': {'given': 'D.', 'family': 'SANTOSO,', 'honourific': None, 'lineage': None}, 'id': None}, {'id': None, 'name': {'given': 'I', 'lineage': None, 'family': 'Raharjo,', 'honourific': None}}]",Jurnal Sains MIPA,"Vol. 13, No. 2,",disk0/00/01/75/46,2007-08-01 00:00:00.000000000,,,,,,,,,,,,,
1,2019-04-29 07:54:28,archive,"Produksi uap-air pada lapangan panas bumi mengakibatkan perubahan temperatur, tekanan, dan pengurasan massa di reservoir. Pengurasan massa sebagai representasi perubahan rapat-massa atau saturasi uap-air pada zona 2-fase dapat dideteksi dengan gayaberat mikro. Anomali negatif menunjukkan pengurangan massa dan sebaliknya anomali positif menunjukkan penambahan massa dan atau subsidence. Interpretasi menggunakan anomali gayaberat mikro antar-waktu (4D) dan gradien vertikal gayaberat mikro 4D dapat mendeliniasi area-area yabng mengalami pengurangan massa atau subsidence saja atau kombinasi dari keduanya. Pengetahuan ini dapat digunakan untuk mendesain penempatan posisi sumur-sumur produksi dan reinjeksi yang tepat agar produksi uap dapat dipertahankan lama.


Kata kunci: gayaberat mikro 4D, rapat-massa, saturasi, subsidence",['QE'],Metode Gayaberat Mikro4D untuk Monitoring Lapangan Panas Bumi,show,7,11117,published,"['Jurusan Fisika FMIPA Universitas Lampung', 'Teknik Geofisika Institut Teknologi Bandung']",662,2019-04-29 07:54:28,2019-04-29 07:54:28,Fakultas MIPA Universitas Negeri Semarang,"[{'main': 'JURNAL MIPA VOL.30 (2007).pdf', 'docid': 24114, 'files': [{'hash_type': 'MD5', 'mtime': '2019-04-10 02:51:48', 'hash': '0efedb8086d05333b2991adf363bb123', 'filename': 'JURNAL MIPA VOL.30 (2007).pdf', 'fileid': 101653, 'mime_type': 'application/pdf', 'filesize': 10256566, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/101653', 'objectid': 24114}], 'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24114', 'eprintid': 11117, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'content': 'published'}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/11117,article,['FT1'],0215-9945,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Ahmad', 'given': 'Zaenudin'}, 'id': 'zaenudin7209@gmail.com'}, {'id': None, 'name': {'family': 'W.G.A.', 'honourific': None, 'lineage': None, 'given': 'Kadir'}}, {'id': None, 'name': {'given': 'Santoso', 'lineage': None, 'family': 'Djoko', 'honourific': None}}]",Jurnal MIPA,,disk0/00/01/11/17,2007-12-01 00:00:00.000000000,3.0,173-183,30.0,,,,,,,,,,
2,2022-07-07 02:42:42,archive,"The change of rocks physical characteristics caused by the natural geology activities will affect the reservoir rocks
characteristic. This change behavior has been analyzed in order to predict the early generation oil also the maturate oil. The analysis method is to define the reservoir rocks physics parameter in laboratory, such as; overburden, litology, porosity, rocks heat conductivity, temperature gradient, and heat flow. One of the alternative ways to determine the rocks 
physical parameter is to calculate the heat capacity in every different depth of well observed. The results showed the 
early model of oil generation in reservoir rocks, and will be used as the basic information to understand the oil generation 
process.","['Q1', 'QE']","ANALISIS PERUBAHAN SIFAT FISIKA BATUAN TERHADAP AWAL 
TERBENTUKNYA MINYAK BUMI PADA BATUAN RESERVOIR",show,8,43034,published,,946,2022-07-07 02:42:42,2022-07-07 02:42:42,FMIPA Universitas Lampung,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164888', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/470996', 'objectid': 164888, 'filesize': 142334, 'datasetid': 'document', 'mtime': '2022-07-06 09:29:38', 'hash_type': 'MD5', 'hash': 'b61df8c0dc0ab64e94758d7151866fe4', 'filename': '21. Plagiarism Checker X, Jurnal MIPA FMIPA Universitas Lampung, Edisi Khusus Fisika 2007, Vol. 13, No. 3, Hal 240-245.pdf', 'fileid': 470996, 'mime_type': 'application/pdf'}], 'main': '21. Plagiarism Checker X, Jurnal MIPA FMIPA Universitas Lampung, Edisi Khusus Fisika 2007, Vol. 13, No. 3, Hal 240-245.pdf', 'docid': 164888, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 43034}]",pub,,public,http://repository.lppm.unila.ac.id/id/eprint/43034,other,['FT1'],,"[{'id': 'ordasdewanto@gmail.com', 'name': {'given': 'Ordas', 'lineage': None, 'honourific': None, 'family': 'Dewanto'}}, {'id': 'arif.surtono@fmipa.unila.ac.id', 'name': {'given': 'Arif', 'honourific': None, 'family': 'Surtono', 'lineage': None}}, {'name': {'given': 'rendy', 'lineage': None, 'honourific': None, 'family': 'fatridal'}, 'id': None}]",,,disk0/00/04/30/34,1970-01-01 00:00:00.000002007,,,,https://jurnal.fmipa.unila.ac.id/sains/issue/view/28,,,,,,,,,
3,2021-08-20 01:38:10,archive,"The change of rocks physical characteristics caused by the natural geology activities will affect the reservoir rocks
characteristic. This change behavior has been analyzed in order to predict the early generation oil also the maturate oil. The analysis method is to define the reservoir rocks physics parameter in laboratory, such as; overburden, litology, porosity, rocks heat conductivity, temperature gradient, and heat flow. One of the alternative ways to determine the rocks 
physical parameter is to calculate the heat capacity in every different depth of well observed. The results showed the 
early model of oil generation in reservoir rocks, and will be used as the basic information to understand the oil generation 
process.","['Q1', 'QC', 'QE']",Analisis Perubahan Sifat Fisika Batuan Terhadap Awal Terbentuknya Minyak Bumi Pada Batuan Reservoir,show,8,33511,published,,946,2021-08-20 01:38:10,2021-08-20 01:38:10,FMIPA Universitas Lampung,"[{'files': [{'hash': '0a54a948565987ae91d93f5b463fc010', 'filename': '21. ORDAS DEWANTO,  Arif Surtono, Rendy Fatridal (297-926-1-PB),  Jurnal Sains MIPA Universitas Lampung. Edisi Khusus .pdf', 'hash_type': 'MD5', 'mtime': '2021-08-19 04:43:43', 'mime_type': 'application/pdf', 'fileid': 397479, 'filesize': 152498, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/397479', 'objectid': 153559}], 'main': '21. ORDAS DEWANTO,  Arif Surtono, Rendy Fatridal (297-926-1-PB),  Jurnal Sains MIPA Universitas Lampung. Edisi Khusus .pdf', 'docid': 153559, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153559', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 33511, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/33511,article,['FT1'],1978-1873,"[{'name': {'lineage': None, 'family': 'Dewanto', 'honourific': None, 'given': 'Ordas'}, 'id': 'ordas.dewanto@eng.unila.ac.id'}, {'id': 'arif.surtono@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Surtono', 'honourific': None, 'given': 'Arif'}}, {'id': None, 'name': {'honourific': None, 'family': 'fatridal', 'lineage': None, 'given': 'rendy'}}]","Jurnal MIPA FMIPA Universitas Lampung, Edisi Khusus Fisika 2007",,disk0/00/03/35/11,2007-06-09 00:00:00.000000000,3.0,240-245,13.0,https://jurnal.fmipa.unila.ac.id/sains/issue/view/28,,,,,,,,,
4,2021-08-18 01:17:41,archive,"Nilai temperatur di dalam suatu ruang batuan merupakan parameter yang penting dalam proses memprediksi kematangan 
hidrokarbon di dalam batuan sedimen atau karbonat, selain itu dapat digunakan juga sebagai salah satu dasar penelitian 
yang berhubungan dengan reservoar panas bumi. Riset ini memperkirakan besarnya temperatur pada masing-masing 
kedalaman, dengan syarat sumur tersebut diketahui harga temperatur permukaan dan Bore Hole Temperature (BHT) nya. 
Metode yang digunakan untuk memperkirakan nilai temperatur tersebut adalah dengan cara mengembangkan konsep dasar 
aliran panas bumi yang diharapkan dapat membantu menentukan nilai temperatur pada masing-masing kedalaman formasi, 
yaitu dengan cara pengukuran core di laboratorium dan perhitungan berdasarkan data log. Riset ini menghasilkan perkiraan 
nilai temperatur berdasarkan hasil perhitungan konduktivitas panas batuan, mempunyai nilai yang hampir sama dengan nilai 
temperatur berdasarkan hasil pengukuran konduktivitas panas batuan, untuk masing-masing formasi pada sumur minyak. 
Nilai-nilai temperatur pada sumur A-1 dengan kedalaman 6443.4 ft berkisar antara 27OC (dari permukaan) sampai 127OC 
(basement), sedangkan sumur B-1 dengan kedalaman 4606 ft berkisar antara 30OC (dari permukaan) sampai 100OC 
(basement).","['Q1', 'QC', 'QE']",ESTIMASI NILAI TEMPERATUR FORMASI PADA SUMUR MINYAK MENGGUNAKAN METODE CORE DAN LOG,show,9,33446,published,,946,2021-08-18 01:17:41,2021-08-18 01:17:41,,"[{'docid': 153197, 'main': '32. PROSIDING ORDAS DEWANTO, Seminar Hasil Penelitian & Pengabdian Kepada Masyarakat, September 2007.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 396701, 'hash': '459b03bfc2cc1eb1279d8c7f56a3503d', 'filename': '32. PROSIDING ORDAS DEWANTO, Seminar Hasil Penelitian & Pengabdian Kepada Masyarakat, September 2007.pdf', 'hash_type': 'MD5', 'mtime': '2021-08-17 12:42:00', 'datasetid': 'document', 'filesize': 1457684, 'objectid': 153197, 'uri': 'http://repository.lppm.unila.ac.id/id/file/396701'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153197', 'eprintid': 33446, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/33446,conference_item,['FT1'],,"[{'id': 'ordas.dewanto@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Dewanto', 'given': 'Ordas'}}, {'name': {'given': 'hermanto', 'honourific': None, 'family': 'hermanto', 'lineage': None}, 'id': None}]",,,disk0/00/03/34/46,2007-09-10 00:00:00.000000000,,237-245,,https://prosidingpenelitianpengabdiansep2007.000webhostapp.com/Prosiding_Penelitian_Pengabdian_Sep_2007.pdf,lecture,Seminar Hasil Penelitian dan Pengadian Kepada Masyarakat September 2007,conference,,,,,,
5,2022-07-05 02:22:19,archive,"Nilai temperatur di dalam suatu ruang batuan merupakan parameter yang penting dalam proses memprediksi kematangan hidrokarbon di dalam batuan sedimen atau karbonat, selain itu dapat digunakan juga sebagai salah satu dasar penelitian yang berhubungan dengan reservoar panas bumi.  Riset ini memperkirakan besarnya temperatur pada masing-masing kedalaman, dengan syarat sumur tersebut diketahui harga temperatur permukaan dan Bore Hole Temperature (BHT) nya.  Metode yang digunakan untuk memperkirakan nilai temperatur tersebut adalah dengan cara mengembangkan konsep dasar aliran panas bumi yang diharapkan dapat membantu menentukan nilai temperatur pada masing-masing kedalaman formasi, yaitu dengan cara pengukuran core di laboratorium dan perhitungan berdasarkan data log.  Riset ini menghasilkan perkiraan nilai temperatur berdasarkan hasil perhitungan konduktivitas panas batuan, mempunyai nilai yang hampir sama dengan nilai temperatur berdasarkan hasil pengukuran konduktivitas panas batuan, untuk masing-masing formasi pada sumur minyak.  Nilai-nilai temperatur pada sumur A-1 dengan kedalaman 6443.4 ft berkisar antara 27OC (dari permukaan) sampai 127OC (basement), sedangkan sumur B-1 dengan kedalaman 4606 ft berkisar antara 30OC  (dari  permukaan)  sampai  100OC (basement).","['Q1', 'QE']",ESTIMASI NILAI TEMPERATUR FORMASI PADA SUMUR MINYAK MENGGUNAKAN METODE CORE DAN LOG,show,8,42918,published,,946,2022-07-05 02:22:19,2022-07-05 02:22:19,"Lembaga Penelitian, Universitas Lampung","[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164702', 'docid': 164702, 'main': '32. PROSIDING ORDAS DEWANTO, Seminar Hasil Penelitian & Pengabdian Kepada Masyarakat, September 2007.pdf', 'files': [{'objectid': 164702, 'uri': 'http://repository.lppm.unila.ac.id/id/file/469952', 'mime_type': 'application/pdf', 'fileid': 469952, 'filename': '32. PROSIDING ORDAS DEWANTO, Seminar Hasil Penelitian & Pengabdian Kepada Masyarakat, September 2007.pdf', 'hash': '31c91bc52f821223f2953ba8644af272', 'hash_type': 'MD5', 'mtime': '2022-07-05 01:21:53', 'datasetid': 'document', 'filesize': 167875}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 42918, 'placement': 1, 'security': 'public'}]",pub,,public,http://repository.lppm.unila.ac.id/id/eprint/42918,other,['FT1'],,"[{'name': {'family': 'Dewanto', 'honourific': None, 'lineage': None, 'given': 'Ordas'}, 'id': 'ordasdewanto@gmail.com'}, {'name': {'given': 'hermanto', 'lineage': None, 'honourific': None, 'family': 'hermanto'}, 'id': None}]",,,disk0/00/04/29/18,2007-09-12 00:00:00.000000000,,,,https://prosidingpenelitianpengabdiansep2007.000webhostapp.com/Prosiding_Penelitian_Pengabdian_Sep_2007.pdf,,,,,,,,,
6,2022-07-22 01:04:50,archive,"Nilai temperatur di dalam suatu ruang batuan merupakan parameter yang penting dalam proses memprediksi kematangan 
hidrokarbon di dalam batuan sedimen atau karbonat, selain itu dapat digunakan juga sebagai salah satu dasar penelitian 
yang berhubungan dengan reservoar panas bumi. Riset ini memperkirakan besarnya temperatur pada masing-masing 
kedalaman, dengan syarat sumur tersebut diketahui harga temperatur permukaan dan Bore Hole Temperature (BHT) nya. 
Metode yang digunakan untuk memperkirakan nilai temperatur tersebut adalah dengan cara mengembangkan konsep dasar 
aliran panas bumi yang diharapkan dapat membantu menentukan nilai temperatur pada masing-masing kedalaman formasi, 
yaitu dengan cara pengukuran core di laboratorium dan perhitungan berdasarkan data log. Riset ini menghasilkan perkiraan 
nilai temperatur berdasarkan hasil perhitungan konduktivitas panas batuan, mempunyai nilai yang hampir sama dengan nilai 
temperatur berdasarkan hasil pengukuran konduktivitas panas batuan, untuk masing-masing formasi pada sumur minyak. 
Nilai-nilai temperatur pada sumur A-1 dengan kedalaman 6443.4 ft berkisar antara 27OC (dari permukaan) sampai 127OC 
(basement), sedangkan sumur B-1 dengan kedalaman 4606 ft berkisar antara 30OC (dari permukaan) sampai 100OC 
(basement).","['Q1', 'QE']",Estimasi Nilai Temperatur Formasi Pada Sumur Minyak Menggunakan Metode Core Dan Log,show,8,43573,,,946,2022-07-22 01:04:50,2022-07-22 01:04:50,"Lembaga Penelitian, Universitas Lampung","[{'eprintid': 43573, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '32. PROSIDING ORDAS DEWANTO, Seminar Hasil Penelitian & Pengabdian Kepada Masyarakat, September 2007.pdf', 'docid': 165518, 'files': [{'filesize': 1517447, 'datasetid': 'document', 'mtime': '2022-07-21 08:14:07', 'hash_type': 'MD5', 'hash': 'c579b480643c08e75c6780545cdd8e10', 'filename': '32. PROSIDING ORDAS DEWANTO, Seminar Hasil Penelitian & Pengabdian Kepada Masyarakat, September 2007.pdf', 'fileid': 475405, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/475405', 'objectid': 165518}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165518'}]",pub,,public,http://repository.lppm.unila.ac.id/id/eprint/43573,other,['FT1'],,"[{'name': {'lineage': None, 'family': 'Dewanto', 'honourific': None, 'given': 'Ordas'}, 'id': 'ordasdewanto@gmail.com'}, {'name': {'given': 'hermanto', 'honourific': None, 'family': 'hermanto', 'lineage': None}, 'id': None}]",,,disk0/00/04/35/73,2007-09-10 00:00:00.000000000,,,,https://prosidingpenelitianpengabdiansep2007.000webhostapp.com/Prosiding_Penelitian_Pengabdian_Sep_2007.pdf,,,,,,,,,
7,2020-06-25 01:00:55,archive,"Have been done by a research identify the structure of rock basement as long as roadway province at potency area landslide the District of Sumberjaya West Lampung, using method of resistivity of configuration Wenner-Schlumberger. The conducted to data processing use the program Res2Dinv and yield the model of rock layer which have potency to slide. Be base on to model analysis can be interpretation that geology structure of under surface at research area highly varied, consisted of the young rock volcanic sediment which mixed with the alluvium occupy the topmost position representing top soil. Hereinafter there are claystone-tuff layer, certain period the interlude by sandstone-tuff is located until deepness 20 meter. Last of more compact at the resistivity more than 250 ohm.m interpreted as basement in the form of rock andesitic at deepness more than 20 meter. Interpreted to this top soil experience of landslide in infiltration of the rains arrive which is resulted from a high level steepness store and incidence of instability effect of the infiltration rainwater. Besides existence of sandstone-tuff of below top soil layer cause the degradation to rock rigidity of effect of side by water which is because of height of the rock porosity.","['Q1', 'TA']",IDENTIFIKASI SRUKTUR BATUAN BASEMENT MENGGUNAKAN METODE RESISTIVITAS 2D SEPANJANG JALAN-LINTAS PROPINSI DI DAERAH POTENSI LONGSOR SUMBERJAYA LAMPUNG BARAT,show,8,22740,published,,642,2020-06-25 01:00:55,2020-06-25 01:00:55,LPPM Universitas Sanata Dharma,"[{'mime_type': 'text/html', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 22740, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36245', 'rev_number': 2, 'pos': 1, 'format': 'text', 'files': [{'filesize': 22133, 'datasetid': 'document', 'hash': '1101eaf8f248a9852a24a91d3f5b40e1', 'filename': 'index.html', 'hash_type': 'MD5', 'mtime': '2020-06-24 12:10:17', 'mime_type': 'text/html', 'fileid': 208700, 'uri': 'http://repository.lppm.unila.ac.id/id/file/208700', 'objectid': 36245}], 'main': 'index.html', 'docid': 36245}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/22740,article,['FT1'],1410-5888,"[{'id': 'syamsurijal.rasimeng@eng.unila.ac.id', 'name': {'given': 'Syamsurijal', 'family': 'Rasimeng', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Andius', 'family': 'Dasaputra', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'alimuddin.geofisika@eng.unila.ac.id', 'name': {'family': 'Muchtar', 'honourific': None, 'lineage': None, 'given': 'Alimuddin'}}]",Jurnal Sains dan Teknologi SIGMA,,disk0/00/02/27/40,2007-07-01 00:00:00.000000000,2.0,151-158,10.0,https://lib.atmajaya.ac.id/default.aspx?tabID=61&src=l&id=133249,,,,[{'url': 'http://repository.lppm.unila.ac.id/18893/'}],,,,,
8,2021-09-22 09:37:19,archive,"It has been done the research on the determination of land water content which has slided in a few province road sides at Sumberjaya, West Lampung. The land layers which have slided were dominated by clay-tufaan, and sand-tufaan caused by the water infiltration when it rained. The high level of the rain and difficulty in the surface topography in the area of research were the main sources of the land sliding in this area. The water content on the land which has slided was 32.745, which means that every 100 g of land contains 32.700 mm3 and has a great probability to slide again. While the province road at Wonosari Sumberjaya the level of water content was 32.72%-34.83% which is equaled to 32.720-34.830 mm3 water for every 100 g of land which has slided. In the rest area the level of water content which has slided was 29.84%-32.54% which is equaled to 29.840-32.540 mm3 water for every 100 g of land. At Sukajaya village (T4)there was 34.370 mm3 water for every 100 g of land or 34.37%.","['QE', 'TD']",PENENTUAN KADAR AIR SEBAGAI VARIABEL PENYEBAB LONGSOR PADA JALAN-LINTAS PROPINSI DI KECAMATAN SUMBERJAYA LAMPUNG BARAT,show,4,34092,published,"['Program Studi Teknik Geofisika Fakultas Teknik Universitas Lampung', 'Jurusan Sipil Fakultas Teknik Universitas Lampung', 'Program Studi Teknik Geofisika Fakultas Teknik Universitas Lampung']",642,2021-09-22 09:37:19,2021-09-22 09:37:19,Fakultas MIPA UNIVERSITAS LAMPUNG,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/154542', 'rev_number': 9, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/402401', 'objectid': 154542, 'filesize': 587807, 'datasetid': 'document', 'filename': '2007_Penentuan Kadar Air Sebagai Variabel Longsor.pdf', 'hash': '30431b253d485beebbce87abaef7026c', 'mtime': '2020-06-22 07:01:24', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 402401}], 'main': '2007_Penentuan Kadar Air Sebagai Variabel Longsor.pdf', 'docid': 154542, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'id', 'security': 'staffonly', 'placement': 1, 'eprintid': 34092}]",pub,TRUE,restricted,http://repository.lppm.unila.ac.id/id/eprint/34092,article,['FT1'],0853-733X,"[{'id': 'syamsurijal.rasimeng@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Rasimeng', 'honourific': None, 'given': 'Syamsurijal'}}, {'id': None, 'name': {'honourific': None, 'family': 'Dasaputra', 'lineage': None, 'given': 'Andius'}}, {'id': 'alimuddin.geofisika@eng.unila.ac.id', 'name': {'given': 'Alimuddin', 'lineage': None, 'honourific': None, 'family': 'Muchtar'}}]",PENENTUAN KADAR AIR SEBAGAI VARIABEL PENYEBAB LONGSOR PADA JALAN-LINTAS PROPINSI DI KECAMATAN SUMBERJAYA LAMPUNG BARAT,,disk0/00/03/40/92,1970-01-01 00:00:00.000002007,3.0,246-250,13.0,http://jurnal.fmipa.unila.ac.id/sains/article/view/298,,,,[{'url': 'http://jurnal.fmipa.unila.ac.id/sains/article/view/298'}],"[{'name': {'given': 'Syamsurijal', 'lineage': None, 'family': 'Rasimeng', 'honourific': None}, 'id': 'syamsurijal.rasimeng@eng.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': None, 'name': {'given': 'Andius', 'lineage': None, 'honourific': None, 'family': 'Dasaputra'}}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'alimuddin.geofisika@eng.unila.ac.id', 'name': {'given': 'Alimuddin', 'lineage': None, 'family': 'Alimuddin', 'honourific': None}}]",22703.0,,,
9,2023-05-22 01:06:52,archive,"The Rajabasa is one of volcano strato with level of activity type B which located in province Lampung. Existence of fluid geothermal in north caster (Sukamandi and Kecapi), south caster (Kunjir and coast Wartawan) and south-east caster (Simpur) be form of desorption of temperature dissociation energy of diatomic pickings coming from within the mount body. The geothermal fluid comes from a source interpreted as magma chamber. Resistivity methods with configuraton schlumberger done to interpret lithology of rock around district manisfestation ""Belerang Kering"" (Sukamandi). Based on result of analysis obtained layer controlling fluid flow geothermal is high porosity rock layer so that loaded by fluid geothermal. The sandstone layer lays in various depth of 3-14 meter from surface. Besides lithologi rock also occupied by clay-tuff, gravel, and volcano deposit as top soil. While below sandstone layer there is rock layer which more compact (andesitic-basaltic?) as basement rock.",['TN'],Penentuan Lithologi Batuan Bawah Permukaan Menggunakan Metode Resistivitas Sounding di Daerah Prospek Geothermal Gunung Rajabasa,show,7,51931,published,"['Jurusan Teknik Geofisika Fakultas Teknik Universitas Lampung', 'Jurusan Teknik Geofisika Fakultas Teknik Universitas Lampung', 'Jurusan Teknik Mesin Fakultas Teknik Universitas Lampung']",569,2023-05-22 01:06:52,2023-05-22 01:06:52,,"[{'docid': 251201, 'main': 'Penentuan Lithologi Batuan Bawah Permukaan Menggunakan Metode Resistivitas Sounding.pdf', 'files': [{'datasetid': 'document', 'filesize': 2522990, 'fileid': 615304, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-05-21 10:36:40', 'hash': '4cfe2514099f50c7ab0f10645703b410', 'filename': 'Penentuan Lithologi Batuan Bawah Permukaan Menggunakan Metode Resistivitas Sounding.pdf', 'objectid': 251201, 'uri': 'http://repository.lppm.unila.ac.id/id/file/615304'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251201', 'rev_number': 1, 'eprintid': 51931, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/51931,conference_item,['FT1'],,"[{'id': 'syamsurijal.rasimeng@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Rasimeng', 'honourific': None, 'given': 'Syamsurijal'}}, {'name': {'honourific': None, 'family': 'Haerudin', 'lineage': None, 'given': 'Nandi'}, 'id': 'nandi.haerudin@eng.unila.ac.id'}, {'id': 'harmen.1969@eng.unila.ac.id', 'name': {'family': 'Harmen', 'honourific': None, 'lineage': None, 'given': 'Harmen'}}]",,,disk0_bak/00/05/19/31,2007-09-01 00:00:00.000000000,,135-140,,,paper,Seminar Nasional Hasil Penelitian dan Pengabdian Masyarakat Universitas Lampung 2007,conference,,,,September 2007,Bandar Lampung,
