,ispublished,documents,publisher,full_text_status,uri,refereed,lastmod,userid,datestamp,publication,creators,issn,dir,type,divisions,title,rev_number,metadata_visibility,eprint_status,status_changed,subjects,abstract,eprintid,official_url,id_number,corp_creators,related_url,pagerange,pres_type,event_title,date_type,event_location,event_dates,event_type,number,volume,book_title,contributors,contact_email,succeeds,isbn,editors,pages,place_of_pub
0,pub,"[{'files': [{'datasetid': 'document', 'filesize': 555190, 'mime_type': 'application/pdf', 'fileid': 371449, 'hash': 'daa08c66c97ac5014420b7b40d83acac', 'filename': 'Efektivitas Roadmap Program CSR Pada PT IPC II Tahun 2018-2020.pdf', 'mtime': '2021-05-30 04:52:58', 'hash_type': 'MD5', 'objectid': 141675, 'uri': 'http://repository.lppm.unila.ac.id/id/file/371449'}], 'main': 'Efektivitas Roadmap Program CSR Pada PT IPC II Tahun 2018-2020.pdf', 'docid': 141675, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141675', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 31355, 'mime_type': 'application/pdf', 'language': 'en'}]",Jurusan Administrasi Negara,public,http://repository.lppm.unila.ac.id/id/eprint/31355,TRUE,2021-05-30 15:30:32,63,2021-05-30 15:30:32,"Administrativa: Jurnal Birokrasi, Kebijakan dan Pelayanan Publik","[{'id': None, 'name': {'given': 'Helvivi', 'lineage': None, 'family': 'Anggriyani', 'honourific': None}}, {'id': 'intan.fitri@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Meutia', 'given': 'Intan Fitri'}}, {'name': {'given': 'Devi', 'lineage': None, 'family': 'Yulianti', 'honourific': None}, 'id': 'devi.yulianti@fisip.unila.ac.id'}]",2714-7673,disk0/00/03/13/55,article,['FISIP2'],"EFEKTIVITAS ROADMAP PROGRAM CORPORATE SOCIAL RESPONBILITY
(CSR) PADA IPC II (INDONESIA PORT CORPORATION) PADA TAHUN 2018-
2020",6,show,archive,2021-05-30 15:30:32,['H1'],"Tanggung Jawab Sosial Perusahaan merupakan kewajiban yang dilakukan oleh perusahaan dan diatur dalam pasal
74 ayat (1) Undang-Undang Nomor 40 Tahun 2007 tentang Perseroan Terbatas. Tanggung jawab sosial yang
dijalankan oleh IPC di wujudkan melalui program IPC Peduli. Tujuan penelitia ini adalah untuk mengetahui
efekktivitas roadmap program CSR pada IPC II. Metode yang digunakan pada penelitian ini adalah tipe penelitian
deskriptif dengan pendekatan kualitatif. Pengumpulan data dilakukan menggunakan teknik observasi, wawancara
dan dokumentasi. hasil penelitian menunjukkan ada tiga bidang program yang menjadi focus utama CSR pada IPC
yaitu di bidang lingkungan, pendidikan dan kesehatan. Efektivitas roadmap program CSR pada IPC dapat
disimpilkan bahwa pelaksanaan nya dirasa cukup efektif pada beberapa indikator seperti ketepatan sasaran,
tercapainya tujuan dan indikator perubahan nyata. Indikator yang pelaksanaannya belum optimal tertuju pada
pemahaman terkait program CSR. Masyarakat sekitar pelabuhan panjang belum sepenuhnya memahami setiap
program CSR pada IPC karena kurangnya sosialisasi yang dilakukan oleh pihak IPC kepada masyarakat, dan
kurangnya ketepatan waktu dalam pelaksanaan kegiatan pada bidang lingkungan dan bidang kesehatan. Dalam
pelaksanaan program CSR terdapat faktor penghambat dan faktor pendukung dari aspek internal dan eksternal.",31355,,,,,,,,,,,,,,,,,,,,,
1,pub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41193', 'main': 'document (2).pdf', 'docid': 41193, 'files': [{'filesize': 560167, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-12-28 07:52:49', 'hash': 'dee221719834c070f6eed2aa990ed278', 'filename': 'document (2).pdf', 'fileid': 243529, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/243529', 'objectid': 41193}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 27181, 'placement': 1, 'security': 'public'}]",Jurusan Administrasi Negara,public,http://repository.lppm.unila.ac.id/id/eprint/27181,TRUE,2020-12-29 02:06:27,205,2020-12-29 02:06:27,"Administrativa: Jurnal Birokrasi, Kebijakan dan Pelayanan Publik","[{'id': None, 'name': {'honourific': None, 'family': 'Anom', 'lineage': None, 'given': 'Maulita Daniar'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Tresiana', 'given': 'Novita'}, 'id': 'novita.tresiana@fisip.unila.ac.id'}, {'id': 'intan.fitri@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Meutia', 'given': 'Intan Fitri'}}]",2714-7673,disk0/00/02/71/81,article,['FISIP2'],Model Pembinaan Remaja Putus Sekolah Terlantar di Provinsi Lampung (Studi Pada Uptd Pelayanan Sosial Bina Remaja (PSBR) Raden Intan Lampung),6,show,archive,2020-12-29 02:06:27,['H1'],"Berdasarkan  hasil  penelitian  menunjukkan  bahwa  model  yang  menjadi  acuan  dalam  penyelenggaraan  kegiatan pembinaan untuk remaja putus sekolah terlantar ialah Model Youth Development Program (YDP) yang memiliki 3 pendekatan,  yaitu:  Institusional  Based,  Family  Based  dan  Community.  Kesimpulan  penelitian  ini  berdasarkan analisis  yaitu  Model  Youth  Development  Program  (YDP)  yang  menjadi  acuan  diterapkan  melalui  4  program  oleh UPTD   PSBR   Raden   Intan   Lampung,   yaitu:   Program   Rehabilitasi Sosial,   Program   Jaminan   Sosial,   Program Pemberdayaan Sosial dan yang terakhir Program Perlindungan Sosial dengan harapan upaya ini dapat mengatasi masalah remaja putus sekolah terlantar khususnya di Provinsi Lampung.",27181,http://administrativa.fisip.unila.ac.id/index.php/1/article/view/36/28,https://doi.org/10.23960/administrativa.v2i2.36,,,,,,,,,,,,,,,,,,,
2,unpub,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162073', 'rev_number': 1, 'docid': 162073, 'main': 'Pelayanan Publik Berkarakter Prima Sebuah Pendekatan Teoritik.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/452939', 'objectid': 162073, 'hash': '4d93f26cc7cbab3ab55e1fee83098536', 'filename': 'Pelayanan Publik Berkarakter Prima Sebuah Pendekatan Teoritik.pdf', 'hash_type': 'MD5', 'mtime': '2022-03-29 12:46:49', 'mime_type': 'application/pdf', 'fileid': 452939, 'filesize': 728720, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 40698, 'security': 'public', 'placement': 1}]",Administrasi  Negara,public,http://repository.lppm.unila.ac.id/id/eprint/40698,,2022-03-30 01:07:01,127,2022-03-30 01:07:01,,"[{'name': {'honourific': None, 'family': 'Atika', 'lineage': None, 'given': 'Dewie'}, 'id': 'dewie.brimaatika@fisip.unila.ac.id'}]",,disk0/00/04/06/98,other,['FISIP2'],Penilaian Teman Sejawat,8,show,archive,2022-03-30 01:07:01,"['H1', 'HN']",,40698,,,['Universitas Lampung'],,,,,,,,,,,,,,,,,,
3,unpub,"[{'eprintid': 40692, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 162067, 'main': 'THE DEVELOPMENT STRATEGY OF POTENTIAL MARINE TOURISM IN LAMPUNG SELATAN FOR FACING GLOBAL TORISM COMPETITION.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/452891', 'objectid': 162067, 'filesize': 748004, 'datasetid': 'document', 'hash': 'a4ec609fb4adbe321919e52aa4e0c42b', 'filename': 'THE DEVELOPMENT STRATEGY OF POTENTIAL MARINE TOURISM IN LAMPUNG SELATAN FOR FACING GLOBAL TORISM COMPETITION.pdf', 'mtime': '2022-03-29 12:21:15', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 452891}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162067', 'rev_number': 1}]",Administrasi  Negara,public,http://repository.lppm.unila.ac.id/id/eprint/40692,,2022-03-30 01:06:49,127,2022-03-30 01:06:49,,"[{'name': {'given': 'Dewie', 'lineage': None, 'family': 'Atika', 'honourific': None}, 'id': 'dewie.brimaatika@fisip.unila.ac.id'}]",,disk0/00/04/06/92,other,['FISIP2'],Penilaian Teman Sejawat : THE DEVELOPMENT STRATEGY OF POTENTIAL MARINE TOURISM IN LAMPUNG SELATAN FOR FACING GLOBAL TORISM COMPETITION,8,show,archive,2022-03-30 01:06:49,"['H1', 'HN']",,40692,,,['Universitas Lampung'],,,,,,,,,,,,,,,,,,
4,unpub,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 40694, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162069', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/452907', 'objectid': 162069, 'filename': 'ANALISIS FAKTOR-FAKTOR PENENTU JOB STRESS TERHADAP KINERJA PEGAWAI (Studi Kasus Pegawai Badan Pengelolaan Keuangan dan Aset Daerah Kota Bandar Lampung),.pdf', 'hash': '8467bbc6c1dca5606ee1bbe7f442222c', 'mtime': '2022-03-29 12:30:46', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 452907, 'filesize': 559234, 'datasetid': 'document'}], 'main': 'ANALISIS FAKTOR-FAKTOR PENENTU JOB STRESS TERHADAP KINERJA PEGAWAI (Studi Kasus Pegawai Badan Pengelolaan Keuangan dan Aset Daerah Kota Bandar Lampung),.pdf', 'docid': 162069}]",Administrasi  Negara,public,http://repository.lppm.unila.ac.id/id/eprint/40694,,2022-03-30 01:06:54,127,2022-03-30 01:06:54,,"[{'id': 'dewie.brimaatika@fisip.unila.ac.id', 'name': {'given': 'Dewie', 'lineage': None, 'honourific': None, 'family': 'Atika'}}]",,disk0/00/04/06/94,other,['FISIP2'],Penilaian Teman Sejawat: ANALISIS FAKTOR-FAKTOR PENENTU JOB STRESS TERHADAP KINERJA PEGAWAI (Studi Kasus Pegawai Badan Pengelolaan Keuangan dan Aset Daerah Kota Bandar Lampung),8,show,archive,2022-03-30 01:06:54,"['H1', 'HN']",,40694,,,['Universitas Lampung'],,,,,,,,,,,,,,,,,,
5,unpub,"[{'files': [{'objectid': 162072, 'uri': 'http://repository.lppm.unila.ac.id/id/file/452931', 'datasetid': 'document', 'filesize': 642343, 'mime_type': 'application/pdf', 'fileid': 452931, 'filename': 'PENGARUH PEMBERDAYAAN SUMBER DAYA APARATUR TERHADAP KINERJA PEGAWAI DI BADAN PELAKSANA PENYULUHAN PERTANIAN PERIKANAN DAN KEHUTANAN (BP4K).pdf', 'hash': 'de535f715402b9ffe15ee1538198e159', 'mtime': '2022-03-29 12:41:00', 'hash_type': 'MD5'}], 'docid': 162072, 'main': 'PENGARUH PEMBERDAYAAN SUMBER DAYA APARATUR TERHADAP KINERJA PEGAWAI DI BADAN PELAKSANA PENYULUHAN PERTANIAN PERIKANAN DAN KEHUTANAN (BP4K).pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162072', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 40697, 'language': 'en', 'mime_type': 'application/pdf'}]",Administrasi  Negara,public,http://repository.lppm.unila.ac.id/id/eprint/40697,,2022-03-30 01:07:00,127,2022-03-30 01:07:00,,"[{'id': 'dewie.brimaatika@fisip.unila.ac.id', 'name': {'given': 'Dewie', 'lineage': None, 'family': 'Atika', 'honourific': None}}]",,disk0/00/04/06/97,other,['FISIP2'],Penilaian Teman Sejawat: PENGARUH PEMBERDAYAAN SUMBER DAYA APARATUR TERHADAP KINERJA PEGAWAI DI BADAN PELAKSANA PENYULUHAN PERTANIAN PERIKANAN DAN KEHUTANAN (BP4K) KABUPATEN TANGGAMUS,8,show,archive,2022-03-30 01:07:00,"['H1', 'HN']",,40697,,,['Universitas Lampung'],,,,,,,,,,,,,,,,,,
6,pub,"[{'content': 'published', 'mime_type': 'application/pdf', 'language': 'id', 'placement': 1, 'security': 'public', 'eprintid': 21374, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34771', 'rev_number': 2, 'pos': 1, 'format': 'text', 'files': [{'mtime': '2020-06-01 12:43:29', 'hash_type': 'MD5', 'filename': '348-353 Dewie Brima, Rahayu.pdf', 'hash': 'c71fc1a59bcad1540a5545d37c6fd505', 'fileid': 198668, 'mime_type': 'application/pdf', 'filesize': 475672, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/198668', 'objectid': 34771}], 'main': '348-353 Dewie Brima, Rahayu.pdf', 'docid': 34771}, {'uri': 'http://repository.lppm.unila.ac.id/id/document/34774', 'rev_number': 1, 'pos': 2, 'format': 'text', 'files': [{'objectid': 34774, 'uri': 'http://repository.lppm.unila.ac.id/id/file/198682', 'datasetid': 'document', 'filesize': 475672, 'mime_type': 'application/pdf', 'fileid': 198682, 'hash': 'c71fc1a59bcad1540a5545d37c6fd505', 'filename': '348-353 Dewie Brima, Rahayu.pdf', 'mtime': '2020-06-01 13:16:10', 'hash_type': 'MD5'}], 'main': '348-353 Dewie Brima, Rahayu.pdf', 'docid': 34774, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 2, 'security': 'public', 'eprintid': 21374}]",LEMBAGA PENELITIAN UM METRO 2019,public,http://repository.lppm.unila.ac.id/id/eprint/21374,TRUE,2020-06-02 01:02:08,127,2020-06-02 01:02:08,Prosiding Seminar Nasional Penelitian Dan Pengabdian Kepada Masyarakat Universitas Muhammadiyah Metro ke ! tahun 2019,"[{'name': {'given': 'Dewie', 'lineage': None, 'family': 'Atika', 'honourific': None}, 'id': 'dewie.brima@fisip.unila.ac.id'}, {'name': {'family': 'Sulistiowati', 'honourific': None, 'lineage': None, 'given': 'Rahayu'}, 'id': 'rahayu.sulistiowati@fisip.unila.ac.id'}, {'id': 'indrie02@gmail.com', 'name': {'lineage': None, 'family': 'Caturiani', 'honourific': None, 'given': 'Susana Indriati'}}, {'name': {'lineage': None, 'family': 'Puspawati', 'honourific': None, 'given': 'Ani Agus'}, 'id': 'ani_wardianto@yahoo.co.id'}]",978-623-90328-2-1,disk0/00/02/13/74,conference_item,['FISIP2'],"PELATIHAN TENTANG PARIWISATA BERBASIS MASYARAKAT
DI PEKON PARDASUKA, KECAMATAN PARDASUKA,
KABUPATEN PRINGSEWU",12,show,archive,2020-06-02 01:02:08,['H1'],"Tourism is currently one of the mainstay driving the village economy. The tourism
potential in a village will certainly bring economic benefits if managed properly. One model
of tourism development that is suitable to be managed in rural areas is community-based
tourism. This community-based tourism model can provide various benefits, besides
increasing income it can also support environmentally sound development, preservation of
local culture, community empowerment and even distribution of community income. Pekon
Pardasuka is one of the villages in the Pardasuka sub-district of Pringsewu district wanting
to increase the village's original income through the tourism sector but does not yet
understand how to form / develop tourism suitable to the conditions of the village, therefore a
training on community-based tourism.
Keyword: community-based tourism",21374,https://snppm.ummetro.ac.id/,,"['Lampung University', 'Lampung University', 'Lampung University', 'Lampung University']",[{'url': 'https://snppm.ummetro.ac.id/'}],348-353,paper,PROSIDING SEMINAR NASIONAL PENELITIAN DAN PENGABDIAN KEPADA MASYARAKAT UNIVERSITAS MUHAMMADIYAH METRO KE-1 TAHUN 2019,published,Universitas Muhammadiyah Metro,13 November 2019,conference,,,,,,,,,,
7,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 14918, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28039', 'docid': 28039, 'main': 'Jurnal_MKP_Unair_2018.pdf', 'files': [{'objectid': 28039, 'uri': 'http://repository.lppm.unila.ac.id/id/file/128699', 'fileid': 128699, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-01 05:56:30', 'filename': 'Jurnal_MKP_Unair_2018.pdf', 'hash': '741648e3fb2e4f35c1724c2e70a107e5', 'datasetid': 'document', 'filesize': 4005913}]}]",Universitas Airlangga,public,http://repository.lppm.unila.ac.id/id/eprint/14918,TRUE,2019-11-04 07:37:32,659,2019-11-04 07:37:32,"Masyarakat, Kebudayaan dan Politik","[{'name': {'lineage': None, 'honourific': None, 'family': 'Cahyadi', 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}, {'name': {'given': 'Dedy', 'honourific': None, 'family': 'Hermawan', 'lineage': None}, 'id': 'hermawan.dedy@yahoo.com'}]",2088-7050,disk0/00/01/49/18,article,['FISIP2'],Hasil Cek Similarity Artikel: Clientelism in Bandar Lampung’s Mayor Election 2015: A case study of Herman H. N. and M. Yusuf Kohar as candidate pair,6,show,archive,2019-11-04 07:37:32,['JF'],"Clientelism is a renewal of the patronage concept, usually referred to as patron-client in some scientific literature. Research about patron-client in the context of domestic politics, specifically in regional elections, is rarely conducted. Previous studies have mostly examined national-level elections, namely president and legislative. Therefore, this research has tried to answer the question on how the clientelism process worked during the Mayor’s Election in Bandar Lampung in 2015, particularly for candidate pair of Herman HN and M. Yusuf Kohar. This research was conducted in Bandar Lampung city from September 2016 to January 2017 as a part of the authors’ dissertation. It employs qualitative method using in-depth interview method on respondents who are related to research objects. The informants consisted of political practitioners, members of campaign teams, and academicians. The findings showed that clientelism among voters occurred during mayor election in Bandar Lampung 2015. There is a mutualism symbiosis between the incumbent candidate (Herman HN) and the voters in Mayor Election of Bandar Lampung in 2015. The voters’ votes can be influenced using the imagery portrayed by the candidates, particularly Herman HN. They can also be influenced by distributive politics or by giving what the voters’ needs through infrastructure politics (such as the construction of roads and bridges), free education, free health care, and social/religion aids. The candidate pair who won the election had different campaign teams.",14918,https://e-journal.unair.ac.id/MKP/article/view/6118,,,,,,,,,,,4.0,31.0,,,,,,,,
8,pub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189939', 'docid': 189939, 'main': '13502.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/542863', 'objectid': 189939, 'filename': '13502.pdf', 'hash': '21b2a38a2b1b90ace6215d961c421237', 'hash_type': 'MD5', 'mtime': '2023-04-11 07:28:03', 'mime_type': 'application/pdf', 'fileid': 542863, 'filesize': 247397, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 50240, 'placement': 1, 'security': 'public'}]",Kemenkumham,public,http://repository.lppm.unila.ac.id/id/eprint/50240,,2023-04-11 07:37:54,572,2023-04-11 07:37:54,,"[{'id': 'dedy.hermawan@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Dedy Hermawan', 'given': 'Dedy'}}]",,disk0_bak/00/05/02/40,other,['FISIP2'],HKI Buku: Rekomposisi Pajak Daerah Bidang Energi Dan Sumber Daya Mineral Berbasis Urusan Konkuren Pemerintah Daerah,7,show,archive,2023-04-11 07:37:54,['H1'],,50240,,,,,,,,,,,,,,,,,,,,,
9,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 50243, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/542876', 'objectid': 189941, 'filesize': 2090498, 'datasetid': 'document', 'filename': '13499.pdf', 'hash': '05dc85dd33752aa3dd4fc6eeedf4059b', 'mtime': '2023-04-11 07:29:44', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 542876}], 'main': '13499.pdf', 'docid': 189941, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189941', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Kemenkumham,public,http://repository.lppm.unila.ac.id/id/eprint/50243,,2023-04-11 07:37:56,572,2023-04-11 07:37:56,,"[{'name': {'given': 'Dedy', 'honourific': None, 'family': 'Dedy Hermawan', 'lineage': None}, 'id': 'dedy.hermawan@fisip.unila.ac.id'}]",,disk0_bak/00/05/02/43,other,['FISIP2'],HKI Program Komputer : Program Jaring Bencana,7,show,archive,2023-04-11 07:37:56,['T1'],,50243,,,,,,,,,,,,,,,,,,,,,
