,title,rev_number,metadata_visibility,status_changed,eprint_status,subjects,abstract,eprintid,ispublished,publisher,documents,full_text_status,uri,lastmod,userid,datestamp,creators,dir,type,divisions,refereed,issn,publication,corp_creators,pres_type,event_location,event_title,event_dates,event_type,number,pagerange,date_type,volume,official_url,id_number,succeeds,related_url,contributors,referencetext,keywords,place_of_pub,funders,projects
0,Similarity Check Inhibition of calcium carbonate (CaCO3) scale formation by calix [4] resorcinarene compounds,7,show,2021-11-17 06:49:48,archive,['Q1'],"Inhibition effect of tetrakis{(dimethylamino)methyl}C-methyl calix [4] resorcinarene (TDMACMKR) compound on calcium carbonate (CaCO3) scale formation has been studied using seeded experiment and bottle roller bath method. The effect of the addition TDMACMKR as inhibitor on CaCO3 scale formation was analyzed by measuring the weight of precipitation of CaCO3
formed. The morphology and particle size distribution of obtained CaCO3 crystals caused by the addition of TDMACMKR
were analyzed by scanning electron microscopy (SEM), and particle size analyzer. The data obtained show that the TDMACMKR inhibits formation of CaCO3 scale at various inhibitor concentrations added.",36922,pub,Desalination and Water Treatment,"[{'security': 'public', 'placement': 1, 'eprintid': 36922, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 157836, 'uri': 'http://repository.lppm.unila.ac.id/id/file/424149', 'datasetid': 'document', 'filesize': 2758164, 'fileid': 424149, 'mime_type': 'application/pdf', 'mtime': '2021-11-17 02:02:57', 'hash_type': 'MD5', 'filename': 'Inhibition_of_calcium_carbonate__CaCO3___scale_for.pdf', 'hash': 'fd9c5721094ca31b7c905de3a306ce60'}], 'main': 'Inhibition_of_calcium_carbonate__CaCO3___scale_for.pdf', 'docid': 157836, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157836', 'rev_number': 1, 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/36922,2021-11-17 06:49:48,920,2021-11-17 06:49:48,"[{'id': 'suharso_s@yahoo.com', 'name': {'family': '.', 'honourific': None, 'lineage': None, 'given': 'Suharso'}}, {'id': 'buhani_s@yahoo.co.id', 'name': {'given': 'Buhani', 'lineage': None, 'honourific': None, 'family': '.'}}, {'id': 'suripto.dwi@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Yuwono', 'given': 'Suripto D.'}}, {'id': 'tugiyono.1964@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Tugiyono', 'given': 'Tugiyono'}}]",disk0/00/03/69/22,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
1,Similarity Check Kemenyan (Styrax benzoin Dryand) extract as green inhibitor of calcium carbonate (CaCO3) crystallization,8,show,2021-11-16 07:15:16,archive,['Q1'],"To study the effect of kemenyan extract from Styrax benzoin Dryand resin as green inhibitor on calcium
carbonate (CaCO3) scale formation, experiment has been carried out using a bottle roller bath method at temperature of 80°C and at various growth solutions from 0.050 to 0.100 M. The extraction result of the kemenyan was characterized using Fourier transform infrared spectroscopy to identify functional
groups found in the kemenyan extract. The morphology of CaCO3
crystal obtained was analyzed using SEM and the particle size distributions of the CaCO3 crystals produced were measured by a particle size analyzer. The result of the experiment showed that kemenyan extract can be used as a green inhib-
itor of calcium carbonate scale formation. The presence of kemenyan extracts in the various growth solutions of CaCO3
0.050, 0.075, and 0.100 M gives percentage of inhibition ability from 12% to 77% in inhibiting the formation of the CaCO3 scale. The ability of the kemenyan extract to inhibit the growth rate of CaCO3 crystallization depends on amount of the inhibitor concentration added and the growth solution concentration as a crystal growth media under these experiment conditions.",36909,pub,Desalination and Water Treatment,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157827', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/424072', 'objectid': 157827, 'hash': 'ab5b45adb849622f43069515e0958b6a', 'filename': 'kemenyan__Styrax_benzoin_Dryand__extract_as_green_.pdf', 'hash_type': 'MD5', 'mtime': '2021-11-16 03:10:26', 'mime_type': 'application/pdf', 'fileid': 424072, 'filesize': 2994091, 'datasetid': 'document'}], 'docid': 157827, 'main': 'kemenyan__Styrax_benzoin_Dryand__extract_as_green_.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 36909}]",public,http://repository.lppm.unila.ac.id/id/eprint/36909,2021-11-16 07:15:16,920,2021-11-16 07:15:16,"[{'name': {'given': 'Suharso', 'family': '.', 'honourific': None, 'lineage': None}, 'id': 'suharso_s@yahoo.com'}, {'id': None, 'name': {'lineage': None, 'family': 'Sabriani', 'honourific': None, 'given': 'Novi A'}}, {'name': {'family': 'Tugiyono', 'honourific': None, 'lineage': None, 'given': 'Tugiyono'}, 'id': 'tugiyono.1964@fmipa.unila.ac.id'}, {'name': {'honourific': None, 'family': '.', 'lineage': None, 'given': 'Buhani'}, 'id': 'buhani_s@yahoo.co.id'}, {'id': 'teguh.endaryanto@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Endaryanto', 'lineage': None, 'given': 'Teguh'}}]",disk0/00/03/69/09,other,['FMIPA2'],,,,,,,,,,,,,,,,,,,,,,,
2,Uji Daya Hambat Pertumbuhan Mikroba Patogen Oleh Streptomyces sp. strain i18 Sebagai Agen Biokontrol,8,show,2022-12-05 01:44:03,archive,"['QR', 'S1']","Penyakit yang disebabkan oleh mikroba patogen telah menginfeksi makhluk hidup seperti manusia, hewan, dan tanaman. Hal ini memberikan dampak negatif bagi kesehatan manusia dan menurunkan kualitas produksi di bidang pertanian. Agen biokontrol dapat digunakan untuk mencegah infeksi yang aman dan ramah lingkungan. Penelitian ini bertujuan untuk mengetahui potensi dari bakteri Streptomyces sp. strain i18 sebagai agen biokontrol dalam menghambat pertumbuhan mikroorganisme patogen seperti Candida sp., Fusarium oxysporum, Aspergillus sp., Erwinia sp., dan Eschericia coli. Pengujian antagonis menggunakan metode swab dengan menumbuhkan bakteri patogen pada permukaan atas media Mueller Hinton Agar (MHA), kemudian Streptomyces sp. strain i18  di titik pada bagian tengah media. Indikator yang diamati adalah zona jernih yang terbentuk disekitar koloni bakteri. Hasil penelitian ini menunjukan bahwa Streptomyces sp. strain i18 memiliki aktivitas yang kuat dalam menghambat Erwinia sp. sebesar 18,33 mm, kemudian diikuti Fusarium oxysporum sebesar 17,00 mm, dan Aspergillus sp. sebesar 15,00 mm namun dikatagorikan lemah dalam menghambat pertumbuhan Candida sp. sebesar 3,33 mm. Hasil penelitian ini juga menunjukan bahwa Streptomyces sp. strain i18 tidak dapat menghambat pertumbuhan dari Eschericia coli. Bakteri Streptomyces sp. strain i18 berpotensi dijadikan agen biokontrol pertumbuhan bakteri maupun jamur patogen.",47129,pub,Muhammadiyah University Press,"[{'eprintid': 47129, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'document (2).pdf', 'docid': 186093, 'files': [{'filename': 'document (2).pdf', 'hash': 'e9d386d72111d7d3be7fe17e3ce3a588', 'hash_type': 'MD5', 'mtime': '2022-12-04 11:34:56', 'mime_type': 'application/pdf', 'fileid': 517704, 'filesize': 2819678, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/517704', 'objectid': 186093}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186093', 'rev_number': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/47129,2022-12-05 01:44:03,3262,2022-12-05 01:44:03,"[{'id': None, 'name': {'lineage': None, 'family': 'AR', 'honourific': None, 'given': 'Mesy Miranda'}}, {'name': {'given': 'Mutia Dinda', 'lineage': None, 'family': 'Lestari', 'honourific': None}, 'id': None}, {'name': {'given': ""Ulin Ni'mah"", 'lineage': None, 'honourific': None, 'family': 'Setiawati'}, 'id': None}, {'id': None, 'name': {'given': 'Endah', 'family': 'Setyaningrum', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Nismah', 'family': 'Nukmal', 'honourific': None, 'lineage': None}, 'id': 'nismah.nukmal@fmipa.unila.ac.id'}, {'name': {'given': 'Achmad', 'lineage': None, 'honourific': None, 'family': 'Arifiyanto'}, 'id': 'achmad.arifiyanto@fmipa.unila.ac.id'}, {'id': 'titik.nuraeny@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Aeny', 'honourific': None, 'given': 'Titik Nur'}}]",disk0/00/04/71/29,article,['FMIPA2'],TRUE,2527-2799,BIOEKSPERIMEN,,,,,,,,,,,,,,,,,,,,
3,"PENGARUH PEMBERIAN EKSTRAK UMBI BAWANG MERAH
(Allium cepa L.) TERHADAP PERTUMBUHAN TANAMAN
KANGKUNG (Ipomoea reptans L.)",6,show,2019-05-09 05:12:50,archive,['QK'],"The purpose of this study was to determine the effect of giving onion tuber extract to the growth of water
spinach (Ipomoea reptans L.). This research was conducted at the Laboratory of Plant Physiology,
Department of Biology, Faculty of Mathematics and Natural Sciences, University of Lampung, from
November to December 2018, using a single randomized complete design (CRD). Namely as a treatment
of shallot tuber extract (Allium cepa L.) with 5 concentration levels: 0% v / v (K0), 10% v / v (K1), 20% v
/ v (K2), 30% v / v (K3) and 40% v / v (K4). Each treatment was repeated 5 times, so the number of
experimental units was 25. The variables in this study were the number of leaves, stem length, leaf dry
weight, and chlorophyll a, b, and total. The data obtained were homogenized by Levene test. If it is
homogeneous then analyze the variance with a real level of 5%. If there is a difference between treatments,
then it is continued with an Honestly Significant Difference test (BNJ) conducted at the 5% real level. The
results showed that the concentration of shallot tuber extract was quadratic correlated with the number of
leaves and there was a significant increase in the concentration of 30% v / v. The plant height was quadratic
correlated with the concentration of shallot tuber extract and a significant increase in the concentration of
30% v / v. Dry weight was quadratic correlated with the concentration of shallot tuber extract and there
was a significant increase in the concentration of 30% v / v. The shallot tuber extract has no effect on the
content of chlorophyll a, b and total. From the results of the study it can be concluded that the shallot tuber
extract with a concentration of 30% can increase the number of leaves, plant height, and kale dry weight.",12199,submitted,Poloiteknik Negeri Lampung,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/25175', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/109006', 'objectid': 25175, 'filesize': 1411076, 'datasetid': 'document', 'mtime': '2019-05-09 04:32:28', 'hash_type': 'MD5', 'hash': '86f09a76c6e94256b89a82686982186e', 'filename': 'Ricka+.pdf', 'fileid': 109006, 'mime_type': 'application/pdf'}], 'main': 'Ricka+.pdf', 'docid': 25175, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 12199}]",public,http://repository.lppm.unila.ac.id/id/eprint/12199,2019-05-09 05:12:50,957,2019-05-09 05:12:50,"[{'id': None, 'name': {'family': 'Abidin', 'honourific': None, 'lineage': None, 'given': 'RR'}}, {'id': 'tundjungtripeni@yahoo.com', 'name': {'given': 'T.T.', 'honourific': None, 'family': 'Handayani', 'lineage': None}}, {'id': 'pangeranmetal@gmail.com', 'name': {'honourific': None, 'family': 'Zulkifli', 'lineage': None, 'given': 'Zulkifli'}}, {'id': 'sri_wahyu@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Wahyuningsih', 'given': 'S.'}}]",disk0/00/01/21/99,article,['FMIPA2'],TRUE,1410-5020,Jurnal Penelitian Pertanian Terapan,['idi'],,,,,,,,,,,,,,,,,,,
4,TEKNIK PENGAMATAN POLA PERGERAKAN GAJAH SUMATERA (Elephas maximus sumatranus) DENGAN TEKNOLOGI GPS COLLAR DI HUTAN LINDUNG REGISTER 39 KPH IX KOTA AGUNG UTARA,8,show,2018-11-19 03:07:28,archive,['Q1'],,10283,inpress,,"[{'main': 'dicky-kp jurnal fix.docx', 'docid': 23282, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/95918', 'objectid': 23282, 'hash': '730ea557031b83f0ffafa3978262d67d', 'filename': 'dicky-kp jurnal fix.docx', 'hash_type': 'MD5', 'mtime': '2018-11-18 16:56:35', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 95918, 'filesize': 1948469, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23282', 'eprintid': 10283, 'security': 'public', 'placement': 1, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/10283,2018-11-19 03:07:28,496,2018-11-19 03:07:28,"[{'id': None, 'name': {'family': 'Afrizal', 'honourific': None, 'lineage': None, 'given': 'Dicky'}}, {'id': 'ely.jazdzyk@yahoo.com', 'name': {'family': 'Rustiati', 'honourific': None, 'lineage': None, 'given': 'Elly L.'}}, {'name': {'family': 'Syahri', 'honourific': None, 'lineage': None, 'given': 'Beno Fariza'}, 'id': None}]",disk0/00/01/02/83,conference_item,['FMIPA2'],TRUE,,,,speech,"Hotel Bukit Randu, Bandar Lampung",Seminar Nasional Hasil Penelitian Tahun 2018,13 November 2018,conference,,,,,,,,,,,,,,
5,"JENIS TUMBUHAN DENGAN POTENSI DAYA SERAP KARBON TINGGI DI TAMBLING WILDLIFE NATURE CONSERVATION (TWNC), TAMAN NASIONAL
BUKIT BARISAN SELATAN",8,show,2018-11-19 03:07:34,archive,['Q1'],,10286,inpress,,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23285', 'rev_number': 2, 'main': 'Draft Makalah Seminar  SALIH Karbon FIX.pdf', 'docid': 23285, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/95944', 'objectid': 23285, 'filename': 'Draft Makalah Seminar  SALIH Karbon FIX.pdf', 'hash': '46b0c77955830cf8208d3082a37e66ef', 'hash_type': 'MD5', 'mtime': '2018-11-18 17:04:11', 'mime_type': 'application/pdf', 'fileid': 95944, 'filesize': 357685, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 10286, 'security': 'public', 'placement': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/10286,2018-11-19 03:07:34,496,2018-11-19 03:07:34,"[{'name': {'given': 'Salih', 'family': 'Alimudin', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'ely.jazdzyk@yahoo.com', 'name': {'given': 'Elly L.', 'lineage': None, 'honourific': None, 'family': 'Rustiati'}}, {'name': {'given': 'Maria Edna', 'family': 'Herawati', 'honourific': None, 'lineage': None}, 'id': None}, {'id': None, 'name': {'given': 'Akhmad', 'lineage': None, 'family': 'Basori', 'honourific': None}}]",disk0/00/01/02/86,conference_item,['FMIPA2'],TRUE,,,,speech,"Hotel Bukit Randu, Bandar Lampung",Seminar Hasil Penelitian Tahun 2018,13 November 2018,conference,,,,,,,,,,,,,,
6,"Kajian Ketahanan Anggrek Hasil Induksi Ceratorhiza Terhadap Infeksi 
ORSV Berdasarkan Analisis Klorofil",7,show,2021-11-06 02:15:30,archive,['QK'],"Indonesia has a lot of orchid species. There are about 5.000 orchid species which are very popular in 
public. The most popular and most cultivated orchids are Phalaenopsis amabilis and Dendrobium 
discolor. But the presence of pests frequently hamper the orchid cultivation, one of the pest is 
Odontoglossum ringspot virus (ORSV). ORSV can cause orchid disease in the form of necrotic 
spots, which are ring-shaped spots on the leaf surface and fractions of flower color. So, inoculation 
of Ceratorhiza as the environmentally friendly pesticide substitute was given for the prevention. 
Because of that, this study should be done to know the role of Ceratorhiza in improving the 
resilience of orchid crops. The research was done at the Botanical Laboratory, Faculty of 
Mathematics and Natural Sciences, University of Lampung. The method used in this study was a 
completely 2 factorial randomized design. The first factor is type of orchid (Phalaenopsis amabilis 
and Dendrobium discolor) and the second factor is a combination of treatments (Mycorrhizal , Virus, 
and combination Mycorrhizae-Virus ). The observed parameter was the analysis of chlorophyll 
content. Data were analyzed using ANOVA at the 5% level and further testing with the Honesty 
Significant Difference (Tukey Test) at the 5% true level. Each treatment combination was performed 
4 times for each orchid. The results showed that the inoculation of Ceratorhiza as a mycorrhiza had 
an influence on the chlorophyll content of Phalaenopsis amabilis and Dendrobium discolor.",35113,pub,,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/155881', 'rev_number': 1, 'docid': 155881, 'main': 'IJOB_2021_Volume 5, Issue 2 (2021)  page 61 - 68.pdf', 'files': [{'objectid': 155881, 'uri': 'http://repository.lppm.unila.ac.id/id/file/410612', 'datasetid': 'document', 'filesize': 458336, 'mime_type': 'application/pdf', 'fileid': 410612, 'hash': '796975b0d6ede5b87464df3aec428300', 'filename': 'IJOB_2021_Volume 5, Issue 2 (2021)  page 61 - 68.pdf', 'hash_type': 'MD5', 'mtime': '2021-11-05 13:44:15'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 35113, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/35113,2021-11-06 02:15:30,957,2021-11-06 02:15:30,"[{'id': None, 'name': {'family': 'Anggraini', 'honourific': None, 'lineage': None, 'given': 'M'}}, {'name': {'lineage': None, 'family': 'Handayani', 'honourific': None, 'given': 'T.T.'}, 'id': 'tundjungtripeni@yahoo.com'}, {'id': 'wahyu6125@yahoo.co.id', 'name': {'given': 'Sri', 'lineage': None, 'family': 'Wahyuningsih', 'honourific': None}}, {'id': 'mahfut.mipa@fmipa.unila.ac.id', 'name': {'given': 'Mahfut', 'lineage': None, 'honourific': None, 'family': 'Mahfut'}}]",disk0/00/03/51/13,article,['FMIPA2'],TRUE,,IJOBB,,,,,,,2,61-68,published,5,,,,,,,,,,
7,"Study of orchid resistance induced by ceratorhiza sp. against orsv
infection based on peroxidase activity",7,show,2021-11-06 02:15:45,archive,['QK'],"Process of orchid cultivation is often hampered by virus infections. The virus that
often infects the orchids is ORSV. Viruses that enter orchid cells and replicate will activate the 
orchid’s defense response. This defense response is characterized by the increase of peroxidase 
activity. The orchid defense response can also be activated through induced systemic resistance by 
inoculation of Ceratorhiza sp. as endophytic mycorrhizae. In this study, Factorial Complete 
Randomized Design (CRD) was used with 2 factors. The first factor isthe type of orchid 
(Phalaenopsis amabilis and Dendrobium discolor) and the second factor is the type of treatment 
(inoculation of mycorrhizae, virus, and mycorrhizae-virus). The orchid’s resistance level is 
determined by the analysis results of peroxidase activity using spectrophotometer. The results 
obtained indicate that all treatment combinations strongly influence the increase of peroxidase 
activity. Peroxidase activity of Phalaenopsis amabilis is 1.42 [(U/mg)/ min] and Dendrobium discolor
1.64 [(U/mg)/ min] in average. Peroxidase activity on Dendrobium discolor was higher than on 
Phalaenopsis amabilis. This indicates that Dendrobium discolor has a higher level of resistance 
when compared to Phalaenopsis amabilis",35116,pub,,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/155884', 'rev_number': 1, 'docid': 155884, 'main': 'Bioscience Volume 5 Number 2, 2021 pp. 102-110.pdf', 'files': [{'datasetid': 'document', 'filesize': 233436, 'fileid': 410631, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-11-05 13:51:28', 'filename': 'Bioscience Volume 5 Number 2, 2021 pp. 102-110.pdf', 'hash': 'a8e27834fcb809c2815ea0c684a314be', 'objectid': 155884, 'uri': 'http://repository.lppm.unila.ac.id/id/file/410631'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 35116, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/35116,2021-11-06 02:15:45,957,2021-11-06 02:15:45,"[{'id': None, 'name': {'honourific': None, 'family': 'Anggreiny', 'lineage': None, 'given': 'Anggi'}}, {'name': {'given': 'T.T.', 'family': 'Handayani', 'honourific': None, 'lineage': None}, 'id': 'tundjungtripeni@yahoo.com'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Mahfut', 'given': 'Mahfut'}, 'id': 'mahfut.mipa@fmipa.unila.ac.id'}, {'id': 'wahyu6125@yahoo.co.id', 'name': {'given': 'Sri', 'family': 'Wahyuningsih', 'honourific': None, 'lineage': None}}]",disk0/00/03/51/16,article,['FMIPA2'],TRUE,,Bioscience,,,,,,,,,,,,,,,,,,,,
8,"KARAKTERISASI PROTEOLITIK FUNGI ENTOMOPATOGEN
Aspergillus sp. dari KECOA Periplaneta americana",10,show,2019-11-18 07:20:47,archive,['QK'],"Periplaneta americana cockroach is an insect that becomes a vector of disease. Generally Indonesian
people control cockroaches with chemicals that are at risk of poisoning humans and are not
environmentally friendly. To reduce the risk, the steps taken are by using one biological controller with
fungi Aspergillus sp. which is entomopathogenic. The fungus used must have proteolytic activity to be
able to break down proteins which are one of the constituent compounds of the pest body. Results from
proteolytic characterization of Aspergillus sp. showed that Aspergillus sp. has proteolytic activity with a
proteolytic index of 0,708",16682,unpub,,"[{'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29762', 'format': 'archive', 'pos': 1, 'files': [{'filesize': 60005, 'datasetid': 'document', 'hash': '745354016e1979be5828d9b45124bcd4', 'filename': 'Seminar PBI-Ferly Apriliani_Universitas Lampung.pdf', 'hash_type': 'MD5', 'mtime': '2019-11-16 04:32:22', 'mime_type': 'application/pdf', 'fileid': 142036, 'uri': 'http://repository.lppm.unila.ac.id/id/file/142036', 'objectid': 29762}], 'main': 'Seminar PBI-Ferly Apriliani_Universitas Lampung.pdf', 'docid': 29762, 'content': 'accepted', 'language': 'id', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 16682}]",public,http://repository.lppm.unila.ac.id/id/eprint/16682,2019-11-18 07:20:47,957,2019-11-18 07:20:47,"[{'name': {'given': 'F', 'lineage': None, 'family': 'Apriliani', 'honourific': None}, 'id': 'ferlyapriliani6@gmail.com'}, {'id': 'emantisrosa@gmail.com', 'name': {'given': 'Emantis', 'honourific': None, 'family': 'Rosa', 'lineage': None}}, {'id': None, 'name': {'lineage': None, 'family': 'Ekowati', 'honourific': None, 'given': 'Christina Nugroho'}}, {'name': {'given': 'T.T.', 'family': 'Handayani', 'honourific': None, 'lineage': None}, 'id': 'tundjungtripeni@yahoo.com'}]",disk0/00/01/66/82,conference_item,['FMIPA2'],TRUE,,,,speech,GSG Universitas Lampung,Seminar Nasional Perhimpunan Biologi Indonesia ke 25- di Bandar Lampung pada 25-27 Agustus 2019,25-27 Oktober 2019,conference,,,,,,,,,,,,,,
9,Karakterisasi Proteolitik Fungi Entomopatogen Aspergillus sp. dari Kecoa Periplaneta americana,9,show,2020-04-23 01:58:30,archive,['QR'],"Periplaneta americana cockroach is an insect that becomes a vector of disease. Generally Indonesian people control cockroaches with chemicals that are at risk of poisoning humans and are not environmentally friendly. To reduce the risk, the steps taken are by using one biological controller with fungi Aspergillus sp. which is entomopathogenic. The fungus used must have proteolytic activity to be able to break down proteins which are one of the constituent compounds of the pest body. Results from proteolytic characterization of Aspergillus sp. showed that Aspergillus sp. has proteolytic activity with a proteolytic index of 0,708",19273,pub,,"[{'docid': 32505, 'main': 'revisi-prosiding-semnas-pbi-xxv-1-62-65.pdf', 'files': [{'objectid': 32505, 'uri': 'http://repository.lppm.unila.ac.id/id/file/161428', 'mime_type': 'application/pdf', 'fileid': 161428, 'hash': '4e34a67898ffa285d5800d779890470e', 'filename': 'revisi-prosiding-semnas-pbi-xxv-1-62-65.pdf', 'hash_type': 'MD5', 'mtime': '2020-04-22 15:26:58', 'datasetid': 'document', 'filesize': 164907}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32505', 'rev_number': 2, 'eprintid': 19273, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'id'}]",public,http://repository.lppm.unila.ac.id/id/eprint/19273,2020-04-23 01:58:30,870,2020-04-23 01:58:30,"[{'id': 'ferlyapriliani6@gmail.com', 'name': {'given': 'F', 'lineage': None, 'family': 'Apriliani', 'honourific': None}}, {'id': 'emantisrosa@gmail.com', 'name': {'given': 'Emantis', 'lineage': None, 'family': 'Rosa', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Ekowati', 'honourific': None, 'given': 'Christina Nugroho'}, 'id': None}, {'id': 'tundjungtripeni@yahoo.com', 'name': {'honourific': None, 'family': 'Handayani', 'lineage': None, 'given': 'T.T.'}}]",disk0/00/01/92/73,article,['FMIPA2'],TRUE,,Prosiding Seminar Nasional Perhimpunan Biologi Indonesia XXV,,,,,,,,,,,,,,,,,,,,
