,title,metadata_visibility,rev_number,volume,eprint_status,status_changed,abstract,subjects,eprintid,date_type,documents,ispublished,number,refereed,uri,full_text_status,lastmod,userid,datestamp,pagerange,issn,creators,publication,date,dir,type,divisions,publisher,event_location,event_title,event_dates,event_type,pres_type,corp_creators,contributors,id_number,official_url,funders,related_url,projects
0,"Efek Kuratif Pemberian Jus Buah Naga Putih (Hylocereus undatus) terhadap Motilitas, Jumlah, dan Morfologi Spermatozoa Tikus Putih (Rattus norvegicus) Jantan Galur Sprague dawley yang Diinduksi Siproteron Asetat",show,6,4,archive,2019-07-23 04:11:16,similarity,['QP'],13616,published,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26632', 'rev_number': 1, 'docid': 26632, 'main': '4. Jurnal_Agromedicine_D_Waskita_16.pdf', 'files': [{'fileid': 118908, 'mime_type': 'application/pdf', 'mtime': '2019-07-22 03:28:31', 'hash_type': 'MD5', 'hash': 'b0875ebd192e073c2ac9010442ebb15f', 'filename': '4. Jurnal_Agromedicine_D_Waskita_16.pdf', 'datasetid': 'document', 'filesize': 4807583, 'objectid': 26632, 'uri': 'http://repository.lppm.unila.ac.id/id/file/118908'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 13616, 'placement': 1, 'security': 'public'}]",pub,9,TRUE,http://repository.lppm.unila.ac.id/id/eprint/13616,public,2019-07-23 04:11:16,703,2019-07-23 04:11:16,40-46,2337-3776,"[{'id': 'hendri_busman@yahoo.com', 'name': {'honourific': None, 'family': 'Busman', 'lineage': None, 'given': 'Hendri'}}]",Medical Journal of Lampung University,1970-01-01 00:00:00.000002015,disk0/00/01/36/16,article,['FMIPA2'],,,,,,,,,,,,,
1,"Efek Kuratif Pemberian Jus Buah Naga Putih (Hylocereus undatus) terhadap Motilitas, Jumlah, dan Morfologi Spermatozoa Tikus Putih (Rattus norvegicus) Jantan Galur Sprague dawley yang Diinduksi Siproteron Asetat",show,6,,archive,2019-07-23 04:14:50,similarity,['QP'],13631,published,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 13631, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26647', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/119007', 'objectid': 26647, 'filename': '18. Jurnal_Majority_Restiko_2015.pdf', 'hash': '155a064789b72c291b2ee4584bc50a0b', 'mtime': '2019-07-22 04:52:36', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 119007, 'filesize': 2678758, 'datasetid': 'document'}], 'main': '18. Jurnal_Majority_Restiko_2015.pdf', 'docid': 26647}]",pub,,TRUE,http://repository.lppm.unila.ac.id/id/eprint/13631,public,2019-07-23 04:14:50,703,2019-07-23 04:14:50,,2337-3776,"[{'name': {'lineage': None, 'family': 'Busman', 'honourific': None, 'given': 'Hendri'}, 'id': 'hendri_busman@yahoo.com'}]",Majority,1970-01-01 00:00:00.000002015,disk0/00/01/36/31,article,['FMIPA2'],Juke Unila,,,,,,,,,,,,
2,"Efek Kuratif Pemberian Jus Buah Naga Putih (Hylocereus undatus) terhadap Motilitas, Jumlah, dan Morfologi Spermatozoa Tikus Putih (Rattus norvegicus) Jantan Galur Sprague dawley yang Diinduksi Siproteron Asetat",show,6,4,archive,2019-07-16 09:15:42,Hasil penilaian sejawat sebidang atau peer review karya ilmiah: jurnal ilmiah nasional,['QP'],13552,published,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26562', 'format': 'text', 'pos': 1, 'files': [{'objectid': 26562, 'uri': 'http://repository.lppm.unila.ac.id/id/file/118407', 'datasetid': 'document', 'filesize': 118757, 'fileid': 118407, 'mime_type': 'application/pdf', 'mtime': '2019-07-16 03:26:39', 'hash_type': 'MD5', 'hash': 'f957b1f98cd6782cb47fe8622bba6650', 'filename': 'Efek Kuratif Pemberian Jus Buah Naga Putuh Terhadap Motilitas Jumlah dan Morfologi Spermatozoa Tikus Jantan Galur Sprague Dawley.pdf'}], 'main': 'Efek Kuratif Pemberian Jus Buah Naga Putuh Terhadap Motilitas Jumlah dan Morfologi Spermatozoa Tikus Jantan Galur Sprague Dawley.pdf', 'docid': 26562, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 13552}]",pub,9,TRUE,http://repository.lppm.unila.ac.id/id/eprint/13552,public,2019-07-16 09:15:42,703,2019-07-16 09:15:42,40-46,2337-3776,"[{'id': 'hendri_busman@yahoo.com', 'name': {'family': 'Busman', 'honourific': None, 'lineage': None, 'given': 'Hendri'}}]",Jurnal Majority,2015-11-01 00:00:00.000000000,disk0/00/01/35/52,article,['FMIPA2'],Jurnal Majority FK Unila,,,,,,,,,,,,
3,POLA RESISTENSI Pseudomonas sp. DARI SAMPEL PUS TERHADAP ANTIBIOTIK DI UPTD BALAI LABORATORIUM KESEHATAN PROVINSI LAMPUNG PERIODE AGUSTUS 2014-AGUSTUS 2015,show,7,,archive,2019-07-23 04:21:46,similarity,['QP'],13649,published,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26665', 'rev_number': 1, 'docid': 26665, 'main': '33. Prosiding_Saintek_VI_Sabrina_2015_.pdf', 'files': [{'filename': '33. Prosiding_Saintek_VI_Sabrina_2015_.pdf', 'hash': '0f579e5676bf52d784a8a893b6587e5f', 'mtime': '2019-07-23 03:00:57', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 119116, 'filesize': 3296185, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119116', 'objectid': 26665}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 13649, 'placement': 1, 'security': 'public'}]",pub,,TRUE,http://repository.lppm.unila.ac.id/id/eprint/13649,public,2019-07-23 04:21:46,703,2019-07-23 04:21:46,,,"[{'name': {'given': 'Hendri', 'lineage': None, 'honourific': None, 'family': 'Busman'}, 'id': 'hendri_busman@yahoo.com'}]",,1970-01-01 00:00:00.000002015,disk0/00/01/36/49,conference_item,['FMIPA2'],,Bandar Lampung,Seminar Nasional Sains & Teknologi VI,3 November 2015,conference,paper,,,,,,,
4,POLA RESISTENSI Pseudomonas sp. DARI SAMPEL PUS TERHADAP ANTIBIOTIK DI UPTD BALAI LABORATORIUM KESEHATAN PROVINSI LAMPUNG PERIODE AGUSTUS 2014-AGUSTUS 2015,show,7,,archive,2019-07-16 09:21:52,Hasil penilaian sejawat sebidang atau peer review karya ilmiah: prosiding dan makalah yang dipresentasikan,['QP'],13574,published,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 13574, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26585', 'docid': 26585, 'main': 'Pola Resistensi Pseudomonas sp Dari Sampel PUS Terhadap Antibiotik di UPTD Balai Laboratorium Kesehatan Provinsi Lampung Agustus 2014-2015.pdf', 'files': [{'datasetid': 'document', 'filesize': 141194, 'mime_type': 'application/pdf', 'fileid': 118546, 'hash': '96a6805178063ec1504c52de79c2b03a', 'filename': 'Pola Resistensi Pseudomonas sp Dari Sampel PUS Terhadap Antibiotik di UPTD Balai Laboratorium Kesehatan Provinsi Lampung Agustus 2014-2015.pdf', 'hash_type': 'MD5', 'mtime': '2019-07-16 08:21:07', 'objectid': 26585, 'uri': 'http://repository.lppm.unila.ac.id/id/file/118546'}]}]",pub,,TRUE,http://repository.lppm.unila.ac.id/id/eprint/13574,public,2019-07-16 09:21:52,703,2019-07-16 09:21:52,706-716,,"[{'name': {'given': 'Hendri', 'lineage': None, 'honourific': None, 'family': 'Busman'}, 'id': 'hendri_busman@yahoo.com'}]",,2015-11-01 00:00:00.000000000,disk0/00/01/35/74,conference_item,['FMIPA2'],,Bandar Lampung,Seminar Nasional Sains & Teknologi VI,3 November 2015,conference,paper,,,,,,,
5,Efek Antimitosis Biomutagen dari Tanaman Kembang Sungsang (Gloriosa superba L.) pada Pembelahan Sel Ujung Akar Kecambah Cabai Merah Besar (Capsicum annuum L.),show,6,31,archive,2020-11-16 01:37:23,"Kembang sungsang (Gloriosa superba L.) merupakan salah satu tanaman yang mengandung  kolkisin di seluruh organnya.Senyawa ini sering digunakan sebagai senyawa antimitosis. Penelitian ini bertujuan untuk mendapatkan kombinasi antara jenis dan konsentrasi ekstrak G. superba yang mampu menghambat mitosis pada sel ujung akar kecambah cabai merah besar. Pembuatan ekstrak menggunakan metode ekstraksi dan metode pengenceran digunakan untuk menentukan konsentrasi perlakuan. Preparasi mitosis menggunakan metode squash. Penelitian disusun secara faktorial dalam
rancangan acak kelompok (RAK) dengan 4 ulangan. Faktor pertama, jenis ekstrak, yaitu umbi, batang
dan daun, faktor kedua, konsentrasi ekstrak daun (0, 20,40, 60, dan 80 %). Hasil pengamatan menunjukkan bahwa ekstrak daun paling mampu menghambat mitosis dibandingkan ekstrak umbi dan batang. Indeks mitosis cenderung sama pada sel yang diberi variasi konsentrasi ekstrak tetapi berbeda
nyata dengan sel yang tidak diberi perlakuan. Kombinasi antara jenis dan konsentrasi ekstrak memperlihatkan indeks mitosis yang beragam.Dari hasil tersebut dapat disimpulkan bahwa kombinasi ekstrak daun dengan konsentrasi 80 % merupakan kombinasi yang paling menghambat mitosis dengan
indeks mitosis sebesar 1,298 %.
Kata kunci :  sungsang, Gloriosa superba, mitosis, cabai merah",['QK'],25257,published,"[{'files': [{'filesize': 530074, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-11-14 19:10:21', 'hash': '3b71189d80095065bbb03558412d939a', 'filename': 'BIOSFERA eti_2014.pdf', 'fileid': 228234, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/228234', 'objectid': 39037}], 'main': 'BIOSFERA eti_2014.pdf', 'docid': 39037, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39037', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 25257, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,2,TRUE,http://repository.lppm.unila.ac.id/id/eprint/25257,public,2020-11-16 01:37:23,463,2020-11-16 01:37:23,56-60,2528-2050,"[{'id': 'mailto:etiernawiati@gmail.com', 'name': {'given': 'Eti', 'honourific': None, 'family': 'Eti Ernawiati', 'lineage': None}}, {'id': 'mailto:wahyu6125@yahoo.co.id', 'name': {'given': 'Wahyu', 'lineage': None, 'family': 'Sri Wahyuningsih', 'honourific': None}}, {'name': {'given': 'yuli', 'lineage': None, 'family': 'Yulianty', 'honourific': None}, 'id': 'yoelisoeradji@yahoo.co.id'}]",Biosfera,2015-05-01 00:00:00.000000000,disk0/00/02/52/57,article,['FMIPA2'],Fakultas biologi universitas jenderal sudirman,,,,,,,,,,,,
6,"Efek Kuratif Pemberian Jus Buah Naga Putih (Hylocereus undatus) terhadap
Motilitas, Jumlah, dan Morfologi Spermatozoa Tikus Putih (Rattus norvegicus) 
Jantan Galur Sprague dawley yang Diinduksi Siproteron Asetat",show,6,4,archive,2019-07-16 09:12:49,"Abstrak
Infertilitas adalah penyakit sistem reproduksi sebagai kegagalan mencapai kehamilan klinis setelah 12 bulan atau lebih dari
hubungan seksual tanpa kondom biasa. Infertilitas terjadi lebih dari 20% pada populasi di indonesia, dan dari kasus tersebut
terdapat 40% pada wanita, 40% pada pria dan 20% pada keduanya dan ini yang menyebabkan pasangan suami istri tidak
mendapat keturunan. Oleh karena itu, dengan tingginya tingkat kemungkinan terjadinya infertilitas pada pria, perlu dicari
obat antifertilitas yang aman dan dapat memperbaiki kualitas sperma. Salah satu alternatif adalah dengan menggunakan
suplemen jus buah naga. Penelitian ini bertujuan untuk mengetahui pengaruh pemberian suplemen jus buah naga putih
terhadap motilitas, jumlah, dan morfologi spermatozoa tikus jantan yang diinduksi siproteron asetat. Penelitian ini
menggunakan 24 tikus yang dibagi menjadi 4 kelompok. Kelompok pertama digunakan sebagai kelompok kontrol, kelompok
kedua diberikan jus buah naga putih sebanyak 1 ml selama 24 hari, kelompok ketiga diberikan induksi siproteron asetrat
dengan dosis 2 mg selama 7 hari, kelompok keempat diberikan induksi siproteron asetat 2 mg selama 7 hari terlebih dahulu
baru kemudian diberi suplemen jus buah naga putih sebanyak 1 ml selama 24 hari. Pengukuran motilitas, jumlah, dan
morfologi spermatozoa dilakukan di hari ke-32. Hasil penelitian menunjukkan bahwa jus buah naga putih dapat
meningkatkan motilitas sebesar 46,9%, jumlah 16,2%, dan morfologi 5%. Simpulan, jus buah naga putih dapat
meningkatkan motilitas, jumlah, dan morfologi spermatozoa.",['QL'],13462,published,"[{'docid': 26471, 'main': '17. Jurnal Majority Restiko 2015.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/117767', 'objectid': 26471, 'filesize': 420056, 'datasetid': 'document', 'hash': 'a48134ccc7575d79c2488253c1a6944b', 'filename': '17. Jurnal Majority Restiko 2015.pdf', 'hash_type': 'MD5', 'mtime': '2019-07-04 03:58:55', 'mime_type': 'application/pdf', 'fileid': 117767}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26471', 'eprintid': 13462, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,9,TRUE,http://repository.lppm.unila.ac.id/id/eprint/13462,public,2019-07-16 09:12:49,703,2019-07-16 09:12:49,40-46,2337-3776,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Fibullah', 'given': 'Restiko Maleo'}}, {'name': {'family': 'Sutyarso', 'honourific': None, 'lineage': None, 'given': 'Sutyarso'}, 'id': 'sutyarso@yahoo.co.id'}, {'name': {'given': 'Hendri', 'lineage': None, 'family': 'Busman', 'honourific': None}, 'id': 'hendri_busman@yahoo.com'}, {'id': 'sorayarahmanisa1204@gmail.com', 'name': {'given': 'Soraya', 'family': 'Rahmanisa', 'honourific': None, 'lineage': None}}]",Jurnal Majority,2015-12-01 00:00:00.000000000,disk0/00/01/34/62,article,['FMIPA2'],Jurnal Majority FK Unila,,,,,,,,,,,,
7,"Agrowisata Kebun Jambu Kristal Sebagai Potensi Ekonomi Alternatif Desa Penyangga Taman Nasional Way Kambas, Lampung Timur",show,9,,archive,2017-04-26 06:51:18,"Masyarakat desa yang mayoritas bermata pencaharian sebagai petani tradisional juga harus menjadi bagian yang dapat menikmati pertumbuhan ekonomi negara. Program kegiatan yang dilakukan tim Jurusan Biologi Fakultas Matematika dan Ilmu Pengetahuan Alam Universitas Lampung (FMIPA Unila) yang tergabung dalam Konsorsium AleRT-Unila adalah memberikan pendampingan kepada masyarakat desa penyangga untuk mengembangkan potensi ekonomi kreatifsebagai pendapatan alternatif warga. Pendampingan bertujuan untuk mengembangkan agrowisata jambu kristal di Dusun 8,Desa Braja Harjosari,Kecamatan Braja Selebah,Kabupaten Lampung Timur yang dapat dijadikan sebagai sumber ekonomi alternatif dan pendapatan masyarakat. Agrowisata dapat dijadikan sebagai salah satu wisata desa untuk memperkenalkan potensi sumber daya alam yang terdapat di Taman Nasional Way Kambas.",['Q1'],1555,published,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1429', 'rev_number': 1, 'main': 'Agrowisata Kebun Jambu Kristal Sebagai Potensi Ekonomi Alternatif (Haidawati, Kanedi, Priyambodo).pdf', 'docid': 1429, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/10725', 'objectid': 1429, 'filesize': 942562, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2017-04-26 04:59:41', 'hash': '17df8ac2477c63723c9ec9537855acef', 'filename': 'Agrowisata Kebun Jambu Kristal Sebagai Potensi Ekonomi Alternatif (Haidawati, Kanedi, Priyambodo).pdf', 'fileid': 10725, 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 1555, 'placement': 1, 'security': 'public'}]",pub,,TRUE,http://repository.lppm.unila.ac.id/id/eprint/1555,public,2017-04-26 06:51:19,1143,2017-04-26 06:51:08,387-395,,"[{'id': 'haida.ida7@gmail.com', 'name': {'honourific': None, 'family': 'Haidawati', 'lineage': None, 'given': 'Haidawati'}}, {'name': {'given': 'Elly L.', 'family': 'Rustiati', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'wegayendi@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Kanedi', 'given': 'M'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Priyambodo', 'given': 'Priyambodo'}, 'id': 'priyambodo@fmipa.unila.ac.id'}]",,2015-11-01 00:00:00.000000000,disk0/00/00/15/55,conference_item,['FMIPA2'],,"Emersia Hotel, Bandar Lampung",Seminar Nasional Pengabdian Kepada Masyarakat Universitas Lampung Tahun 2015,4 November 2015,conference,paper,['Jurusan Biologi FMIPA Universitas Lampung'],,,,,,
8,"Kandungan Klorofil Daun Planlet Pisang Raja Bulu (Musa
paradisiaca L. var sapientum) Hasil Seleksi In vitro terhadap Cekaman Kekeringan",show,7,,archive,2017-07-20 09:08:32,"Drought stress which occurs in plants capable of influence plant physiological conditions one of which is chlorophyll. A study of the effect of Polyethylene glycol 6000 with concentration 5%,10%,15% and 20% compared with control (0%) of chlorophyll content a, b, and total leaves of Banana raja bulu plantlets were planted in the solid medium Murashige and Skoog (MS) has been undergone . Research has been carried out in Laboratory of Tissue Culture Departement of Biology FMIPA, University of Lampung from January to March 2015. This study used a completely randomized design with 5 replications.
Data were analyzed of variance and LSD test performed at 5% significance level. Extraction and Calculation of chlorophyll was conducted by Harbourne method (1987). The solvent used was 80% acetone. The absorbance was measured with a (Shimudzu UV 800) spectrophotometer at wavelength (λ) of 646 nm and 663 nm. The results showed that the
content of chlorophyll a, b, and total plantlets of banana raja bulu leaves significantly decreased at the concentration PEG 6000 of 5%,10%,15% and 20%. This case showed that PEG 6000 capable to lower the water potential in the solid MS medium, so that plant physiological experiencing drought stress result in lower chlorophyll Content of Leaves of Banana raja bulu plantlet.",['QK'],3685,published,"[{'placement': 1, 'security': 'public', 'eprintid': 3685, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'datasetid': 'document', 'filesize': 697155, 'fileid': 25711, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-07-18 00:45:45', 'hash': 'da5be4555eec06305ae99b9be2225a04', 'filename': '12. Adi dkk kandungan klorofil daun plantet..pdf', 'objectid': 3546, 'uri': 'http://repository.lppm.unila.ac.id/id/file/25711'}], 'docid': 3546, 'main': '12. Adi dkk kandungan klorofil daun plantet..pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3546', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",pub,,TRUE,http://repository.lppm.unila.ac.id/id/eprint/3685,public,2017-07-20 09:08:32,696,2017-07-20 09:08:32,74-79,978-602-70530-1-2,"[{'id': 'adhieyrawan@gmail.com', 'name': {'lineage': None, 'family': 'Irawan', 'honourific': None, 'given': 'Adi'}}, {'id': 'endang_nurcahyani@yahoo.com', 'name': {'given': 'Endang', 'lineage': None, 'honourific': None, 'family': 'Nurcahyani'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Zulkifli', 'given': 'Zulkifli'}}]",Prosiding Seminar Nasional Swasembada Pangan Polinela Bandar Lampung,2015-04-29 00:00:00.000000000,disk0/00/00/36/85,article,['FMIPA2'],Politeknik Negeri Bandar Lampung,,,,,,"['Jurusan Biologi Fakultas MIPA Unila', 'Jurusan Biologi Fakultas MIPA Unila', 'Jurusan Biologi Fakultas MIPA Unila']","[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,
9,Kandungan Klorofil Daun Planlet Anggrek Tanah (Spathoglottis plicata Blume.) Hasil Pengimbasan Ketahanan terhadap Asam Fusarat secara In Vitro,show,6,,archive,2017-07-20 09:07:53,"Spathoglottis plicata cultivated have many constraints such as the appearance of fusarium wilt disease caused by Fusarium oxysporum. Planlet S. plicata to the F. Oxysporum were selected in the solid Vacin and Went (VW) medium was added with fusaric acid at concentrations of 10 ppm, 20 ppm, 30 ppm, and 40 ppm, compared with controls (0 ppm).  The aim of this research was to know the content of chlorophyll a, b, and total of leaves of
planlet S. plicata. The research was carried out in January to March 2015 in the Laboratory of Tissue Culture, Departement of Biology, Faculty of MIPA, Lampung
University. This study used a completely randomized design with 5 replications. Data were analyzed with the variance (Anova) and if them different will be continued by LSD test performed at 5% significance level. Chlorophyll extraction and calculation method using
Harbourne (1987) with the solvent used was 80% acetone. The absorbance was measured with a spectrophotometer (Shimudzu UV 800) at wavelength (λ) of 646 nm and 663 nm. The result showed that the content of chlorophyll a, b, and the total on the leaves planlet S. plicata has increased significantly on the concentration of the fusaric acid 10 ppm, 20 ppm, 30 ppm, and 40 ppm compared with controls. Increased of chlorophyll content showed that plantlet S. plicata was resistant to the fusaric acid and expected to be resistance to F. oxysporum.",['QK'],3681,published,"[{'eprintid': 3681, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': '14. C Eka dkk Kandungan Klorofil.pdf', 'docid': 3542, 'files': [{'filesize': 677302, 'datasetid': 'document', 'hash': 'c445a2069a5116a51aa4bba850026d1d', 'filename': '14. C Eka dkk Kandungan Klorofil.pdf', 'hash_type': 'MD5', 'mtime': '2017-07-18 00:10:27', 'mime_type': 'application/pdf', 'fileid': 25686, 'uri': 'http://repository.lppm.unila.ac.id/id/file/25686', 'objectid': 3542}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3542'}]",pub,,TRUE,http://repository.lppm.unila.ac.id/id/eprint/3681,public,2017-07-20 09:07:53,696,2017-07-20 09:07:53,86-92,978-602-70530-2-1,"[{'id': 'christianaekais8@gmail.com', 'name': {'family': 'Isharnani', 'honourific': None, 'lineage': None, 'given': 'Christiana Eka'}}, {'name': {'family': 'Nurcahyani', 'honourific': None, 'lineage': None, 'given': 'Endang'}, 'id': 'endang_nurcahyani@yahoo.com'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Lande', 'given': 'Martha L.'}, 'id': 'martha_lande@yahoo.com'}]",Prosiding Seminar Nasional Swasembada Pangan Polinela Bandar Lampung,2015-04-29 00:00:00.000000000,disk0/00/00/36/81,article,['FMIPA2'],Politeknik Negeri Bandar Lampung,,,,,,"['Jurusan Biologi Fakultas MIPA Unila', 'Jurusan Biologi Fakultas MIPA Unila', 'Jurusan Biologi Fakultas MIPA Unila']","[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,
