,datestamp,pagerange,userid,lastmod,refereed,uri,full_text_status,pres_type,documents,ispublished,divisions,type,date,dir,creators,abstract,subjects,status_changed,eprint_status,metadata_visibility,event_type,rev_number,title,event_dates,date_type,eprintid,event_title,event_location,publisher,funders,projects,corp_creators,contributors,publication,volume,official_url,id_number,issn,number
0,2019-07-16 09:21:40,297-304,703,2019-07-16 09:21:40,TRUE,http://repository.lppm.unila.ac.id/id/eprint/13566,public,paper,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 13566, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26576', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/118492', 'objectid': 26576, 'mtime': '2019-07-16 07:49:31', 'hash_type': 'MD5', 'filename': 'Pemeriksaan Struktur Histologis dan Fungsi Hati Mencit yang Terpapar Medan Listrik Tegangan Tinggi.pdf', 'hash': '5c862cc164ab5ef3525179ed4a8b26c3', 'fileid': 118492, 'mime_type': 'application/pdf', 'filesize': 134224, 'datasetid': 'document'}], 'docid': 26576, 'main': 'Pemeriksaan Struktur Histologis dan Fungsi Hati Mencit yang Terpapar Medan Listrik Tegangan Tinggi.pdf'}]",pub,['FMIPA2'],conference_item,1970-01-01 00:00:00.000002010,disk0/00/01/35/66,"[{'name': {'given': 'Hendri', 'family': 'Busman', 'honourific': None, 'lineage': None}, 'id': 'hendri_busman@yahoo.com'}]",Hasil penilaian sejawat sebidang atau peer review karya ilmiah: prosiding dan makalah yang dipresentasikan,['QP'],2019-07-16 09:21:40,archive,show,conference,7,PEMERIKSAAN STRUKTUR HISTOLOGIS DAN FUNGSI HATI MENCIT YANG TERPAPAR MEDAN LISTRIK TEGANGAN TINGGI,8-19 Oktober 2010,published,13566,EMINAR NASIONAL SAINS DAN TEKNOLOGI III,Lampung,,,,,,,,,,,
1,2019-07-23 04:16:44,,703,2019-07-23 04:16:44,TRUE,http://repository.lppm.unila.ac.id/id/eprint/13644,public,paper,"[{'eprintid': 13644, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 26660, 'main': '28. Prosiding_Saintek_III_M_Kanedi2010.pdf', 'files': [{'objectid': 26660, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119081', 'datasetid': 'document', 'filesize': 7973547, 'mime_type': 'application/pdf', 'fileid': 119081, 'filename': '28. Prosiding_Saintek_III_M_Kanedi2010.pdf', 'hash': '4ca7e06528215c9b58a0db3f50ea0603', 'hash_type': 'MD5', 'mtime': '2019-07-23 02:46:04'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26660', 'rev_number': 1}]",pub,['FMIPA2'],conference_item,1970-01-01 00:00:00.000002010,disk0/00/01/36/44,"[{'id': 'hendri_busman@yahoo.com', 'name': {'given': 'Hendri', 'lineage': None, 'family': 'Busman', 'honourific': None}}]",similarity,['QP'],2019-07-23 04:16:44,archive,show,conference,7,PEMERIKSAAN STRUKTUR HISTOLOGIS DAN FUNGSI HATI MENCIT YANG TERPAPAR MEDAN LISTRIK TEGANGAN TINGGI,18-19 Oktober 2010,published,13644,Seminar Nasional Sains & TeknologiIII,Universitas Lampung,,,,,,,,,,,
2,2022-01-06 01:14:17,,463,2022-01-06 01:14:17,,http://repository.lppm.unila.ac.id/id/eprint/37650,public,,"[{'placement': 1, 'security': 'public', 'eprintid': 37650, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 1110976, 'mime_type': 'application/pdf', 'fileid': 429519, 'filename': '19. Efek Biomutagen Ekstrak Umbi Kembang Sungsang (Gloriosa superba L) Terhadap Viabilitas Polen dan.pdf', 'hash': '04ea52f18739d6f80136aeed6b190b0f', 'mtime': '2022-01-05 13:43:10', 'hash_type': 'MD5', 'objectid': 158578, 'uri': 'http://repository.lppm.unila.ac.id/id/file/429519'}], 'main': '19. Efek Biomutagen Ekstrak Umbi Kembang Sungsang (Gloriosa superba L) Terhadap Viabilitas Polen dan.pdf', 'docid': 158578, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158578', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",pub,['FMIPA2'],other,1970-01-01 00:00:00.000002010,disk0/00/03/76/50,"[{'id': 'eti.ernawiat@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Ernawiati', 'honourific': None, 'given': 'Eti'}}]",,['QK'],2022-01-06 01:14:17,archive,show,,7,Peer Review Efek Biomutagen Ekstrak Umbi Kembang Sungsang (Gloriosa superba L) Terhadap Viabilitas Polen dan Produksi Cabai Keriting (Capsicum annuum L),,,37650,,,Prosiding SN SMAP 2010,,,,,,,,,,
3,2022-01-06 01:14:12,,463,2022-01-06 01:14:12,,http://repository.lppm.unila.ac.id/id/eprint/37647,public,,"[{'files': [{'mtime': '2022-01-05 13:35:10', 'hash_type': 'MD5', 'hash': '25b893c844ab3d1e366bad106607eb9c', 'filename': '16. Efek Biomutagen Terhadap Mitosis Sel Akar Kecambah Cabai Merah (Capsicum annum L).pdf', 'fileid': 429498, 'mime_type': 'application/pdf', 'filesize': 1075753, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/429498', 'objectid': 158575}], 'main': '16. Efek Biomutagen Terhadap Mitosis Sel Akar Kecambah Cabai Merah (Capsicum annum L).pdf', 'docid': 158575, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158575', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 37647, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,['FMIPA2'],other,1970-01-01 00:00:00.000002010,disk0/00/03/76/47,"[{'name': {'given': 'Eti', 'lineage': None, 'family': 'Ernawiati', 'honourific': None}, 'id': 'eti.ernawiat@fmipa.unila.ac.id'}]",,['QK'],2022-01-06 01:14:12,archive,show,,7,Peer Review Efek Biomutagen Terhadap Mitosis Sel Akar Kecambah Cabai Merah (Capsicum annum L),,,37647,,,Prosiding Seminar Nasional Sains dan Teknologi-III,,,,,,,,,,
4,2022-01-06 01:14:14,,463,2022-01-06 01:14:14,,http://repository.lppm.unila.ac.id/id/eprint/37648,public,,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/429505', 'objectid': 158576, 'hash_type': 'MD5', 'mtime': '2022-01-05 13:37:23', 'filename': '17. Keanekaragaman Dan Potensi Tumbuhan Paku Di Kampus Unila.pdf', 'hash': '3d8113616f29fac10b3f568d4eb5e3d6', 'fileid': 429505, 'mime_type': 'application/pdf', 'filesize': 1084207, 'datasetid': 'document'}], 'docid': 158576, 'main': '17. Keanekaragaman Dan Potensi Tumbuhan Paku Di Kampus Unila.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158576', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 37648, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,['FMIPA2'],other,1970-01-01 00:00:00.000002010,disk0/00/03/76/48,"[{'id': 'eti.ernawiat@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Ernawiati', 'given': 'Eti'}}]",,['QK'],2022-01-06 01:14:14,archive,show,,7,Peer Review Keanekaragaman Dan Potensi Tumbuhan Paku Di Kampus Unila,,,37648,,,Prosiding Seminar Nasional Sains dan Teknologi-III,,,,,,,,,,
5,2022-01-06 01:14:09,,463,2022-01-06 01:14:09,,http://repository.lppm.unila.ac.id/id/eprint/37646,public,,"[{'eprintid': 37646, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': '15. Kelainan Mitosis Sel Akar Umbi Bawang Bombay Akibat Perendaman Dalam Ekstrak Umbi Kembang Sungsa.pdf', 'docid': 158574, 'files': [{'datasetid': 'document', 'filesize': 1070300, 'fileid': 429491, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-01-05 13:31:49', 'filename': '15. Kelainan Mitosis Sel Akar Umbi Bawang Bombay Akibat Perendaman Dalam Ekstrak Umbi Kembang Sungsa.pdf', 'hash': 'ea6d62b90a474079c592ac8457ce8953', 'objectid': 158574, 'uri': 'http://repository.lppm.unila.ac.id/id/file/429491'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158574', 'rev_number': 1}]",pub,['FMIPA2'],other,1970-01-01 00:00:00.000002010,disk0/00/03/76/46,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Ernawiati', 'given': 'Eti'}, 'id': 'eti.ernawiat@fmipa.unila.ac.id'}]",,['QK'],2022-01-06 01:14:09,archive,show,,7,Peer Review Kelainan Mitosis Sel Akar Umbi Bawang Bombay Akibat Perendaman Dalam Ekstrak Umbi Kembang Sungsang (Gloriosa superba L),,,37646,,,Prosiding Seminar Nasional Sains dan Teknologi-III,,,,,,,,,,
6,2022-01-06 01:14:16,,463,2022-01-06 01:14:16,,http://repository.lppm.unila.ac.id/id/eprint/37649,public,,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 37649, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158577', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 158577, 'uri': 'http://repository.lppm.unila.ac.id/id/file/429512', 'datasetid': 'document', 'filesize': 1080646, 'fileid': 429512, 'mime_type': 'application/pdf', 'mtime': '2022-01-05 13:39:51', 'hash_type': 'MD5', 'hash': 'efbc73a66a70d9cec4332c03f116dbb8', 'filename': '18. Pemanfaatan Umbi Kembang Sungsang (Gloriosa superba L) Dalam Menekan Perkembangan Jamur Colletot.pdf'}], 'main': '18. Pemanfaatan Umbi Kembang Sungsang (Gloriosa superba L) Dalam Menekan Perkembangan Jamur Colletot.pdf', 'docid': 158577}]",pub,['FMIPA2'],other,1970-01-01 00:00:00.000002010,disk0/00/03/76/49,"[{'id': 'eti.ernawiat@fmipa.unila.ac.id', 'name': {'given': 'Eti', 'family': 'Ernawiati', 'honourific': None, 'lineage': None}}]",,['QK'],2022-01-06 01:14:16,archive,show,,7,Peer Review Pemanfaatan Umbi Kembang Sungsang (Gloriosa superba L) Dalam Menekan Perkembangan Jamur Colletotricum Capsici Penyebab Penyakit Antraknosa Pada Tanaman Cabai Keriting (Capsicum annuum L),,,37649,,,Prosiding SN SMAP 2010,,,,,,,,,,
7,2022-01-06 01:14:19,,463,2022-01-06 01:14:19,,http://repository.lppm.unila.ac.id/id/eprint/37651,public,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 37651, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/158579', 'rev_number': 1, 'docid': 158579, 'main': '20. Pengaruh Ekstrak Daun Kembang Sungsang (Gloriosa superba L) Terhadap Indeks Mitosis Sel Akar Kec.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/429526', 'objectid': 158579, 'hash_type': 'MD5', 'mtime': '2022-01-05 13:46:31', 'hash': '21490a6fb42eca4dd3bc8f88eb308760', 'filename': '20. Pengaruh Ekstrak Daun Kembang Sungsang (Gloriosa superba L) Terhadap Indeks Mitosis Sel Akar Kec.pdf', 'fileid': 429526, 'mime_type': 'application/pdf', 'filesize': 1081824, 'datasetid': 'document'}]}]",pub,['FMIPA2'],other,1970-01-01 00:00:00.000002010,disk0/00/03/76/51,"[{'name': {'given': 'Eti', 'lineage': None, 'family': 'Ernawiati', 'honourific': None}, 'id': 'eti.ernawiat@fmipa.unila.ac.id'}]",,['QK'],2022-01-06 01:14:19,archive,show,,7,Peer Review Pengaruh Ekstrak Daun Kembang Sungsang (Gloriosa superba L) Terhadap Indeks Mitosis Sel Akar Kecambah Produksi Cabai Merah (Capsicum annuum L),,,37651,,,Prosiding SN SMAP 2010,,,,,,,,,,
8,2020-11-16 01:52:55,137-140,463,2020-11-16 01:52:55,TRUE,http://repository.lppm.unila.ac.id/id/eprint/25268,public,paper,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 25268, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39048', 'main': 'STK1017_ Eti E_Bio.pdf', 'docid': 39048, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/228309', 'objectid': 39048, 'filesize': 185541, 'datasetid': 'document', 'hash': '7df63d2913a908418eb840dacad490b4', 'filename': 'STK1017_ Eti E_Bio.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-14 20:43:46', 'mime_type': 'application/pdf', 'fileid': 228309}]}]",pub,['FMIPA2'],conference_item,2010-10-01 00:00:00.000000000,disk0/00/02/52/68,"[{'id': 'mailto:etiernawiati@gmail.com', 'name': {'lineage': None, 'family': 'Eti Ernawiati', 'honourific': None, 'given': 'Eti'}}, {'name': {'lineage': None, 'family': 'Sri Wahyuningsih', 'honourific': None, 'given': 'Wahyu'}, 'id': 'mailto:wahyu6125@yahoo.co.id'}, {'id': 'yoelisoeradji@yahoo.co.id', 'name': {'honourific': None, 'family': 'Yulianty', 'lineage': None, 'given': 'yuli'}}]","Umbi kembang sungsang (Gloriosa superba L) mengandung senyawa aktif
alkaloid kollkisin yang cukup besar, sekitar 0,1 – 0,8 %,  Kandungan kolkisin yang
cukup besar ini dapat dimanfaatkan sebagai biomutagen yang sangat prosepktif
dalam menghambat proses mitosis dan  terbentuknya sel poliploid. Penelitian ini
bertujuan untuk mendapatkan kombinasi konsentrasi dan waktu perendaman
yang optimum untuk menghambat mitosis (antimitosis). Metode pembuatan
ekstrak menggunakan metode ekstraksi dan pembuatan larutan untuk perlakuan
dengan metode pengenceran.  Preparasi mitosis menggunakan metode squash.
Penelitian disusun secara faktorial dalam rancangan acak kelompok (RAK)
dengan 4 ulangan. Faktor pertama adalah konsentrasi ekstrak, 20, 40, 60 , 80 %
dan 0 % digunakan sebagai kontrol, faktor kedua yaitu waktu perendaman, 24,
48 dan 72 jam. Data yang terkumpul dianalisis menggunakan ANARA dan
dilanjutkan dengan Uji DMRT. Hasil penelitian diperoleh bahwa indeks mitosis
tertinggi dijumpai pada konsentrasi ekstrak 80 % dengan perendaman selama 72
jam, dan indeks mitosis terendah terdapat pada konsentrasi 60 % dengan
perendaman selama 48 jam. Dari hasil tersebut dapat disimpulkan bahwa
konsentrasi ekstrak 60 % selama 48 jam merupakan kombinasi terbaik dalam
menghambat mitosis (antimitosis) sel akar kecambah cabai merah.

Kata Kunci:  Mitosis, Kolkisin, Gloriosa Superba L.",['QK'],2020-11-16 01:52:55,archive,show,other,7,"EFEK BIOMUTAGEN TERHADAP MITOSIS SEL  
AKAR KECAMBAH CABAI MERAH(CAPSICUM ANNUM L.)",18-19 Oktober 2010,published,25268,Seminar Nasional Sains & Teknologi – III,Lembaga Penelitian – Universitas Lampung Bandar Lampung,,,,,,,,,,,
9,2020-11-16 01:52:26,143-148,463,2020-11-16 01:52:26,TRUE,http://repository.lppm.unila.ac.id/id/eprint/25264,public,paper,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 25264, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39044', 'docid': 39044, 'main': 'PROSIDING SN-SMAP 2011 _Eti.pdf', 'files': [{'objectid': 39044, 'uri': 'http://repository.lppm.unila.ac.id/id/file/228281', 'mime_type': 'application/pdf', 'fileid': 228281, 'hash': '585aee0d30ff23416f430fe81d1217f6', 'filename': 'PROSIDING SN-SMAP 2011 _Eti.pdf', 'mtime': '2020-11-14 20:29:23', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 173543}]}]",pub,['FMIPA2'],conference_item,2010-12-01 00:00:00.000000000,disk0/00/02/52/64,"[{'name': {'lineage': None, 'family': 'Eti Ernawiati', 'honourific': None, 'given': 'Eti'}, 'id': 'mailto:etiernawiati@gmail.com'}, {'id': 'mailto:wahyu6125@yahoo.co.id', 'name': {'given': 'Wahyu', 'family': 'Sri Wahyuningsih', 'honourific': None, 'lineage': None}}, {'name': {'given': 'yuli', 'honourific': None, 'family': 'Yulianty', 'lineage': None}, 'id': 'yoelisoeradji@yahoo.co.id'}]","Kembang sungsang (
Gloriosa superba L.) merupakan tanaman yang mengandung
alkaloid kolkisin yang dapat digunakan sebagai biomutagen alami. Senyawa kolkisin
dapat digunakan untuk menginduksi tanaman poliploid yang mempunyai ciri di antaranya
ukuran sel, organ, serta produksi tanamannya meningkat. Tujuan penelitian ini untuk
mengetahui pengaruh ekstrak umbi kembang sungsang terhadap viabilitas polen dan
produksi buah. Selain itu juga untuk menentukan konsentrasi dan  lama perendaman
benih dalam ekstrak umbi kembang sungsang yang optimum, yang dapat meningkatkan
viabilitas polen dan produksi buah cabai merah. Penelitian ini menggunakan Rancangan
Acak Kelompok (RAK) dengan pola faktorial. Faktor pertama yaitu konsentrasi yang
terdiri dari 5 taraf (0%, 20%, 40%, 60%, 80%) dan faktor kedua yaitu lama perendaman
yang terdiri dari 3 taraf (24 jam, 48 jam, 72 jam). Masing-masing perlakuan dilakukan
sebanyak 4 kali ulangan. Semua data yang diperoleh  dianalisis ragam kemudian
dilanjutkan  dengan uji  DMRT pada taraf 5 %.
Hasil penelitian ini menunjukkan bahwa perlakuan kombinasi konsentrasi ekstrak umbi
kembang sungsang 40% dan lama perendaman 24 jam yang optimum untuk
menghasilkan diameter polen terbesar dan produksi buah tertinggi atau dapat dikatakan
paling meningkatkan viabilitas polen dan produksi tanaman cabai merah.

Kata kunci: Gloriosa superba, tanaman cabai, kolkisin",['QK'],2020-11-16 01:52:26,archive,show,other,7,"PENGARUH EKSTRAK DAUN KEMBANG SUNGSANG (Glorisa superb L) TERHADAP INDEKS MITOSIS SEL AKAR KECAMBAH
CABAI MERAH ( Capsicum annum L)",,published,25264,Prosiding SN SMAP 2010,,,,,,,,,,,,
