,documents,publisher,number,ispublished,refereed,uri,full_text_status,userid,lastmod,datestamp,pagerange,creators,issn,publication,dir,date,type,divisions,title,official_url,metadata_visibility,volume,rev_number,status_changed,eprint_status,abstract,subjects,eprintid,date_type,related_url,id_number,pres_type,contributors,event_location,event_title,event_type,event_dates
0,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 23985, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37674', 'rev_number': 1, 'main': '4 2020 Effect of 0,2 mT magnet field.pdf', 'docid': 37674, 'files': [{'datasetid': 'document', 'filesize': 737719, 'fileid': 218600, 'mime_type': 'application/pdf', 'mtime': '2020-09-12 13:25:05', 'hash_type': 'MD5', 'filename': '4 2020 Effect of 0,2 mT magnet field.pdf', 'hash': '2cf26ae0196ae8cfeb1f587b04950ae2', 'objectid': 37674, 'uri': 'http://repository.lppm.unila.ac.id/id/file/218600'}]}]",GSC Online Press,2,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/23985,public,965,2020-09-14 01:43:29,2020-09-14 01:43:29,011-018,"[{'id': 'rochmah.agustrina@fmipa.unila.ac.id', 'name': {'given': 'Rochmah', 'lineage': None, 'honourific': None, 'family': 'Agustrina'}}, {'id': None, 'name': {'given': 'Nasyiatul', 'family': 'Himmah', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Bambang', 'lineage': None, 'family': 'Irawan', 'honourific': None}, 'id': 'bambang.irawan@fmipa.unila.ac.id'}, {'id': 'sumardi_bio@yahoo.co.id', 'name': {'given': 'Sumardi', 'honourific': None, 'family': 'Sumardi', 'lineage': None}}, {'id': 'wegayendi@yahoo.com', 'name': {'family': 'Kanedi', 'honourific': None, 'lineage': None, 'given': 'Mohammad'}}, {'name': {'given': 'Sri', 'family': 'Wahyuningsih', 'honourific': None, 'lineage': None}, 'id': 'wahyu6125@yahoo.co.id'}]",2581-9615,World Journal of Advanced Research and Reviews,disk0/00/02/39/85,2020-02-01 00:00:00.000000000,article,['FMIPA5'],Effects of 0.2 mT magnetic field exposure on the growth of red chili (Capsicum annuum L.) infected with pathogenic fungus Fusarium oxysporum,https://www.wjarr.com,show,5,14,2020-09-14 01:43:29,archive,"Fusarium pathogens not only affect growth but also cause death of chili plants. Our previous research using magnetic fields revealed that in tomatoes, inhibition of seed germination and growth by Fusarium infection can be restored by a 0.2 mT magnetic field. In current study we investigated whether the same 0.2 mT magnetic field exhibit the same effects on red chili plant which has infected with Fusarium oxysporum. The experiment was arranged using a randomized block design (RCBD) with two factors. The first factor is the exposure time of 0.2 mT magnetic field namely 0 min (M0), 7 min 48 sec (M7) and 15 min 36 sec. The second factor is the soaking time of chilli seeds in F.oxysporum suspension namely 0 min (F0) and 60 min (F60). All treatment repeated 5 times. The results revealed that the inducement of 0.2 mT magnetic field for 15 min 36 sec significantly increase leaf area, total chlorophil content and dry weight of the plant at 28 days after planting (DAP). Seeds infection with F. oxysporum decreased leaf area (except for M7F60), total chlorophil content (except for M0F60), carbohydrate content (except for M7F60) and increased dry weight of the plant (except for M0F60). These data suggest that the magnetic field at the density of 0.2 mT is able to maintain the growth of chilli plants despite being infected by pathogenic Fusarium fungi.",['QK'],23985,published,,,,,,,,
1,"[{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'eprintid': 26256, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40141', 'rev_number': 1, 'main': 'BIO_03.docx', 'docid': 40141, 'files': [{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 236453, 'filename': 'BIO_03.docx', 'hash': '7e68cbf73c11a5e61a8d14104d5947e5', 'hash_type': 'MD5', 'mtime': '2020-11-19 07:22:25', 'datasetid': 'document', 'filesize': 258109, 'objectid': 40141, 'uri': 'http://repository.lppm.unila.ac.id/id/file/236453'}]}, {'security': 'public', 'placement': 2, 'eprintid': 26256, 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'files': [{'filesize': 253827, 'datasetid': 'document', 'hash': '9b4c6843f1b7a5acbcf11efcfaaa5d65', 'filename': 'Silvi Andriani et al.docx', 'hash_type': 'MD5', 'mtime': '2020-11-19 07:27:45', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 236472, 'uri': 'http://repository.lppm.unila.ac.id/id/file/236472', 'objectid': 40144}], 'main': 'Silvi Andriani et al.docx', 'docid': 40144, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40144', 'rev_number': 1, 'format': 'text', 'pos': 2}]",IOP Publishing,,inpress,FALSE,http://repository.lppm.unila.ac.id/id/eprint/26256,public,824,2020-11-19 11:34:23,2020-11-19 11:34:23,,"[{'id': None, 'name': {'family': 'Andiani', 'honourific': None, 'lineage': None, 'given': 'Silvi'}}, {'id': 'elwidi@yahoo.com', 'name': {'family': 'Widiastuti', 'honourific': None, 'lineage': None, 'given': 'E.L.'}}, {'name': {'given': 'Nuning', 'lineage': None, 'honourific': None, 'family': 'Nurcahyani'}, 'id': 'uya.jujun@gmail.com'}, {'id': 'emantisrosa@gmail.com', 'name': {'family': 'Rosa', 'honourific': None, 'lineage': None, 'given': 'Emantis'}}, {'name': {'given': 'Hendri', 'honourific': None, 'family': 'Busman', 'lineage': None}, 'id': 'hendri_busman@yahoo.com'}]",1755-1315,IOP Conf. Series: Earth and Environmental Science,disk0/00/02/62/56,1970-01-01 00:00:00.000002020,article,['FMIPA5'],CYTOTOXIC ACTIVITY OF METHANOL EXTRACTION OF AVICENNIA MARINA AND TAURIN IN THE HeLa CANCER CELLS,,show,,8,2020-11-19 11:34:23,archive,"The aim of study was to determine any anticancer potential from Avicennia marina leaf extract compare to taurine on cytotoxic and anti-proliferation activities against HeLa cervical cancer cell line by using the MTT method (3- (4, 5-dimethylthiazol-2-yl)) - 2, 5-diphenyltetrazolium bromide). The results indicated that methanol extraction of A. marina leaf as well as taurine did have cytotoxic and anti-proliferation effects on HeLa cell line with IC50 values of 321 ppm and 603 ppm 1000 ppm. While the doubling time value for anti-proliferation of A. marina leaf methanol extraction and taurine showed higher values than the control group (72.19 hours).
Keywords : Avicenia marina, taurine, cytotoxic, anti-proliferative,  HeLa cells",['QL'],26256,,,,,,,,,
2,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154588', 'pos': 1, 'format': 'text', 'files': [{'filesize': 1484801, 'datasetid': 'document', 'filename': '10.OSTARICA-IJIS EDU-juli 2020.pdf', 'hash': '5dce5a2760f4b637911724828ff1f2a2', 'hash_type': 'MD5', 'mtime': '2021-09-22 23:17:45', 'mime_type': 'application/pdf', 'fileid': 402560, 'uri': 'http://repository.lppm.unila.ac.id/id/file/402560', 'objectid': 154588}], 'docid': 154588, 'main': '10.OSTARICA-IJIS EDU-juli 2020.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 34109}]",IAIN Bengkulu,,pub,,http://repository.lppm.unila.ac.id/id/eprint/34109,public,703,2021-09-23 01:20:51,2021-09-23 01:20:51,,"[{'id': 'hendri.busman@fmipa.unila.ac.id', 'name': {'given': 'Busman', 'lineage': None, 'family': 'Hendri', 'honourific': None}}]",,,disk0/00/03/41/09,2020-07-01 00:00:00.000000000,other,['FMIPA5'],"Similarity Check Result Artikel Jurnal : Histopathological Observation of The Qurban Goat’s (Capra Aegagrus Hircus) Lung Organs in Tulus Rejo Village, Pekalongan District, East Lampung 2019 Suspected Of Being Infected With Pneumonia",https://ejournal.iainbengkulu.ac.id/index.php/ijisedu/index,show,,8,2021-09-23 01:20:51,archive,,"['Q1', 'QL']",34109,published,[{'url': 'http://dx.doi.org/10.29300/ijisedu.v2i2.3324'}],,,,,,,
3,"[{'main': '6.HENDRI B-GSCBPS-jan 2020.pdf', 'docid': 154584, 'files': [{'datasetid': 'document', 'filesize': 651717, 'fileid': 402528, 'mime_type': 'application/pdf', 'mtime': '2021-09-22 13:43:25', 'hash_type': 'MD5', 'hash': 'efb5dafcf2299acb51db7b5f772dbb52', 'filename': '6.HENDRI B-GSCBPS-jan 2020.pdf', 'objectid': 154584, 'uri': 'http://repository.lppm.unila.ac.id/id/file/402528'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154584', 'eprintid': 34105, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",Global Scholarly communication (GSC),,pub,,http://repository.lppm.unila.ac.id/id/eprint/34105,public,703,2021-09-23 01:20:40,2021-09-23 01:20:40,,"[{'id': 'hendri.busman@fmipa.unila.ac.id', 'name': {'given': 'Busman', 'lineage': None, 'honourific': None, 'family': 'Hendri'}}]",,,disk0/00/03/41/05,2020-01-01 00:00:00.000000000,other,['FMIPA5'],Similarity Check Result Artikel Jurnal : Inhibitory effects of tuber extract of nut grass (Cyperus rotundus L) on the growth of rat fetuses,https://gsconlinepress.com/journals/gscbps/,show,,8,2021-09-23 01:20:40,archive,,"['QK', 'QL']",34105,published,[{'url': 'https://doi.org/10.30574/gscbps.2020.10.1.0207'}],,,,,,,
4,"[{'security': 'public', 'placement': 1, 'eprintid': 34107, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 154586, 'uri': 'http://repository.lppm.unila.ac.id/id/file/402546', 'fileid': 402546, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-09-22 13:53:20', 'hash': '5e81c6eac4a3e442035fb93240a43489', 'filename': '8. DZUL-GSCBPS-17des 2020.pdf', 'datasetid': 'document', 'filesize': 1973221}], 'docid': 154586, 'main': '8. DZUL-GSCBPS-17des 2020.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154586', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Global Scholarly communication (GSC),,pub,,http://repository.lppm.unila.ac.id/id/eprint/34107,public,703,2021-09-23 01:20:45,2021-09-23 01:20:45,,"[{'name': {'given': 'Busman', 'honourific': None, 'family': 'Hendri', 'lineage': None}, 'id': 'hendri.busman@fmipa.unila.ac.id'}]",,,disk0/00/03/41/07,2020-12-01 00:00:00.000000000,other,['FMIPA5'],"Similarity Check Result Artikel Jurnal : Modification of atherogenic diet causes atherosclerosis, increase total cholesterol, and showing hepar damage in mice as alternative animal model in atherosclerosis research",https://gsconlinepress.com/journals/gscbps/,show,,7,2021-09-23 01:20:45,archive,,['QL'],34107,published,,,,,,,,
5,"[{'placement': 1, 'security': 'public', 'eprintid': 34108, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'fileid': 402553, 'mime_type': 'application/pdf', 'mtime': '2021-09-22 23:13:32', 'hash_type': 'MD5', 'hash': '01c9aa959c4731fc6a718399d5b217e2', 'filename': '9.ANDESTYA-JIKSH-jun 2020.pdf', 'datasetid': 'document', 'filesize': 1141459, 'objectid': 154587, 'uri': 'http://repository.lppm.unila.ac.id/id/file/402553'}], 'docid': 154587, 'main': '9.ANDESTYA-JIKSH-jun 2020.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154587', 'pos': 1, 'format': 'text'}]",Akper Sandiaksara,,pub,,http://repository.lppm.unila.ac.id/id/eprint/34108,public,703,2021-09-23 01:20:48,2021-09-23 01:20:48,,"[{'id': 'hendri.busman@fmipa.unila.ac.id', 'name': {'family': 'Hendri', 'honourific': None, 'lineage': None, 'given': 'Busman'}}]",,,disk0/00/03/41/08,2020-06-01 00:00:00.000000000,other,['FMIPA5'],Similarity Check Result Artikel Jurnal : Potensi Antioksidan Kedelai (Glycine Max L) Terhadap Penangkapan Radikal Bebas,https://akper-sandikarsa.e-journal.id/JIKSH,show,,7,2021-09-23 01:20:48,archive,,['Q1'],34108,published,,,,,,,,
6,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 25184, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38959', 'rev_number': 1, 'docid': 38959, 'main': 'Junaidi_revista_juli2020.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/227727', 'objectid': 38959, 'hash': '101453412f1a89daff57839e1857c222', 'filename': 'Junaidi_revista_juli2020.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-13 22:40:59', 'mime_type': 'application/pdf', 'fileid': 227727, 'filesize': 972716, 'datasetid': 'document'}]}]",,,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/25184,public,181,2020-11-16 01:29:29,2020-11-16 01:29:29,,"[{'id': 'junaidi.1982@fmipa.unila.ac.id', 'name': {'given': 'Junaidi', 'honourific': None, 'family': 'Junaidi', 'lineage': None}}, {'id': 'simon.sembiring@fmipa.', 'name': {'given': 'Simon', 'lineage': None, 'honourific': None, 'family': 'Sembiring'}}, {'id': 'reip65@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Manurung', 'given': 'Posman'}}, {'name': {'given': 'Sutopo', 'lineage': None, 'family': 'Hadi', 'honourific': None}, 'id': 'sutopo.hadi@fmipa.unila.ac.id'}]",668-8212,Revista de Chimie (Rev. Chim.),disk0/00/02/51/84,2020-07-01 00:00:00.000000000,article,['FMIPA5'],Conductive Layers Based on Silver Nanowires by Spray Coating Process,https://revistadechimie.ro/Articles.asp?ID=8288,show,,6,2020-11-16 01:29:29,archive,"In this research, a thin film of silver nanowires (AgNWs) is made by varying the number of layers onto a polycarbonate substrate using a spray coating process. AgNWs were obtained via the polyol method using silver nitrate (AgNO3) as rare materials, Polyvinyl pyrrolidone (PVP) as a reducing agent and ethylene glycol (EG) as a solvent. The coating material used is AgNWs solution with a concentration of 10% in ethanol, which has a diameter and length of 176.13 nm and 28.58 µm, respectively. The optical conductivity for third layers were 1.80 × 105 S.m−1,1.98 × 105 S.m−1, and 2.32 × 105 S.m−1 by the gap energy of 3.84 eV, 3.81 eV, and 3.79 eV at a wavelength of 550 nm. The greater the number of layers, the higher the optical conductivity. The smaller energy gap indicates that the material absorbs more energy, so the absorbance value is higher. The sheet resistance of AgNWs thin films in variations of each layer was 119.2 Ω.sq−1, 20.6 Ω.sq−1 and 4.98 Ω.sq−1. The lower the layer resistance, the higher the density of AgNWs and the thicker the layer. Based on the SEM images by cross-section technique, the thickness of AgNWs thin films obtained by 44.244 μm, 69.126 μm, and 100.028 μm for each layer. AgNWs thin films could be used as transparent conductive electrodes for optoelectronic applications.",['QC'],25184,published,,https://doi.org/10.37358/RC.20.8.8288,,,,,,
7,"[{'eprintid': 26247, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 40132, 'main': 'Open Access proceedings Journal of Physics_ Conference series.pdf', 'files': [{'datasetid': 'document', 'filesize': 224200, 'mime_type': 'application/pdf', 'fileid': 236402, 'filename': 'Open Access proceedings Journal of Physics_ Conference series.pdf', 'hash': '4ec53e072bed210319aaaf7ccde12277', 'mtime': '2020-11-19 07:03:20', 'hash_type': 'MD5', 'objectid': 40132, 'uri': 'http://repository.lppm.unila.ac.id/id/file/236402'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40132', 'rev_number': 1}]",IOP Publishing,,inpress,FALSE,http://repository.lppm.unila.ac.id/id/eprint/26247,public,824,2020-11-19 11:34:09,2020-11-19 11:34:09,,"[{'id': None, 'name': {'lineage': None, 'family': 'Monica', 'honourific': None, 'given': 'Thia'}}, {'id': None, 'name': {'given': 'Supono', 'family': 'Supono', 'honourific': None, 'lineage': None}}, {'id': 'elwidi@yahoo.com', 'name': {'given': 'E.L.', 'family': 'Widiastuti', 'honourific': None, 'lineage': None}}]",1755-1315,IOP Conf. Series: Earth and Environmental Science,disk0/00/02/62/47,1970-01-01 00:00:00.000002020,article,['FMIPA5'],"Artemia sp. enrichment with vitamin C and taurine to support
growth and survival rate of vaname (Litopenaeus vannamei)
larvae: early study",,show,,7,2020-11-19 11:34:09,archive,"The aim of the study was to determine the effect of Artemia sp. enrichment with
vitamin C and taurine on the growth and survival rate of Vaname (Litopenaeus vannamei) post
larvae. The data was collected using randomized design with four treatment groups, which are
control (group A), Artemia sp. enriched with 50 mg vit CL-1 media (group B), Artemia sp.
enriched with 50 mg taurine L-1 media (group C), and Artemia sp. enriched with 25 mg vit C
and 25 mg taurine L-1 media (group D). Data were analyzed statistically using ANOVA
followed by LSD/Tukey at 5% level, using the growth and survival rate of the vaname post
larvae and water quality as the data variable.",['SH'],26247,,,,,,,,,
8,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/39805', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 39805, 'uri': 'http://repository.lppm.unila.ac.id/id/file/234486', 'datasetid': 'document', 'filesize': 736393, 'fileid': 234486, 'mime_type': 'application/pdf', 'mtime': '2020-11-18 02:35:43', 'hash_type': 'MD5', 'filename': 'ULICOSTE Article.pdf', 'hash': '9cfdc132f81b898dc7f31d5f40f59c56'}], 'docid': 39805, 'main': 'ULICOSTE Article.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 25975}]",,,submitted,FALSE,http://repository.lppm.unila.ac.id/id/eprint/25975,public,876,2020-11-18 04:53:59,2020-11-18 04:53:59,,"[{'name': {'given': 'Khodijah U.F.', 'lineage': None, 'family': 'Murad', 'honourific': None}, 'id': None}, {'id': 'nismah.nukmal@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Nukmal', 'given': 'Nismah'}}]",,,disk0/00/02/59/75,1970-01-01 00:00:00.000002020,conference_item,['FMIPA5'],The Effect of Storage Time on the Raw Material of Insecticide Candidate from Gamal Leaves (Gliricidia maculata) on The Stability of Toxicity to Control Mealy Bugs,,show,,14,2020-11-18 04:53:59,archive,"Abstract. Mealybugs are pests that cause economic losses to cultivated crops such as papaya and cocoa. Mealybug pests cause productivity and fruit quality to decrease. Control using botanical insecticides that are more environmentally friendly can be done, one of which is using gamal leaves (Gliricidia maculata). Research on the potential of gamal leaves as a vegetable insecticide has been carried out in the last 10 years. To develop it into a botanical insecticide formula, a basic study is neededlevels of flavonoids and their toxicity to storage time. This study aims to determine the toxicity and levels of active compounds in the form of flavonoids on the storage time of gamal leaf powder. The test used raw materials for gamal leaves from 3 different origin of plant, namely North Lampung, West Lampung, and Pringsewu in the form of a powder which is then extracted using water and methanol as a solvent. The toxicity test used bioassay with the residual effect of two extracts, namely water extract and methanol extract against mealybugs. Mortality data were analyzed using probit analysis to determine LC50. The correlation between storage time and toxicity was analyzed using correlation analysis with the SPSS application.. The yield of methanol and water extract was decrease 1.05% – 9.41% and 0.34% - 34.70% this indicate that extract methanol of G. maculata more stable than water extract.The LC50 value from the probit analysis tended to increase between 0.011% - 0.077% with the storage time of powder raw materials, this indicated a decrease in the effectiveness of the toxicity between 28.2 - 78.1% depending on the type of origin of plant gamal leaf. The results show that the storage time of 6 - 24 months does not have significant effect on the stability of the toxicity and yield of the insecticide raw material powder from gamal leaves, but the longer the storage time, the lower the toxicity",['Q1'],25975,submitted,,,speech,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],Zoom,1st Universitas lampung International Conference on Science and Technology 2020,conference,19th November 2020
9,"[{'placement': 1, 'security': 'public', 'eprintid': 19206, 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'files': [{'objectid': 32444, 'uri': 'http://repository.lppm.unila.ac.id/id/file/160968', 'datasetid': 'document', 'filesize': 73088, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 160968, 'filename': 'Makalah PBI Desi.docx', 'hash': 'a44dacbdb11cbef1b2e08fc310ea3142', 'hash_type': 'MD5', 'mtime': '2020-04-15 06:27:08'}], 'main': 'Makalah PBI Desi.docx', 'docid': 32444, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32444', 'pos': 1, 'format': 'text'}]",,,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/19206,public,876,2020-04-15 06:42:43,2020-04-15 06:42:43,246-252,"[{'name': {'lineage': None, 'family': 'Nukmal', 'honourific': None, 'given': 'Nismah'}, 'id': 'nismah.nukmal@fmipa.unila.ac.id'}]",,,disk0/00/01/92/06,2020-03-11 00:00:00.000000000,conference_item,['FMIPA5'],EFEK EKSTRAK METANOL SERBUK DAUN GAMAL (Gliricidia sepium) KULTIVAR LAMPUNG UTARA TERHADAP SEMUT (Anoplolepis sp.) YANG BERSIMBIOSIS DENGAN KUTU PUTIH PADA TANAMAN PEPAYA,https://perbiol.files.wordpress.com/2020/03/revisi-prosiding-semnas-pbi-xxv-1.pdf,show,,7,2020-04-15 06:42:43,archive,"ABSTRACT 
The effects of methanol extract of gamal leaf powder (Gliricidia sepium) North Lampung cultivar on mortality and bahaviour of red ants (Anoplolepis sp.), that symbiosis with papaya mealy bug,  was conducted during December 2018 to January 2019 at the Zoology Laboratory, Lampung University. The red ants were collecting from Jalan Cengkeh Gedong Meneng Bandar Lampung. The Randomize Block Design 3 x3 was used in this research. For mortality data were used natural insecticide (methanol extract of gamal leaf powder North Lampung cultivar concentration 0.037%), synthetic insecticide (Regent SC 50) 0.1 / 200 ml aquades, and control as treatments. Mortality was observed 1, 3, 6, 12, 24, and 48 hours after treatment. Other wise for behavior data were used 4 treatsmeants as food (rice without insecticide, rice with natural insecticide, and rice with synthetic insecticide, control).  Behavioral observations were carried out for 12 hours (8:00 AM - 7:00 PM) every 30 minutes with 10 repetitions. ANOVA and LSD were used for mortality data with SPSS program version 18.0.  The result shows that there was a significant difference between the treatments (p <0.05).  The average of the red ant mortality treated with natural insecticide is lower than that of synthetic insecticides.  Behavioral observations show that red ants stay away from the feeding rice with natural and sintetic insecticides.

 Key words : Gamal leaves, mealy bug, red ants",['QL'],19206,published,,,paper,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],Bandar Lampung,Seminar Nasional Biologi XXV Perhimpunan Biologi Indonesia (SNB XXV PBI) Tahun 2019,conference,25-27 Agustus 2019
