,rev_number,metadata_visibility,title,subjects,eprint_status,status_changed,date_type,eprintid,full_text_status,uri,ispublished,publisher,documents,datestamp,lastmod,userid,date,dir,creators,divisions,type,official_url,volume,funders,publication,issn,pagerange,refereed,projects,abstract,id_number,number,place_of_pub
0,8,show,Peer Review Jurnal : Abnormalitas Morfologi Fetus Mencit Mus Musculus L. Setelah Pemberian Ekstrak Etanol Suruhan Peperomia Pellucida L. Kunth,"['Q1', 'R1']",archive,2021-09-23 09:20:32,published,34140,public,http://repository.lppm.unila.ac.id/id/eprint/34140,pub,LPPM Sekolah Tinggi Ilmu Kesehatan Kendal,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154617', 'rev_number': 1, 'docid': 154617, 'main': '11.pdf', 'files': [{'mtime': '2021-09-23 05:56:40', 'hash_type': 'MD5', 'hash': '2e2f5746b0c697686a1ff1fa2676406a', 'filename': '11.pdf', 'fileid': 402830, 'mime_type': 'application/pdf', 'filesize': 1741315, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/402830', 'objectid': 154617}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 34140, 'security': 'public', 'placement': 1}]",2021-09-23 09:20:32,2021-09-23 09:20:32,703,2021-05-01 00:00:00.000000000,disk0/00/03/41/40,"[{'name': {'given': 'Busman', 'honourific': None, 'family': 'Hendri', 'lineage': None}, 'id': 'hendri.busman@fmipa.unila.ac.id'}]",['FMIPA5'],other,,,,,,,,,,,,
1,7,show,Similarity Check Result Artikel Jurnal : Antiestrogenic Potential of Turmeric Rhizomes Extract to Decrease Weight and Uterine Diameters on Rats,['QK'],archive,2021-09-23 01:20:28,published,34100,public,http://repository.lppm.unila.ac.id/id/eprint/34100,pub,IJPRAS,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 34100, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154579', 'docid': 154579, 'main': '1.HENDRI B-IJPRAS-jan 2021.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 402489, 'hash': 'cc0d3ab9956b66ca58f086000d4a6983', 'filename': '1.HENDRI B-IJPRAS-jan 2021.pdf', 'mtime': '2021-09-22 13:17:36', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 956336, 'objectid': 154579, 'uri': 'http://repository.lppm.unila.ac.id/id/file/402489'}]}]",2021-09-23 01:20:28,2021-09-23 01:20:28,703,2021-02-01 00:00:00.000000000,disk0/00/03/41/00,"[{'name': {'given': 'Busman', 'family': 'Hendri', 'honourific': None, 'lineage': None}, 'id': 'hendri.busman@fmipa.unila.ac.id'}]",['FMIPA5'],other,https://doi.org/10.51847/87VzQK5,,,,,,,,,,,
2,10,show,The effect of storage time on the raw material of insecticide candidate from gamal leaves (Gliricidia maculata) on the toxicities stability to control mealybug,['QL'],archive,2021-05-24 04:41:46,published,30562,public,http://repository.lppm.unila.ac.id/id/eprint/30562,pub,IOP Publishing Ltd,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/137563', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/362249', 'objectid': 137563, 'mtime': '2021-05-24 02:48:40', 'hash_type': 'MD5', 'hash': '6aefcefbe6f2b9fb75aafb4921a03f02', 'filename': 'Makalah Hibah Pasca 2020.pdf', 'fileid': 362249, 'mime_type': 'application/pdf', 'filesize': 367495, 'datasetid': 'document'}], 'docid': 137563, 'main': 'Makalah Hibah Pasca 2020.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 30562}]",2021-05-24 04:41:46,2021-05-24 04:41:46,876,1970-01-01 00:00:00.000002021,disk0/00/03/05/62,"[{'name': {'given': 'Khodijah U.F.', 'lineage': None, 'honourific': None, 'family': 'Murad'}, 'id': None}, {'name': {'given': 'Nismah', 'family': 'Nukmal', 'honourific': None, 'lineage': None}, 'id': 'nismah.nukmal@fmipa.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Setyaningrum', 'given': 'Endah'}, 'id': None}]",['FMIPA5'],article,https://iopscience.iop.org/article/10.1088/1755-1315/739/1/012075,739.0,['BLU Unila 2020'],IOP Conf. Series: Earth and Environmental Science 739,doi:10.1088/1755-1315/739/1/012075,1-6,TRUE,['Hibah Pascasarjana Unila 2020'],"The purpose of this study to evaluate the effect of storage time on the persentage of yield extract and toxicity stability of Gamal leaves (Gliricidia maculata) powder to control mealybugs. The gamal leaves were colected form three different cultivars (North Lampung, West Lampung, and Pringsewu). The leaves powder was stored in the freezer (-4 oC) during 12 and 24 months. The powder storaged was macerated with methanol and aqudest, then concentrated by rotary vacuum evaporator to yield the crute exstract (paste), the paste was used for bioassay to mealybugs with residual effect methode. The result shows that the storage time of the powder   raw material of insecticide candidate from G. maculata leaves for 12 -24 months does not significantly affect to the stability of the toxicity and persentage paste yield. But the long time of storege culd be decrese the toxicyty effectiveness and persentage paste yield gained",IOP Conf. Ser.: Earth Environ. Sci. 739 012075,1.0,
3,12,show,"Isolation and properties of ammonia-oxidizing bacteria from mangrove sediment, hanura lampung beach",['QR'],archive,2021-05-03 01:22:59,published,29876,public,http://repository.lppm.unila.ac.id/id/eprint/29876,pub,IOP Publishing,"[{'docid': 44077, 'main': '2020 P revni sumardi.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 264197, 'filename': '2020 P revni sumardi.pdf', 'hash': '84edc615353fee61c7936b5a56f753c5', 'hash_type': 'MD5', 'mtime': '2021-05-02 22:50:07', 'datasetid': 'document', 'filesize': 1096413, 'objectid': 44077, 'uri': 'http://repository.lppm.unila.ac.id/id/file/264197'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/44077', 'rev_number': 1, 'eprintid': 29876, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",2021-05-03 01:22:59,2021-05-03 01:22:59,965,2021-01-27 00:00:00.000000000,disk0/00/02/98/76,"[{'id': None, 'name': {'given': 'Revni', 'honourific': None, 'family': 'Putri', 'lineage': None}}, {'id': 'sumardi_bio@yahoo.co.id', 'name': {'family': 'Sumardi', 'honourific': None, 'lineage': None, 'given': 'Sumardi'}}, {'id': 'bambang.irawan@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Irawan', 'honourific': None, 'given': 'Bambang'}}, {'id': 'rochmah.agustrina@fmipa.unila.ac.id', 'name': {'given': 'Rochmah', 'honourific': None, 'family': 'Agustrina', 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Tugiyono', 'given': 'Tugiyono'}, 'id': 'tugiyono.1964@fmipa.unila.ac.id'}]",['FMIPA5'],article,https://iopscience.iop.org/article/10.1088/1742-6596/1751/1/012054,1751.0,,Journal of Physics: Conference Series,Print : 1742-6588 Online : 1742-6596,012054-012054,TRUE,,"Mangrove forest area is an area that has good water quality. In the sediments of
mangrove forests, there are many types of microbes capable of bioremediating inorganic
contaminants such as ammonia and the heavy metal mercury. Isolation of bacteria was carried
out using specific nitrification media to obtain ammonia-oxidizing bacteria. The sensitivity test
for heavy metal mercury was carried out in the laboratory with 9 combinations of
concentrations. The results of bacterial isolation from mangrove forest sediments at Hanura
Beach, Lampung, obtained four isolates of ammonia-oxidizing bacteria (A1, A1P, A3, and
A3P). The sensitivity test for heavy metal mercury showed that the four isolates obtained were
able to survive the addition of heavy metal mercury by 0.003 g / L.",,12054.0,
4,8,show,"Carbon Stock Estimation Due to Changes in Mangrove 
Labuhan Maringgai District, East Lampung Regency",['QK'],archive,2021-10-11 09:34:59,,34488,public,http://repository.lppm.unila.ac.id/id/eprint/34488,pub,Atlantis Press,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/405673', 'objectid': 155005, 'filesize': 639116, 'datasetid': 'document', 'mtime': '2021-10-11 09:10:39', 'hash_type': 'MD5', 'hash': '4eadfc373d2e77b4b95f2f6a2d7024c2', 'filename': 'Carbon stock estimation of LMC.pdf', 'fileid': 405673, 'mime_type': 'application/pdf'}], 'main': 'Carbon stock estimation of LMC.pdf', 'docid': 155005, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155005', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 34488, 'mime_type': 'application/pdf', 'language': 'en'}]",2021-10-11 09:34:59,2021-10-11 09:34:59,824,2021-06-01 00:00:00.000000000,disk0/00/03/44/88,"[{'id': None, 'name': {'given': 'Carina', 'lineage': None, 'honourific': None, 'family': 'Salsabilli Rh'}}, {'id': 'elwidi@yahoo.com', 'name': {'family': 'Widiastuti', 'honourific': None, 'lineage': None, 'given': 'E.L.'}}, {'id': 'sri_wahyu@yahoo.com', 'name': {'given': 'S.', 'lineage': None, 'honourific': None, 'family': 'Wahyuningsih'}}]",['FMIPA5'],article,,202.0,,Advances in Engineering Research,,,TRUE,,"The damage to the mangrove ecosystem in Margasari Village District of Labuhan Maringgai, East Lampung 
Regency was predicted to reduce the estimated carbon stocks in the ecosystem. This research aims to 
determine the influence of the functioning of the mangrove ecosystem on the total biomass, estimated stored 
carbon, organic carbon, sediment and leaf litters in the mangrove of Margasari Village, District of Labuhan 
Maringgai, East Lampung Regency. The method used in this research was field collection from observation 
plot, carbon data collection was non-destructive, data retrieval for carbon were from leaf litters and sediment 
and were analyzed for organic carbon content with spectrophotometer. The results showed that there was a 
decrease in the carbon deposits in the mangrove stand (stem) and leaf litters in year 2020 compared those 
calculated in 2016 with the estimated carbon deposited in the mangrove stand (stem) as much 144.142 
tons/ha, for the value of estimated carbon stored in the leaf litters was 1.35 tons/ha and stored carbon in the 
sediment of 3.390 tons/ha. While the average content of C-organic (%) of sediment was 5.33% and of leaf 
litters was 5.49%.
Keywords: Mangrove, Carbon stock, ecosystem, spectrophotometer, Margasari, Labuhan Maringgai",,,
5,8,show,"Bukti coresponding jurnal internasional, judul artikel : Halotolerant Bacillus sp. for Mannan Degradation
Isolated from Mangrove Ecosystem at Hanura Beach
Lampung",['QR'],archive,2022-08-31 01:44:29,published,44575,public,http://repository.lppm.unila.ac.id/id/eprint/44575,pub,J Pure Appl Microbiol,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/166447', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 481905, 'hash': 'e612721719303285a7e602b1c168d41c', 'filename': 'Perbaikan bukti coresponding-1.pdf', 'mtime': '2022-08-31 01:01:42', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 569925, 'objectid': 166447, 'uri': 'http://repository.lppm.unila.ac.id/id/file/481905'}], 'docid': 166447, 'main': 'Perbaikan bukti coresponding-1.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 44575}]",2022-08-31 01:44:29,2022-08-31 01:44:29,965,1970-01-01 00:00:00.000002021,disk0/00/04/45/75,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Sumardi', 'given': 'Sumardi'}, 'id': 'sumardi_bio@yahoo.co.id'}]",['FMIPA5'],other,http://repository.lppm.unila.ac.id/,,,,,,,,"Bukti coresponding jurnal internasional, judul artikel : Halotolerant Bacillus sp. for Mannan Degradation
Isolated from Mangrove Ecosystem at Hanura Beach
Lampung",,,
6,7,show,"Bukti coresponding jurnal internasional, judul artikel :PROBIOTIC CANDIDATE PROTEOLYTIC Bacillus sp. COLLECTED
FROM MANGROVE OF MARGASARI, LAMPUNG",['QR'],archive,2022-08-31 01:44:32,published,44576,public,http://repository.lppm.unila.ac.id/id/eprint/44576,pub,Indonesian Journal of Forestry Research,"[{'eprintid': 44576, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 166448, 'main': 'Perbaikan bukti coresponding-2.pdf', 'files': [{'filename': 'Perbaikan bukti coresponding-2.pdf', 'hash': 'f3d896e1d587b406fbd1bd060f4cdb2e', 'mtime': '2022-08-31 01:13:00', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 481913, 'filesize': 1566132, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/481913', 'objectid': 166448}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166448', 'rev_number': 1}]",2022-08-31 01:44:32,2022-08-31 01:44:32,965,1970-01-01 00:00:00.000002021,disk0/00/04/45/76,"[{'id': 'sumardi_bio@yahoo.co.id', 'name': {'lineage': None, 'family': 'Sumardi', 'honourific': None, 'given': 'Sumardi'}}]",['FMIPA5'],other,http://repository.lppm.unila.ac.id/,,,,,,,,"Bukti coresponding jurnal internasional, judul artikel :PROBIOTIC CANDIDATE PROTEOLYTIC Bacillus sp. COLLECTED
FROM MANGROVE OF MARGASARI, LAMPUNG",,,
7,9,show,Isolation and Characterization of Anoxygenic Photosynthetic Bacteria for Reducing Ammonia and Probiotics candidate,['QR'],archive,2022-09-06 01:26:35,published,44790,public,http://repository.lppm.unila.ac.id/id/eprint/44790,pub,Asian Journal of Scientific Research,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166679', 'docid': 166679, 'main': 'Perbaikan % similarity Isolation and Characterization of BFA.pdf', 'files': [{'filesize': 547859, 'datasetid': 'document', 'mtime': '2022-09-05 22:38:56', 'hash_type': 'MD5', 'filename': 'Perbaikan % similarity Isolation and Characterization of BFA.pdf', 'hash': '39143784a065df8994da4facef036bb8', 'fileid': 483553, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/483553', 'objectid': 166679}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 44790, 'placement': 1, 'security': 'public'}]",2022-09-06 01:26:35,2022-09-06 01:26:35,965,1970-01-01 00:00:00.000002021,disk0/00/04/47/90,"[{'id': 'sumardi_bio@yahoo.co.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Sumardi', 'given': 'Sumardi'}}]",['FMIPA5'],other,http://repository.lppm.unila.ac.id/,,,,,,,,Isolation and Characterization of Anoxygenic Photosynthetic Bacteria for Reducing Ammonia and Probiotics candidate,,,Pakistan
8,7,show,Similarity cek jurnal: Potentially lactic acid bacteria as an EPS producing starter from yellow sweet potato fermentation,['QR'],archive,2022-09-21 01:51:30,published,45053,public,http://repository.lppm.unila.ac.id/id/eprint/45053,pub,Biodiversitas - UNS,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166973', 'main': 'Perbaikan % similarity Potentially lactic acid - UNS.pdf', 'docid': 166973, 'files': [{'filesize': 455139, 'datasetid': 'document', 'mtime': '2022-09-20 08:16:26', 'hash_type': 'MD5', 'filename': 'Perbaikan % similarity Potentially lactic acid - UNS.pdf', 'hash': '581894f2a7a5a81b192ec2fb71f656e5', 'fileid': 485609, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/485609', 'objectid': 166973}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 45053, 'placement': 1, 'security': 'public'}]",2022-09-21 01:51:30,2022-09-21 01:51:30,965,1970-01-01 00:00:00.000002021,disk0/00/04/50/53,"[{'name': {'given': 'Sumardi', 'honourific': None, 'family': 'Sumardi', 'lineage': None}, 'id': 'sumardi_bio@yahoo.co.id'}]",['FMIPA5'],other,,,,,,,,,Similarity cek jurnal: Potentially lactic acid bacteria as an EPS producing starter from yellow sweet potato fermentation,,,
9,6,show,"PROBIOTIC CANDIDATE PROTEOLYTIC Bacillus sp. COLLECTED 
FROM MANGROVE OF MARGASARI, LAMPUNG",['SH'],archive,2021-06-10 03:12:06,,32476,public,http://repository.lppm.unila.ac.id/id/eprint/32476,pub,,"[{'security': 'public', 'placement': 1, 'eprintid': 32476, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-06-10 02:36:57', 'hash': 'e68f621df025c725e559336816fe0b7f', 'filename': 'IJFR.pdf', 'fileid': 384336, 'mime_type': 'application/pdf', 'filesize': 534004, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/384336', 'objectid': 147425}], 'docid': 147425, 'main': 'IJFR.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/147425', 'rev_number': 1, 'format': 'text', 'pos': 1}]",2021-06-10 03:12:06,2021-06-10 03:12:06,824,2021-04-01 00:00:00.000000000,disk0/00/03/24/76,"[{'name': {'given': 'Sumardi', 'lineage': None, 'honourific': None, 'family': 'Sumardi'}, 'id': 'sumardi_bio@yahoo.co.id'}, {'id': None, 'name': {'honourific': None, 'family': 'Rima', 'lineage': None, 'given': 'Komang'}}, {'id': 'alfarisi.mdr@gmail.com', 'name': {'family': 'Farisi', 'honourific': None, 'lineage': None, 'given': 'Salman'}}, {'id': 'elwidi@yahoo.com', 'name': {'given': 'E.L.', 'family': 'Widiastuti', 'honourific': None, 'lineage': None}}]",['FMIPA5'],article,,8.0,,Indonesian Journal of Forestry Research,2355-7079,73-84,FALSE,,"PROBIOTIC CANDIDATE PROTEOLYTIC Bacillus sp. COLLECTED FROM MANGROVE OF 
MARGASARI, LAMPUNG. Intensive shrimp culture has encountered many problems, such as declining 
water quality through disease caused by pathogenic microbes, which affected mortality. This study aimed to 
determine any potential probiotic from Bacillus sp. collected from mangrove in East Lampung, which could 
be used to improve the cultured shrimps' proteolytic and probiotic activity. This is a descriptive research 
with sampling and data collection of bacteria from many samples of mangrove. Result shows 128 isolates 
Bacillus from which then it has arrived at five potential probiotic Bacillus sp. The study five Bacillus sp. has 
been isolated with potential properties for probiotic (KPP212, IP121, UJ131, UJ132, SB141). Each isolate 
has characteristics with proteolytic property, growth in a wide range of pH 4–10 and osmotic stress (0–6% 
NaCl), non-pathogenic, ability for glucose fermentation, non-motile, and has negative catalase activity. The 
five potential Bacillus sp. can be used as probiotics for shrimp farming.",,1.0,
