,rev_number,event_type,metadata_visibility,title,event_dates,subjects,abstract,status_changed,eprint_status,event_location,date_type,event_title,eprintid,full_text_status,uri,refereed,ispublished,pres_type,documents,datestamp,lastmod,userid,date,dir,creators,divisions,type,publisher,volume,place_of_pub,isbn,number,pages,editors,series,official_url,corp_creators,book_title,pagerange,patent_applicant,id_number,publication,issn,related_url,contributors,contact_email,keywords,referencetext
0,8,conference,show,WASTE BANK: THE STRATEGY AND COMMUNITY BASED ENVIRONMENTAL GOVERNANCE,SEPTEMBER 2016,['H1'],"Waste bank program as community-based environmental government empower community and emerges their awareness to sort, recycle and utilize waste wisely in order to reduce the waste in landfill area. This paper intends to describe and analyze the strategy of waste bank program conducted in Bandar Lampung City through the coordination between local government, and public especially in neighborhood area. This study is descriptive-qualitative analytics research based on interview, observation, and desk study. This paper show that the strategy of waste bank program influence most by the factors of project management and organizational performance. Lack of facilities and infrastructures also become the main obstacle in the implementation of this strategy in Bandar Lampung.

Keywords: Waste bank, Community, Environmental Governance, Bandar Lampung",2017-11-10 15:27:28,archive,BANDAR LAMPUNG,published,SHIELD CONFERENCE 2017,4255,public,http://repository.lppm.unila.ac.id/id/eprint/4255,TRUE,pub,paper,"[{'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'security': 'public', 'placement': 1, 'eprintid': 4255, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17142', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 17142, 'uri': 'http://repository.lppm.unila.ac.id/id/file/42779', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 42779, 'hash': 'd10e9bd3b90fbafbd5ee835b0923aaf9', 'filename': 'WASTE BANK.docx', 'hash_type': 'MD5', 'mtime': '2017-11-01 04:16:20', 'datasetid': 'document', 'filesize': 137458}], 'main': 'WASTE BANK.docx', 'docid': 17142}]",2017-11-10 15:27:28,2017-11-10 15:27:28,205,2017-09-01 00:00:00.000000000,disk0/00/00/42/55,"[{'id': 'intan.fitri@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Fitri Meutia', 'honourific': None, 'given': 'Intan'}}]",['FISIP1'],conference_item,,,,,,,,,,,,,,,,,,,,,
1,8,,show,Penilaian Rekan Sejawat: Individual Competency Study in the Evolution of Human Resource Management Theory and Its Relation to Organizational Competency,,['H1'],,2022-02-18 09:06:04,archive,,,,39499,public,http://repository.lppm.unila.ac.id/id/eprint/39499,,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/160779', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2022-02-18 04:23:30', 'filename': 'Review Individual.pdf', 'hash': 'dcc3098ce87839fc3e57681ba79b342b', 'fileid': 443760, 'mime_type': 'application/pdf', 'filesize': 623722, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/443760', 'objectid': 160779}], 'main': 'Review Individual.pdf', 'docid': 160779, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 39499}]",2022-02-18 09:06:04,2022-02-18 09:06:04,145,1970-01-01 00:00:00.000002017,disk0/00/03/94/99,"[{'name': {'given': 'Jeni', 'lineage': None, 'family': 'Jeni Wulandari', 'honourific': None}}, {'name': {'given': 'Jaja R', 'honourific': None, 'family': ""Sam'um"", 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Heru', 'given': 'Nurasa'}}, {'name': {'given': 'Abdul Muhyi', 'lineage': None, 'honourific': None, 'family': 'Herwan'}}]",['FISIP1'],other,Pakistan Society of Business and Management Research,,,,,,,,,,,,,,,,,,,,
2,10,,show,Buku Statistika Bisnis,,['HA'],"B
uku ajar statistik bisnis ini dibuat agar mahasiswa mampu memahami statistik dalam rangka membantu memecahkan permasalahan bisnis dan juga dapat digunakan untuk pembuatan keputusan bisnis. Buku ini diawali pembahasan urgensi mempelajari statistik, peran ilmu statistik dalam bisnis dan industri, cara berpikir statistik. Selanjutnya dilengkapi dengan aplikasi dan contoh penggunaan statistik dalam kehidupan sehari-hari maupun pada dunia bisnis, serta riset-riset bisnis yang menggunakan statistik. 

Pembahasan dilanjutkan dengan memberikan pengertian Pendalaman Tipe-Tipe Statistik, Statistik Deskriptif, Statistik Inferensial, Metode Pengumpulan Data,  Pengolahan Data, Penyajian Data, Distribusi Frekuensi, Ukuran Nilai Sentral,  Annova, analisis Varians Satu jalan ( One Way Annova), analisis Varians Satu jalan ( One Way Annova).

Bab berikutnya akan menjelaskan tentang Alat Analisis Data, Analisis Regresi dan Korelasi, Analisis Regresi Berganda, Asumsi Klasik, selanjutnya pembahasan statistic dalam buku ini aka ditutup dengan pembahasan tentang Statistika non-parametrik I, Prinsip-prinsip statistika non-parametrik, uji Kolmogorov-Smirnov, Statistika non-parametrik 2 berupa  Uji Wilcoxon dan Uji Mann-Whitney.",2019-02-28 02:52:11,archive,,published,,10835,public,http://repository.lppm.unila.ac.id/id/eprint/10835,FALSE,pub,,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23848', 'main': 'buku statistik.pdf', 'docid': 23848, 'files': [{'mime_type': 'application/pdf', 'fileid': 99786, 'hash': 'ab4149870e08b82927332774e7bc0deb', 'filename': 'buku statistik.pdf', 'hash_type': 'MD5', 'mtime': '2019-02-23 09:05:51', 'datasetid': 'document', 'filesize': 1648691, 'objectid': 23848, 'uri': 'http://repository.lppm.unila.ac.id/id/file/99786'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 10835, 'placement': 1, 'security': 'public'}]",2019-02-28 02:52:11,2019-02-28 02:52:11,545,2017-10-01 00:00:00.000000000,disk0/00/01/08/35,"[{'name': {'lineage': None, 'family': 'Lestari', 'honourific': None, 'given': 'Baroroh'}}, {'name': {'given': 'Suprihatin', 'family': 'Ali', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Supriyanto', 'lineage': None, 'honourific': None, 'family': 'Supriyanto'}}]",['FISIP1'],book,AURA,1.0,BandarLampung,978-602-6739-51-3,1.0,130.0,"[{'name': {'given': 'Mohammad', 'family': 'Nizar', 'honourific': None, 'lineage': None}}]",1,,,,,,,,,,,,,
3,9,,show,Building a Lasting Corporate Legacy CSR 2.0 For The Mining Industry,,"['H1', 'HB', 'HC']","""It is essential to design a strategy of Corporate Social Responsibility(CSR), especially for the mining companies through the Visser's CSR 2.0 concept. Social constructionism and on the design approach of imagineering are needed to establish and maintain strong community engagement through CSR 2.0 by adjusting to the specific context in the mining industry. Thus, this book offers a model of 'acr now and think long-term' in building a lasting corporate legacy for mining companies, especally in Indonesia"".",2018-10-29 04:24:59,archive,,published,,8719,public,http://repository.lppm.unila.ac.id/id/eprint/8719,TRUE,pub,,"[{'files': [{'datasetid': 'document', 'filesize': 1340700, 'fileid': 85059, 'mime_type': 'application/pdf', 'mtime': '2018-08-12 23:42:01', 'hash_type': 'MD5', 'filename': 'Building.pdf', 'hash': '8f51acf10ca3c900f087473a09da056d', 'objectid': 21797, 'uri': 'http://repository.lppm.unila.ac.id/id/file/85059'}], 'docid': 21797, 'main': 'Building.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21797', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 8719, 'language': 'en', 'mime_type': 'application/pdf'}]",2018-10-29 04:24:59,2018-10-29 04:24:59,117,2017-10-25 00:00:00.000000000,disk0/00/00/87/19,"[{'name': {'given': 'Unang Mulkhan', 'family': 'Mulkhan', 'honourific': None, 'lineage': None}, 'id': 'mulkhan2010@gmail.com'}]",['FISIP1'],book,Lampung University,2.0,Indonesia,978-602-6739-67-4,,48.0,"[{'name': {'given': 'Mohammad', 'family': 'Nizar', 'honourific': None, 'lineage': None}}]",,http://www.aura-publishing.com,['Aura Publishing'],,,,,,,,,,,
4,11,,show,Corporate Sustainability Reporting: Indonesia and the Netherlands,,"['H1', 'HB', 'HC']","In 2008, Klynveld Peat Marwick Geodeler (KPMG), one of the largest professional services firms in the world, released one of the most significant set of findings on corporate responsibility reporting. According to this report, 80 percent of the largest 250 companies worldwide issue corporate social responsibility (CSR) reporting. This figure has grown significantly compared to 2005, when 50 percent of these companies published on their CSR activities. The trend towards moder CSR reporting cleary donates that CSR is gathering global momentum.",2018-10-29 04:25:01,archive,,published,,8720,public,http://repository.lppm.unila.ac.id/id/eprint/8720,TRUE,pub,,"[{'eprintid': 8720, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Corporate.pdf', 'docid': 21798, 'files': [{'datasetid': 'document', 'filesize': 2641744, 'fileid': 85068, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-08-12 23:58:02', 'hash': 'd6d57c3c4d01386c69d1ce655008f6a6', 'filename': 'Corporate.pdf', 'objectid': 21798, 'uri': 'http://repository.lppm.unila.ac.id/id/file/85068'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21798'}]",2018-10-29 04:25:01,2018-10-29 04:25:01,117,2017-10-26 00:00:00.000000000,disk0/00/00/87/20,"[{'id': 'mulkhan2010@gmail.com', 'name': {'family': 'Mulkhan', 'honourific': None, 'lineage': None, 'given': 'Unang Mulkhan'}}]",['FISIP1'],book,Lampung University,,Indonesia,978-602-5636-02-8,,100.0,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Nizar', 'given': 'Mohammad'}}]",,http://www.aura-publishing.com,['Aura Publishing'],,,,,,,,,,,
5,7,,show,"Corporate Sustainability Reporting: Indonesia and the Netherlands. Lampung University, Indonesia",,['AC'],Peer review,2020-10-27 02:16:08,archive,,published,,24385,public,http://repository.lppm.unila.ac.id/id/eprint/24385,,pub,,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38112', 'docid': 38112, 'main': 'reviewer unang corporate.pdf', 'files': [{'objectid': 38112, 'uri': 'http://repository.lppm.unila.ac.id/id/file/221818', 'datasetid': 'document', 'filesize': 1083104, 'fileid': 221818, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-10-27 01:51:10', 'hash': '1990b0dac16353741286f8cc7f8509b2', 'filename': 'reviewer unang corporate.pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 24385, 'placement': 1, 'security': 'public'}]",2020-10-27 02:16:08,2020-10-27 02:16:08,117,1970-01-01 00:00:00.000002017,disk0/00/02/43/85,"[{'name': {'given': 'Unang Mulkhan', 'honourific': None, 'family': 'Mulkhan', 'lineage': None}, 'id': 'mulkhan2010@gmail.com'}]",['FISIP1'],other,Aura,,,,,,,,,,,,,,,,,,,,
6,10,,show,Human Excellence for Sustainable CSR,,"['H1', 'HB', 'HC']","""Business etchics based on virtue is increasingly viewed as an appropiate ethical framework for corporate policies and practices. In his article in Business ecthics quarterly, in 2000, 'Business with Virtue: Maybe Next Year', Solomon is concerned with how global corporations can demostrate their integrity to humanity by using virtue ethics, This book is focus attention in modern business ethics has come from a sense of individual ethical value. Virtue ethics from part of Aristotle's ideas as set out in his 'Nichomanchean Ethics' (NE), which ecplains that a good man is to live according to virtue, and the good life is the virtuous life(living virtue). Aristotle explained virtue ethics as excellemce of charater, based on habit"",",2018-10-29 04:24:57,archive,,published,,8718,public,http://repository.lppm.unila.ac.id/id/eprint/8718,TRUE,pub,,"[{'eprintid': 8718, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 21796, 'main': 'Humans.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 85049, 'hash': '165777175c2a08a8625fbf959313f41a', 'filename': 'Humans.pdf', 'mtime': '2018-08-12 23:28:17', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 1943349, 'objectid': 21796, 'uri': 'http://repository.lppm.unila.ac.id/id/file/85049'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21796', 'rev_number': 1}]",2018-10-29 04:24:57,2018-10-29 04:24:57,117,2017-10-11 00:00:00.000000000,disk0/00/00/87/18,"[{'id': 'mulkhan2010@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Mulkhan', 'given': 'Unang Mulkhan'}}]",['FISIP1'],book,Lampung University,1.0,Indonesia,978-602-5636-03-5,,82.0,,,http://www.aura-publishing.com,['Aura Publishing'],,,,,,,,,,,
7,7,,show,"Human Excellence for Sustainable CSR. Lampung University, Indonesia.",,['AC'],Peer Review,2020-10-27 02:16:19,archive,,published,,24389,public,http://repository.lppm.unila.ac.id/id/eprint/24389,,pub,,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/221846', 'objectid': 38116, 'hash': '7ecac7ae5344344f5b3f9a95ceabc0fa', 'filename': 'Reviewer Unang Human.pdf', 'hash_type': 'MD5', 'mtime': '2020-10-27 01:59:52', 'mime_type': 'application/pdf', 'fileid': 221846, 'filesize': 928678, 'datasetid': 'document'}], 'docid': 38116, 'main': 'Reviewer Unang Human.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38116', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 24389, 'mime_type': 'application/pdf', 'language': 'en'}]",2020-10-27 02:16:19,2020-10-27 02:16:19,117,1970-01-01 00:00:00.000002017,disk0/00/02/43/89,"[{'name': {'family': 'Mulkhan', 'honourific': None, 'lineage': None, 'given': 'Unang Mulkhan'}, 'id': 'mulkhan2010@gmail.com'}]",['FISIP1'],other,Aura,,,,,,,,,,,,,,,,,,,,
8,10,,show,"Anak, Perempuan dan Sustainable Development Goals (SDGs)",,"['H1', 'HN']","Sudah lebih dari 20 tahun isu gender di Indonesia termasuk perempuan dan anak dalam pembangunan diwacanakan, didiskusikan, dan impelementasikan oleh berbagai kalangan, mulai dari akademisi, aktifis, pengambil kebijakan, bahkan masyarakat tingkat, regional, dan nasioanal. Terlebih komitmen global terkait gender, Perempuan dan anak sudah ada dalam millennium Development Goals(MDGs)yang telah berakhir pada september 2015 dulanjutkan dengan agenda agenda pembangunnan Berkelanjuttan/ sustainaboel,Development Goals (SDG's",2018-10-26 10:16:03,archive,,published,,8721,public,http://repository.lppm.unila.ac.id/id/eprint/8721,FALSE,pub,,"[{'security': 'public', 'placement': 1, 'eprintid': 8721, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'fileid': 85079, 'mime_type': 'application/pdf', 'mtime': '2018-08-13 02:41:42', 'hash_type': 'MD5', 'filename': 'Anak.pdf', 'hash': 'f56086e4e97d0df34d71e1c1a6eab2eb', 'datasetid': 'document', 'filesize': 5734394, 'objectid': 21799, 'uri': 'http://repository.lppm.unila.ac.id/id/file/85079'}], 'main': 'Anak.pdf', 'docid': 21799, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21799', 'format': 'text', 'pos': 1}]",2018-10-26 10:16:03,2018-10-26 10:16:03,117,2017-10-29 00:00:00.000000000,disk0/00/00/87/21,"[{'id': 'uangmulkhan2010@gmail.com', 'name': {'given': 'Unang Mulkhan', 'family': 'Mulkhan', 'honourific': None, 'lineage': None}}, {'id': 'noverman.duadji@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'noverman duadji', 'given': 'noverman'}}]",['FISIP1'],book_section,Lampung University,,Indonesia,978-602-8610-43-8,,107.0,,,,,"Anak, Perempuan dan Sustainable Development Goals (SDGs)",1-27,,,,,,,,,
9,8,,show,Hak Cipta Buku Operasi Bisnis,,"['H1', 'HB']","Buku ajar Operasi Bisnis ini ditulis untuk melengkapi media pembelajaran dan sekaligus sebagai pegangan bagi mahasiswa Jurusan Ilmu Administrasi Bisnis FISIP Universitas Lampung dalam menempuh mata kuliah Operasi Bisnis. Buku ini cocok digunakan oleh mahasiswa, terutama strata satu (S-1), Jurusan Adm. Bisnis, Manajemen, dan Akuntansi. Sajian materi  dalam buku ajar ini lebih ringkas dan langsung menuju pada pokok bahasannya. Penyampaian materi ajar tiap bab dapat dilakukan secara tutorial, latihan soal, dan praktikum. Khusus pada Bab Manajemen Mutu, penyampaian materi ajar pada Subbab Pengukuran Mutu Secara Statistik, memerlukan bantuan software POM For Windows. Untuk mempermudah memahami penggunaan software tersebut pembaca dapat merujuk ke buku karangan Rander & Heizer (2001).",2023-04-26 03:24:16,archive,,published,,50752,public,http://repository.lppm.unila.ac.id/id/eprint/50752,,pub,,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/546796', 'objectid': 190454, 'filesize': 2069521, 'datasetid': 'document', 'hash': 'a4c948e48e6553a86b737a9509c76c8a', 'filename': 'Sertifikat HaKI Operasi Bisnis.pdf', 'mtime': '2023-04-26 02:17:24', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 546796}], 'main': 'Sertifikat HaKI Operasi Bisnis.pdf', 'docid': 190454, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190454', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 50752, 'language': 'en', 'mime_type': 'application/pdf'}]",2023-04-26 03:24:16,2023-04-26 03:24:16,348,1970-01-01 00:00:00.000002017,disk0_bak/00/05/07/52,"[{'name': {'given': 'Ahmad', 'honourific': None, 'family': ""Rifa'i"", 'lineage': None}, 'id': 'rifaiunila@gmail.com'}]",['FISIP1'],patent,,,,,,71.0,,,,['Universitas Lampung'],,,Ahmad Rifa'i,321595,,,,,,,
