,type,divisions,creators,dir,date,corp_creators,lastmod,userid,pagerange,datestamp,documents,pres_type,ispublished,refereed,full_text_status,uri,eprintid,event_title,event_location,eprint_status,status_changed,abstract,subjects,title,event_dates,metadata_visibility,rev_number,event_type,publisher,date_type,publication,issn,number,related_url,volume,official_url,isbn,place_of_pub,editors,pages,id_number,funders,contact_email,projects,contributors
0,conference_item,['FISIP1'],"[{'id': None, 'name': {'family': 'Aprilia', 'honourific': None, 'lineage': None, 'given': 'Hani Damayanti'}}, {'name': {'given': 'Mediya', 'family': 'Destalia', 'honourific': None, 'lineage': None}, 'id': 'media.destalia@fisip.unila.ac.id'}, {'name': {'given': 'Ida Vivi', 'honourific': None, 'family': 'Pusvitha', 'lineage': None}, 'id': None}]",disk0/00/01/56/86,2019-08-08 00:00:00.000000000,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",2019-11-14 09:21:13,307,1-10,2019-11-14 09:21:13,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29052', 'pos': 1, 'format': 'text', 'files': [{'fileid': 136897, 'mime_type': 'text/rtf', 'hash_type': 'MD5', 'mtime': '2019-11-08 05:22:55', 'hash': '57460441f947898dd286d6eb050e955d', 'filename': '24 APLIKASI FILE TRANSFER PROTOCOL (FTP) DALAM ADMINISTRASI DIGITAL.rtf', 'datasetid': 'document', 'filesize': 412298, 'objectid': 29052, 'uri': 'http://repository.lppm.unila.ac.id/id/file/136897'}], 'docid': 29052, 'main': '24 APLIKASI FILE TRANSFER PROTOCOL (FTP) DALAM ADMINISTRASI DIGITAL.rtf', 'mime_type': 'text/rtf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 15686}]",speech,unpub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/15686,15686,"Seminar Nasional FISIP UNILA ke-3 ""Agenda Baru Pembangunan Indonesia Berbasis Local Knowledge""","Bukti Randu Hotel and Resort, Bandarlampung",archive,2019-11-14 09:21:13,"Arsip tidak sekedar kumpulan kertas dan dokumen, tetapi arsip merupakan sumber data dan informasi penting yang akan menunjang aktivitas operasional perusahaan.Mengelola arsip bukan pekerjaan mudah. Kebanyakan arsip disimpan dalam ruangan yang penuh, sesak, tidak rapih, dengan pegawai yang mengelola sudah tua dengan keterampilan yang rendah.  Pandangan tersebut kini telah berubah. Saat ini, arsip disimpan dengan lebih rapi dan tertata, bahkan banyak perusahaan yang sudah mengimplementasikan arsip secara elektronik melalui aplikasi file protocol transfer (FTP) sebagai bentuk efisiensi. Salah satu perusahaan yang menerapkan aplikasi FTP adalahPT PLN (Persero) Distribusi Lampung. Penelitian dilakukan menggunakan teknik observasi, wawancara, dokumentasi, dan study pustaka. Analisis data menggunakan analisis data model interaktif yang dikembangkan oleh Miles & Huberman.Hasil penelitian menunjukkan bahwa penyimpanan dan pendistribusian arsip menggunakan aplikasi File Transfer Protocol (FTP) sangat efektif dan efisien karena tidak banyak membutuhkan waktu dan tenaga untuk memperoleh dokumen tersebut dari area maupun rayon dan apabila terjadi kegagalan dalam mentransfer informasi pada jaringan, file tersebut dapat dikirim lagi tanpa perlu menjalankan kembali aplikasi yang digunakan.",['H1'],APLIKASI FILE TRANSFER PROTOCOL (FTP) DALAM ADMINISTRASI DIGITAL,08 Agustus 2019,show,9,conference,,,,,,,,,,,,,,,,,
1,other,['FISIP1'],"[{'id': 'gita.djausal@fisip.unila.ac.id', 'name': {'given': 'Gita Paramita', 'lineage': None, 'family': 'Djausal', 'honourific': None}}, {'id': 'fitrijuliana@fisip.unila.ac.id', 'name': {'given': 'Fitri Juliana', 'lineage': None, 'family': 'sanjaya', 'honourific': None}}]",disk0/00/02/38/92,1970-01-01 00:00:00.000002019,,2020-09-10 01:14:05,2805,,2020-09-10 01:14:05,"[{'main': 'GITA PARAMITA D-FISIP-PDP-2019.pdf', 'docid': 37573, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/217911', 'objectid': 37573, 'hash': 'c84a4ba7da4f2f61be85d3292bc53a4b', 'filename': 'GITA PARAMITA D-FISIP-PDP-2019.pdf', 'hash_type': 'MD5', 'mtime': '2020-09-04 05:43:29', 'mime_type': 'application/pdf', 'fileid': 217911, 'filesize': 1141156, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37573', 'rev_number': 1, 'eprintid': 23892, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",,unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/23892,23892,,,archive,2020-09-10 01:14:05,"Indonesia memiliki kerja sama internasional, yang selaras dengan kepentingan nasionalnya. Jalinan kerja sama tersebut diwujudkan dalam dokumen yang disepakati oleh semua anggota organisasi internasional. Dalam penelitian ini, tim peneliti akan mengaji kerja sama Indonesia dalam indikator-indikator capaian Masyarakat ASEAN 2025 terkait isu konservasi keanekaragaman hayati. Poin-poin capaian telah ditentukan pada dokumen Cetak Biru Masyarakat ASEAN 2025 dan Masyarakat Sosial Budaya ASEAN, namun hal tersebut belum dapat dijadikan sebagai indikator bagi Provinsi Lampung. Rekomendasi penentuan indikator dapat digunakan oleh pemerintah daerah untuk mengukur kesiapan dan menentukan kebijakan strategis dalam keterlibatan isu internasional. Metode penelitian yang dilakukan adalah pendekatan kualitatif dengan teknik diskursus. Sumber data yang digunakan adalah dokumen yang dikeluarkan oleh Kementerian Luar Negeri, Direktorat Kerja Sama ASEAN, Environmental Performance Index dan juga dokumen terkait lainnya. Penelitian ini akan menghasilkan indikator konservasi keanekaragaman hayati Provinsi Lampung mendukung capaian Negara Republik Indonesia dalam terwujudnya Masyarakat ASEAN 2025.",['H1'],"Laporan Akhir PARADIPLOMASI KEANEKARAGAMAN HAYATI PROVINSI
LAMPUNG DALAM KERANGKA MASYARAKAT ASEAN 2025",,show,10,,LPPM Unila,completed,,,,,,,,,,,,,,,
2,other,['FISIP1'],"[{'id': None, 'name': {'given': 'Khaidarmansyah', 'lineage': None, 'family': 'Khaidarmansyah', 'honourific': None}}, {'name': {'given': 'Iwan', 'honourific': None, 'family': 'Sulistyo', 'lineage': None}, 'id': 'iwsulistyo@gmail.com'}, {'name': {'honourific': None, 'family': 'Mulkhan', 'lineage': None, 'given': 'Unang Mulkhan'}, 'id': 'mulkhan2010@gmail.com'}, {'id': 'indrajaya.wiranata@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Wiranata', 'honourific': None, 'given': 'Indra Jaya'}}]",disk0/00/02/43/91,1970-01-01 00:00:00.000002019,,2020-10-27 02:16:26,117,,2020-10-27 02:16:26,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 24391, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38118', 'format': 'text', 'pos': 1, 'files': [{'objectid': 38118, 'uri': 'http://repository.lppm.unila.ac.id/id/file/221860', 'datasetid': 'document', 'filesize': 1047811, 'mime_type': 'application/pdf', 'fileid': 221860, 'filename': 'reviewer unang the role.pdf', 'hash': 'af5fb3ce1df7e27518d523d308606d24', 'hash_type': 'MD5', 'mtime': '2020-10-27 02:06:59'}], 'main': 'reviewer unang the role.pdf', 'docid': 38118}]",,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/24391,24391,,,archive,2020-10-27 02:16:26,Peer Review,['AC'],The Role of Local Government on Human Rights City and SDGs through Post-NPM Perspective: Best Practice of Bandar Lampung City of Indonesia,,show,7,,The 9th World Human Rights Cities Forum,published,,,,,,,,,,,,,,,
3,article,['FISIP1'],"[{'id': None, 'name': {'honourific': None, 'family': 'Komarsyah', 'lineage': None, 'given': 'Dian'}}, {'id': None, 'name': {'given': 'Hani Damayanti', 'lineage': None, 'family': 'Aprilia', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Efendi', 'given': 'N'}, 'id': 'nur.efendi@fisip.unila.ac.id'}, {'id': None, 'name': {'family': 'Aprilani', 'honourific': None, 'lineage': None, 'given': 'Deddy'}}]",disk0/00/02/15/17,2019-12-01 00:00:00.000000000,,2020-06-02 13:56:06,1005,19-27,2020-06-02 13:56:06,"[{'main': 3, 'docid': 34914, 'files': [{'objectid': 34914, 'uri': 'http://repository.lppm.unila.ac.id/id/file/199616', 'fileid': 199616, 'mime_type': 'text/html', 'hash_type': 'MD5', 'mtime': '2020-06-02 12:53:32', 'hash': '1a5e9d8ffc42a16c1c53732dcabf7e66', 'filename': 3, 'datasetid': 'document', 'filesize': 3827}], 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34914', 'eprintid': 21517, 'placement': 1, 'security': 'public', 'mime_type': 'text/html', 'language': 'en'}]",,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/21517,21517,,,archive,2020-06-02 13:56:06,"ABSTRACT
The aim of this research is seeking further on organization’s effectivity through 7S McKinsey in FISIP Universitas Lampung using qualitative method. We found that the seven dimensions (strategies, system, staff, skills, structures, and style) have been established in the organization. The six dimensions give potentially positive influence in the working goals, only one which is staff that have negative influence.
Keywords: Effectivity, Organization, 7S McKinsey.
ABSTRAK
Penelitian ini bertujuan mendiagnonis efektivitas organisasi yang komprehensif dengan menggunakan Model 7S McKinsey. Perspektif penelitian kualitatif pada FISIP Universitas Lampung. Hasil penelitian menjelaskan strategi yang digunakan Fisip Unila dalam pencapaian tujuan telah menggunakan Model 7S McKinsey. Tujuh dimensi dalam Model 7S McKinsey telah berjalan, dimengerti dan dipahami anggota organisasi di FISIP Unila, 7 dimensi tersebut antara lain nilai yang dibagi, strategi, sistem, staf, keterampilan, struktur dan gaya telah berjalan selaras. Dari tujuh dimensi yang ada, enam dimensi yaitu nilai yang dibagi, strategi, sistem, keterampilan, struktur dan gaya, memiliki potensi berpengaruh positif bagi kinerja FISIP Unila. Sedangkan dimensi staf berpotensi negatif terhadap kinerja FISIP Unila.
Kata kunci: Efektivitas, Organisasi, 7S McKinsey.
PENDAHULUAN",['HN'],DIAGNOSIS EFEKTIVITAS ORGANISASI MODEL 7S MCKINSEY,,show,7,,Administrasi Bisnis FISIP Universitas Lampung,published,Jurnal Perspektif Bisnis,2338-1115,1.0,[{'url': 'http://jpb.fisip.unila.ac.id/index.php/jpb/article/view/7/3'}],2,http://jpb.fisip.unila.ac.id,,,,,,,,,
4,other,['FISIP1'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Oktavia', 'given': 'Elen'}, 'id': None}, {'id': 'mulkhan2010@gmail.com', 'name': {'honourific': None, 'family': 'Mulkhan', 'lineage': None, 'given': 'Unang Mulkhan'}}]",disk0/00/02/43/83,1970-01-01 00:00:00.000002019,,2020-10-27 02:16:02,117,,2020-10-27 02:16:02,"[{'main': 'reviewer unang analisis.pdf', 'docid': 38110, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/221804', 'objectid': 38110, 'filename': 'reviewer unang analisis.pdf', 'hash': 'd7be3a59dbbaeb854f2b344072f7f3ce', 'hash_type': 'MD5', 'mtime': '2020-10-27 01:45:13', 'mime_type': 'application/pdf', 'fileid': 221804, 'filesize': 1146730, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38110', 'eprintid': 24383, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/24383,24383,,,archive,2020-10-27 02:16:02,Peer Review,['AC'],Analisis Motivasi Pemuda dalam Bertani Kakao,,show,7,,Perspektif Bisnis,published,,,,,,,,,,,,,,,
5,article,['FISIP1'],"[{'name': {'given': 'Dora', 'family': 'Rinova', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'given': 'M', 'lineage': None, 'honourific': None, 'family': 'Oktaviannur'}, 'id': None}, {'name': {'lineage': None, 'family': 'Lestari', 'honourific': None, 'given': 'Baroroh'}, 'id': None}, {'id': 'nur.efendi@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Efendi', 'lineage': None, 'given': 'N'}}]",disk0/00/01/64/12,1970-01-01 00:00:00.000002019,,2019-11-14 10:34:53,468,244-252,2019-11-14 10:34:53,"[{'files': [{'hash': '123f87666cdfe9ec677e56a45d36f971', 'filename': 'Strategic Marketing.pdf', 'mtime': '2019-11-14 07:17:53', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 139976, 'filesize': 255319, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/139976', 'objectid': 29515}], 'main': 'Strategic Marketing.pdf', 'docid': 29515, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29515', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 16412, 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/16412,16412,,,archive,2019-11-14 10:34:53,,['H1'],Marketing Strategy Determination of Lampung Typical Batik in Micro Small Medium Enterprises in Bandar Lampung City by using SWOT Analysis,,show,6,,GMP Press and Printing,published,Review of Integrative Business and Economics Research,2304-1013,2.0,,8,http://buscompress.com/uploads/3/4/9/8/34980536/riber_8-s2_22_h18-182_244-252.pdf,,,,,,,,,
6,article,['FISIP1'],"[{'name': {'honourific': None, 'family': 'Sugino', 'lineage': None, 'given': 'Arif'}, 'id': 'arifsugiono01@gmail.com'}]",disk0/00/01/20/15,2019-05-05 00:00:00.000000000,['Ilmu Adm. Bisnis FISIP Unila'],2019-05-09 01:34:19,539,,2019-05-09 01:34:19,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/107600', 'objectid': 24997, 'filesize': 2893025, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2019-05-08 04:29:01', 'filename': 'Opini a.n. Arif Sugiono.jpeg', 'hash': '1a66c6fd6bc68f22449a6881808e9453', 'fileid': 107600, 'mime_type': 'image/jpeg'}], 'main': 'Opini a.n. Arif Sugiono.jpeg', 'docid': 24997, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24997', 'rev_number': 1, 'format': 'image', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 12015, 'mime_type': 'image/jpeg', 'language': 'en'}]",,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/12015,12015,,,archive,2019-05-09 01:34:19,"Artikel ini membahas kesiapan Provinsi Lampung sebagai Ibu kota, ketika wacana perpindahan Ibu kota keluar pulau Jawa.
Berbagai pertimbangan dibahas dalam artikel ini","['H1', 'HV']",Lampung Ibukota Indonesia..?,,show,7,,,published,SKH Radar Lampung,,,,,,,,,,,,,,
7,book,['FISIP1'],"[{'id': 'arif.sugiono@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Sugiono', 'given': 'Arif'}}]",disk0/00/01/06/24,2019-01-02 00:00:00.000000000,['Ilmu Administrasi Bisnis FISIP Universitas Lampung'],2019-01-24 07:25:25,539,,2019-01-24 07:25:25,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23626', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/98214', 'objectid': 23626, 'filesize': 5432043, 'datasetid': 'document', 'filename': 'Dinamika Organisasi Diera Disrutive.pdf', 'hash': 'a50363db93cc6847362307001713add8', 'hash_type': 'MD5', 'mtime': '2019-01-24 07:12:44', 'mime_type': 'application/pdf', 'fileid': 98214}], 'docid': 23626, 'main': 'Dinamika Organisasi Diera Disrutive.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 10624}]",,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/10624,10624,,,archive,2019-01-24 07:25:25,"Lingkungan organisasi yang selalu bergerak dinamis, menjadikan kajian dinamika organisasi selalu menarik untuk terus di pahami. Namun sedinamis apapun dinamika organisasi, setidaknya ada tiga bahasan yang memiliki daya ungkit besar bagi bahasan dinamika organisasi itu sendiri. 
Ketiga bahasan tersebut, adalah bagaimana kita mendesain sebuah organisasi sebagai organisasi yang pembelajar, memastikan organisasi kita terus beradaptasi dengan perubahan dengan memiliki kemampuan menciptaan pengetahuan organisasi, dan yang tidak kalah pentingnya adalah bagaimana kita mendesain sebuah organisasi yang  knowing organization di tengah arus informasi yang tumpah ruah setiap saat. Ketiga  bahasan tersebut, yang menurut penulis, perlu menjadi perhatian bagi para peneliti, praktisi jika ingin memperdalam kajian dinamika organisasi. Bahkan, bisa jadi, ketiga bahasan tersebut, layak kita sebut sebagai bahasan substantial yang bersifat kotemporer dalam kajian dinamika organisasi. 
Pemahaman akan ketiga tema pokok tersebut, akan lebih baik, jika didahului dengan bahasan tentang sejarah perkembangan kajian organisasi, dan tidak hanya lebih baik, tapi juga lebih lengkap, jika diakhiri dengan bahasan, bagaimana sebuah organisasi mempertahankan eksistensinya dengan tetap mencari keseimbangan antara inward dan outward looking oriented.",['HF'],Dinamika Organisasi di Era Disruptive : Sebuah kajian Subtantif dan Kontemporer,,show,8,,Arti Bumi Intaran,published,,,,,,,978-602-5963-31-5,Yogjakarta,"[{'name': {'given': 'Suradji', 'family': 'Suradji', 'honourific': None, 'lineage': None}}]",200.0,,,,,
8,other,['FISIP1'],"[{'id': 'arif.sugiono@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Sugiono', 'given': 'Arif'}}]",disk0/00/04/48/09,1970-01-01 00:00:00.000002019,,2022-09-06 06:21:11,539,,2022-09-06 06:21:11,"[{'eprintid': 44809, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': '3216.pdf', 'docid': 166705, 'files': [{'fileid': 483733, 'mime_type': 'application/pdf', 'mtime': '2022-09-06 04:13:35', 'hash_type': 'MD5', 'filename': '3216.pdf', 'hash': 'e51bcb23b93d4202851f15ca7f83b187', 'datasetid': 'document', 'filesize': 768624, 'objectid': 166705, 'uri': 'http://repository.lppm.unila.ac.id/id/file/483733'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166705', 'rev_number': 1}]",,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/44809,44809,,,archive,2022-09-06 06:21:11,,['H1'],"HAKI : Buku Dinamika Organsasi Di Era Disruptive Sebuah Kajian 
Substantif Dan Kontemporer",,show,7,,Kementrian Hukum dan Hak Asasi Manusia,,,,,,,,,,,,,,,,
9,other,['FISIP1'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Sugiono', 'given': 'Arif'}, 'id': 'arifsugiono01@gmail.com'}]",disk0/00/01/39/10,2019-01-02 00:00:00.000000000,['Ilmu Adm. Bisnis FISIP Unila'],2019-08-25 17:14:46,539,,2019-08-25 17:14:46,"[{'security': 'public', 'placement': 1, 'eprintid': 13910, 'content': 'published', 'language': 'id', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/121283', 'objectid': 26942, 'hash': 'e51bcb23b93d4202851f15ca7f83b187', 'filename': 'Sertifikat HKI a.n. Arif Sugiono.pdf', 'mtime': '2019-08-21 03:12:10', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 121283, 'filesize': 768624, 'datasetid': 'document'}], 'docid': 26942, 'main': 'Sertifikat HKI a.n. Arif Sugiono.pdf', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26942', 'format': 'archive', 'pos': 1}]",,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/13910,13910,,,archive,2019-08-25 17:14:46,,['HD28'],Hak Cipta atas Buku Dinamika Organisasi,,show,12,,Kementerian Hukum dan Hak Asasi Manusia,published,,,,,,,,,,,150880,['Unila'],arifsugiono01@gmail.com,['Unila'],
