,date_type,eprintid,place_of_pub,metadata_visibility,rev_number,official_url,title,abstract,subjects,related_url,status_changed,eprint_status,id_number,date,dir,creators,divisions,type,uri,full_text_status,publisher,documents,ispublished,contributors,datestamp,lastmod,corp_creators,userid,pages,editors,refereed,isbn,volume,number,pagerange,issn,publication,event_location,event_title,event_type,event_dates,pres_type,funders,department,institution,projects,monograph_type,contact_email,patent_applicant,succeeds,book_title
0,published,26596,ICOI- JEPANG,show,7,https://knepublishing.com/index.php/KnE-Social/article/view/3407/7174,Form Penilaian Reviewer: Value at Risk and Expected returns portfolio )companies listed on LQ45 index period 2013-2016,"Form Penilaian Reviewer:The objective of this research is to investigate whether there is a positive relationship between Value at Risk and Expected Portfolio Returns on the Indonesia Stock Exchange. The population of this research is companies listed on the LQ45 index for the period 2013–2016, and the sample is 20 companies that meet the criteria. Markowitz method was used to form 65 portfolios; each consists of a combination of two stocks that have a negative correlation. The result shows that there is no positive relationship between Value at Risk and Expected Portfolio Returns. On the contrary, the correlation coefficient indicated that there is a negative relationship between the variables, which means that there is an inverse relationship (high return low risk, and vice versa). It proves that the assumption of a rational investor is avoiding risk (risk averse). This result is also supported by the findings from Schroders Global Investment Trends Survey 2015, which shows that 63% of investors in Indonesia prefer to allocate their investments in instruments with low- and medium-risk levels. However, it does not mean that the concept of high-risk high-return is not applicable in Indonesia because the result is not significant.",['HG'],[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/12149'}],2020-11-22 11:51:41,archive,DOI: 10.18502/kss.v3i10.3407,2018-11-01 00:00:00.000000000,disk0/00/02/65/96,"[{'name': {'honourific': None, 'family': 'Adinda', 'lineage': None, 'given': 'Salsabila'}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hasnawati', 'given': 'Sri'}, 'id': 'sri.hasnawati@feb.unila.ac.id'}]",['FEB6'],other,http://repository.lppm.unila.ac.id/id/eprint/26596,public,ICOI,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 26596, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40494', 'rev_number': 1, 'docid': 40494, 'main': '18 reviewer Value at Risk and Expected return portofolio.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/239078', 'objectid': 40494, 'hash': '1b0bbcb3e086e427385223553e92b887', 'filename': '18 reviewer Value at Risk and Expected return portofolio.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-22 07:14:49', 'mime_type': 'application/pdf', 'fileid': 239078, 'filesize': 639581, 'datasetid': 'document'}]}]",pub,"[{'name': {'honourific': None, 'family': 'Adinda', 'lineage': None, 'given': 'Salsabila'}}, {'name': {'honourific': None, 'family': 'Hasnawati', 'lineage': None, 'given': 'Sri'}}]",2020-11-22 11:51:41,2020-11-22 11:51:41,['Universitas lampung'],1031,,,,,,,,,,,,,,,,,,,,,,,
1,,12797,Bandar Lampung,show,8,,E-COMMERCE,,['HF'],,2019-05-14 08:28:42,archive,,2018-11-26 00:00:00.000000000,disk0/00/01/27/97,"[{'id': None, 'name': {'honourific': None, 'family': 'Aida Sari', 'lineage': None, 'given': 'Aida Sari'}}, {'name': {'given': 'Faila', 'family': 'Shofa', 'honourific': None, 'lineage': None}, 'id': 'shofafaila@gmail.com'}, {'id': 'muji@feb.unila.ac.id', 'name': {'given': 'Mudji Rachmat', 'family': 'Ramelan', 'honourific': None, 'lineage': None}}]",['FEB6'],book,http://repository.lppm.unila.ac.id/id/eprint/12797,restricted,Pustaka At-Tirmizi,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/112911', 'objectid': 25770, 'hash_type': 'MD5', 'mtime': '2019-05-13 05:57:56', 'hash': '93c5c77bce60f481f580337e9b8eca94', 'filename': 'BUKU AJAR E COMMERCE.pdf', 'fileid': 112911, 'mime_type': 'application/pdf', 'filesize': 5317799, 'datasetid': 'document'}], 'docid': 25770, 'main': 'BUKU AJAR E COMMERCE.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25770', 'rev_number': 2, 'format': 'text', 'pos': 1, 'security': 'staffonly', 'placement': 1, 'eprintid': 12797, 'mime_type': 'application/pdf', 'language': 'en'}]",inpress,,2019-05-14 08:28:42,2019-09-25 04:30:14,,308,246.0,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Dede', 'given': 'Basti A'}}]",TRUE,978-602-5777-12-7,1.0,,,,,,,,,,,,,,,,,,
2,published,22878,,show,9,https://www.sciencepubco.com/index.php/ijet/article/view/12189,"Determinants of Attitude Tourist
in E-Tourism Usage","This paper examine the influence of five variables on attitude tourist: perceived ease of use, perceived usefulness, self efficacy, domain
specific innovativeness, and experience. The analysis attitude tourist toward e-tourism usage gauges the moderating role of e-trust. A
sample of 216 tourist of was analyzed using structural equation modeling. Result show that perceived ease of use, perceived usefulness,
domain specific inovativeness, and experience significantly influence attitude tourist. E-trust moderates the impact of e-tourism usage.
These results entail a better understanding of specificities, with practical actions for addressing their real needs and expectations. The
study limitations, implications, along with directions for further research are discussed.","['H1', 'HC']",,2020-06-30 03:35:41,archive,DOI: 10.14419/ijet.v7i4.12189,1970-01-01 00:00:00.000002018,disk0/00/02/28/78,"[{'name': {'given': 'AW', 'family': 'Anggalia Wibasuri', 'honourific': None, 'lineage': None}}, {'name': {'family': 'Satria Bangsawan', 'honourific': None, 'lineage': None, 'given': 'SB'}}, {'name': {'given': 'MS', 'honourific': None, 'family': 'Mahrinasari MS', 'lineage': None}}, {'name': {'given': 'RB', 'lineage': None, 'honourific': None, 'family': 'Ribhan'}}]",['FEB6'],article,http://repository.lppm.unila.ac.id/id/eprint/22878,public,Science Publishing Corporation,"[{'placement': 1, 'security': 'public', 'eprintid': 22878, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'hash_type': 'MD5', 'mtime': '2020-06-30 03:19:50', 'filename': 'Determinants of Attitude Tourist in E-Tourism Usage.pdf', 'hash': '11d83fb535484b783447d0f07e72d1de', 'fileid': 209945, 'mime_type': 'application/pdf', 'filesize': 2809710, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/209945', 'objectid': 36422}], 'main': 'Determinants of Attitude Tourist in E-Tourism Usage.pdf', 'docid': 36422, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36422', 'pos': 1, 'format': 'text'}]",pub,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],2020-06-30 03:35:41,2020-06-30 03:35:41,"['Student of the Doctor Faculty of Economics and Business, University of Lampung, Indonesia', 'Lecturer at the Faculty of Economics and Business, University of Lampung, Indonesia', 'Lecturer at the Faculty of Economics and Business, University of Lampung, Indonesia', 'Lecturer at the Faculty of Economics and Business, University of Lampung, Indonesia']",1046,,,TRUE,,7.0,4.0,6044-6050,2227-524X,International Journal of Enginering and Technology,,,,,,,,,,,,,,
3,published,17967,,show,7,http://sinta2.ristekdikti.go.id/authors/detail?id=6039551&view=book,Urgensi Strategi Pemasaran Dalam Upaya Pemberdayaan Usaha Kecil Yang Berdaya Saing Di Era Globalisasi,,['H1'],,2020-02-13 01:10:09,archive,,1970-01-01 00:00:00.000002018,disk0/00/01/79/67,"[{'id': 'satria.bangsawan@feb.unila.ac.id', 'name': {'given': 'Satria', 'lineage': None, 'family': 'Bangsawan', 'honourific': None}}]",['FEB6'],book,http://repository.lppm.unila.ac.id/id/eprint/17967,public,AURA CV. Anugrah Utama Raharja,"[{'eprintid': 17967, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 31112, 'main': 'Merged_File.pdf', 'files': [{'filesize': 10034499, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-02-12 00:05:57', 'hash': '9982d6a136d4c991cc69f6ec070e9d46', 'filename': 'Merged_File.pdf', 'fileid': 151352, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/151352', 'objectid': 31112}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31112', 'rev_number': 1}]",pub,"[{'type': 'http://www.loc.gov/loc.terms/relators/COV', 'id': 'igo@staff.unila.ac.id', 'name': {'given': 'Prayugo', 'lineage': None, 'honourific': None, 'family': 'Prayugo'}}]",2020-02-13 01:10:09,2020-02-13 01:10:09,,1046,,"[{'id': 'pr1nch1t4@yahoo.com', 'name': {'given': 'Mahrinasari', 'lineage': None, 'honourific': None, 'family': 'MS'}}]",TRUE,9786025940651,,,,,,,,,,,,,,,,,,,
4,published,6630,,show,8,,MODEL PERSEPSI PERILAKU ETIS ONLINE RETAIL TERHADAP NIAT PEMBELIAN ONLINE DENGAN RISIKO DAN KEPERCAYAAN SEBAGAI PEMEDIASI,"Lingkungan belanja online dan offline menyajikan pengalaman belanja yang berbeda. Pada belanja online, konsumen berinteraksi dengan peritel di ruang maya tanpa adanya tatap muka, konsumen pun tidak dapat melihat dan memeriksa produk yang dibelinya secara fisik seperti yang terjadi pada belanja offline. Belanja online menimbulkan unsur ketidakpastian akan kualitas dan kinerja produk yang dibeli, layanan purna jual, keamanan e-transaction, privasi informasi pribadi, serta kredibilitas retail online. Hal tersebut memungkinkan terjadinya pelanggaran etika oleh retail online, adanya risiko pembelian yang dirasakan konsumen, dan unsur ketidakpercayaan konsumen pada retail online yang berasal dari perbedaan antara ekspektasi dan realisasi yang dirasakan konsumen serta berdampak pada niat pembelian onlinenya.
Tujuan penelitian ini adalah untuk menguji pengaruh persepsi perilaku etis online retail terhadap niat pembelian online konsumen melalui kepercayaan konsumen pada situs online dan risiko yang dirasakan konsumen yang memediasinya. Penelitian dilakukan secara survey dengan metode non-probability sampling dan teknik purposive sampling, terhadap 270 responden konsumen online di Bandar Lampung.
Hasil penelitian menunjukkan bahwa persepsi perilaku etis online retail berpengaruh secara tidak langsung terhadap niat pembelian online konsumen, yang dimediasi oleh kepercayaan konsumen pada situs online retail dan risiko yang dirasakan konsumen. Jika konsumen merasa situs online retail beretika, maka dapat menurunkan tingkat risiko belanja online yang dirasakan konsumen serta meningkatkan kepercayaan konsumen pada situs online retail yang berdampak pada semakin kuatnya niat konsumen untuk melakukan pembelian online

Kata Kunci :  Persepsi Perilaku Etis, Risiko Online, Kepercayaan Konsumen, Niat Pembelian Online","['H1', 'HF']",,2018-04-25 08:31:10,archive,,2018-02-08 00:00:00.000000000,disk0/00/00/66/30,"[{'id': 'yuniarti.fihartini@feb.unila.ac.id', 'name': {'given': 'Yuniarti', 'honourific': None, 'family': 'Fihartini', 'lineage': None}}]",['FEB6'],article,http://repository.lppm.unila.ac.id/id/eprint/6630,public,,"[{'files': [{'filesize': 5058549, 'datasetid': 'document', 'mtime': '2018-03-21 07:34:30', 'hash_type': 'MD5', 'hash': '581da4d571f026f43a93f7a05d35012e', 'filename': 'Prosiding.pdf', 'fileid': 61155, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/61155', 'objectid': 19598}], 'docid': 19598, 'main': 'Prosiding.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19598', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 6630, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,,2018-04-25 08:31:10,2018-04-25 08:31:10,['Universitas Lampung'],174,,,TRUE,,,,,,Prosiding Seminar Nasional Forum Pendidikan Tinggi Vokasi Indonesia (FPTVI) Tahun 2018: “Membangun Sinergi Penelitian Terapan Dengan Kebutuhan Pembangunan Daerah dan Dunia Industri”,,,,,,,,,,,,,,
5,published,6940,,show,9,,MODEL PERSEPSI PERILAKU ETIS ONLINE RETAIL TERHADAP NIAT PEMBELIAN ONLINE DENGAN RISIKO DAN KEPERCAYAAN SEBAGAI PEMEDIASI,"Lingkungan belanja online dan offline menyajikan pengalaman belanja yang berbeda. Pada belanja
online, konsumen berinteraksi dengan peritel di ruang maya tanpa adanya tatap muka, konsumen pun
tidak dapat melihat dan memeriksa produk yang dibelinya secara fisik seperti yang terjadi pada belanja
offline. Belanja online menimbulkan unsur ketidakpastian akan kualitas dan kinerja produk yang dibeli,
layanan purna jual, keamanan e-transaction, privasi informasi pribadi, serta kredibilitas retail online.
Hal tersebut memungkinkan terjadinya pelanggaran etika oleh retail online, adanya risiko pembelian
yang dirasakan konsumen, dan unsur ketidakpercayaan konsumen pada retail online yang berasal dari
perbedaan antara ekspektasi dan realisasi yang dirasakan konsumen serta berdampak pada niat
pembelian onlinenya.
Tujuan penelitian ini adalah untuk menguji pengaruh persepsi perilaku etis online retail terhadap niat
pembelian online konsumen melalui kepercayaan konsumen pada situs online dan risiko yang dirasakan
konsumen yang memediasinya. Penelitian dilakukan secara survey dengan metode non-probability
sampling dan teknik purposive sampling, terhadap 270 responden konsumen online di Bandar
Lampung.
Hasil penelitian menunjukkan bahwa persepsi perilaku etis online retail berpengaruh secara tidak
langsung terhadap niat pembelian online konsumen, yang dimediasi oleh kepercayaan konsumen pada
situs online retail dan risiko yang dirasakan konsumen. Jika konsumen merasa situs online retail
beretika, maka dapat menurunkan tingkat risiko belanja online yang dirasakan konsumen serta
meningkatkan kepercayaan konsumen pada situs online retail yang berdampak pada semakin kuatnya
niat konsumen untuk melakukan pembelian online","['H1', 'HF']",,2018-05-28 03:44:51,archive,,2018-02-08 00:00:00.000000000,disk0/00/00/69/40,"[{'name': {'family': 'Fihartini', 'honourific': None, 'lineage': None, 'given': 'Yuniarti'}, 'id': 'yuniarti.fihartini@feb.unila.ac.id'}]",['FEB6'],article,http://repository.lppm.unila.ac.id/id/eprint/6940,public,Forum Pendidikan Tinggi Vokasi Indonesia (FPTVI) Tahun 2018,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 6940, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19910', 'rev_number': 1, 'main': 'PROSIDING SEMINAR NASIONAL FPTVI 2018.pdf', 'docid': 19910, 'files': [{'filesize': 8573611, 'datasetid': 'document', 'mtime': '2018-05-26 01:32:34', 'hash_type': 'MD5', 'hash': 'a26c6ea7576a7a7c624b9416bf8c6219', 'filename': 'PROSIDING SEMINAR NASIONAL FPTVI 2018.pdf', 'fileid': 63570, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/63570', 'objectid': 19910}]}]",pub,,2018-05-28 03:44:51,2018-05-28 03:44:51,['Universitas Lampung'],174,,,TRUE,,,,385-405,978-602-51407-0-9,Prosiding Seminar Nasional Forum Pendidikan Tinggi Vokasi Indonesia (FPTVI) Tahun 2018: “Membangun Sinergi Penelitian Terapan Dengan Kebutuhan Pembangunan Daerah dan Dunia Industri”.,,,,,,,,,,,,,,
6,published,12714,,show,9,,"Penyebab Dan Konsekuensi Kepuasan Konsumen:
Suatu Perspektif Holistik Pengalaman Belanja Online","Belanja online menyajikan lingkungan dan suasana yang berbeda dengan belanja secara offline. Keterlibatan konsumen secara fisik, sensoris,rasional, dan emosional, dalam proses belanja online menciptakan pengalaman yangberbeda dengan belanja secara offline. Hal tersebut menjadi tantangan bagi bisnisonline dalam menciptakan pengalaman berbelanja yang dinamis, menarik, danbernilai seperti yang didapat konsumen dari toko offline, agar tercipta kepuasankonsumen dan berdampak pada loyalitasnya. Penelitian ini bertujuan untuk mengetahui penyebab dan hasil dari kepuasankonsumen online dengan mengidentifikasi faktor-faktor pengalaman belanja onlinesecara menyeluruh pada proses pembelian online mulai dari tahap pra-pembelian,tahap pembelian, dan tahap pasca-pembelian, menggunakan metode survei melaluiwawancara dan penyebaran kuesioner baik online maupun offline dengan tekniknon-probabilitysampling kepada konsumen yang pernah melakukan belanja padatoko online Lazada, sebanyak 450 responden. Pengujian hipotesis penelitian inidilakukan secara multivariate dengan teknik analisis data menggunakan StructuralEquation Model (SEM) pada aplikasi Amos. Hasilpenelitian ini menunjukkan bahwa dimensi-dimensi dari tiga tahapanpengalaman belanja online mulai dari tahap pra pembelian, tahap pembelian, dantahap setelah pembelian terbukti memiliki pengaruh terhadap kepuasan kosumendalam berbelanja online yang berdampak pada loyalitas konsumen konsumen padatoko online. Secara keseluruhan bahwa kepuasan konsumen online terbentuk daripengalaman positif dalam tiga tahap belanja online tersebut. Pengalaman atas kualitasinformasi produk yang disajukan pada website took online, penampilan website, dankemudahan menyelesaikan transaksi paling dominan dalam membentuk kepuasankonsumen online.",['H1'],,2019-05-14 08:17:50,archive,,2018-11-15 00:00:00.000000000,disk0/00/01/27/14,"[{'id': 'yuniarti.fihartini@feb.unila.ac.id', 'name': {'given': 'Yuniarti', 'lineage': None, 'honourific': None, 'family': 'Fihartini'}}, {'id': 'dwiasrisitiambarwati@gmail.com', 'name': {'honourific': None, 'family': 'Dwi asri siti', 'lineage': None, 'given': 'ambarwati'}}, {'id': None, 'name': {'honourific': None, 'family': 'Karim', 'lineage': None, 'given': 'Mirwan'}}]",['FEB6'],article,http://repository.lppm.unila.ac.id/id/eprint/12714,public,"Fakultas Ekonomi dan Bisnis, Universitas Lampung","[{'eprintid': 12714, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'PROCEEDING SEMNAS FEB 2018-Penyebab-Dan-Konsekuensi-Yuniarti-Fihartini-1.pdf', 'docid': 25696, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/112434', 'objectid': 25696, 'mtime': '2019-05-10 15:55:06', 'hash_type': 'MD5', 'filename': 'PROCEEDING SEMNAS FEB 2018-Penyebab-Dan-Konsekuensi-Yuniarti-Fihartini-1.pdf', 'hash': 'cf2e5ce93dc7624ecde90452ad8702e4', 'fileid': 112434, 'mime_type': 'application/pdf', 'filesize': 781540, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25696', 'rev_number': 1}]",pub,,2019-05-14 08:17:50,2019-05-14 08:17:50,['Universitas Lampung'],174,,,TRUE,,,,204-214,978-602-53436-1-2,Prosiding Penelitian: Seminar Nasional Fakultas Ekonomi dan Bisnis Universitas Lampung,,,,,,,,,,,,,,
7,published,23346,Bandar Lampung,show,7,http://repository.lppm.unila.ac.id/id/eprint/7528,Financial Performance Small Versus Larges Listed Companies in Indonesia. International Finance Association. (Unpublished),"SIMILARITY CHECK:
This study aims to continue the results of previous studies on the Indonesia Stock Exchange, which large companies provide greater returns than small companies. This is in contrast to previous research results in several countries and world stock markets. Based on these findings, the question arises, Is a large company that produces a larger return compared with a small company supported by good financial performance as well? The study was conducted using the same data and period with the previous research. The selected sample of 60 companies is separated into small companies and large companies during 2013-2015. The results found that large companies generally had better financial performance and lower financial risk than small companies. In addition to financial performance, the good performance of large companies is also due to the balanced composition of ownership structure. Keywords: Small Companies, Larges Companies, Financial Performace, ownership structure",['HG'],[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/7528'}],2020-07-24 00:56:23,archive,,1970-01-01 00:00:00.000002018,disk0/00/02/33/46,"[{'id': 'sri.hasnawati@feb.unila.ac.id', 'name': {'given': 'Sri', 'family': 'Hasnawati', 'honourific': None, 'lineage': None}}]",['FEB6'],other,http://repository.lppm.unila.ac.id/id/eprint/23346,public,IFA,"[{'security': 'public', 'placement': 1, 'eprintid': 23346, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 36940, 'uri': 'http://repository.lppm.unila.ac.id/id/file/213569', 'fileid': 213569, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-07-23 08:47:26', 'hash': 'bb1a8db3028664ff835c21ea426a1dc2', 'filename': 'Similarity Check  Financial Performance Small Versus Larges Listed Companies in Indonesia IFA 4.pdf', 'datasetid': 'document', 'filesize': 3486742}], 'docid': 36940, 'main': 'Similarity Check  Financial Performance Small Versus Larges Listed Companies in Indonesia IFA 4.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36940', 'format': 'text', 'pos': 1}]",pub,,2020-07-24 00:56:23,2020-07-24 00:56:23,['Universitas Lampung'],1031,,,,,,,,,,,,,,,,,,,,,,,
8,published,26585,INDONESIA,show,7,http://repository.lppm.unila.ac.id/id/eprint/12165,"Form Penilaian Reviewer, Hubungan Dewan Direksi dan kinerja keuangan perusahaan kapitalisasi kecil di BEI","Form Penilaian reviewer: This study aims to see the relation between the number of board directors and the financial performance of small companies that have small capital values on the Indonesia Stock Exchange. The observation was carried out in the year of 2012 to 2014. The research population was all public companies in Indonesia. The samples were sorted out from the highest to the lowest capital values by using the 2015 data. A number of 50 shares that have the lowest capital value were used as samples. As many as 27 companies had fulfilled the selection requirements and became the research samples. The result of the study shows that the company's financial performance in generating profits is quite high (25%). With an average number of three board directors, the small capital firms are able to contribute positively to the company's financial performance.",['HG'],[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/12165'}],2020-11-22 11:50:26,archive,,2018-11-01 00:00:00.000000000,disk0/00/02/65/85,"[{'id': 'sri.hasnawati@feb.unila.ac.id', 'name': {'given': 'Sri', 'honourific': None, 'family': 'Hasnawati', 'lineage': None}}]",['FEB6'],other,http://repository.lppm.unila.ac.id/id/eprint/26585,public,FMI- Palembang,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40482', 'docid': 40482, 'main': '10. Reviewer Hubungan dewan direksi dan kinerja keu perusahaan.pdf', 'files': [{'objectid': 40482, 'uri': 'http://repository.lppm.unila.ac.id/id/file/238999', 'fileid': 238999, 'mime_type': 'application/pdf', 'mtime': '2020-11-22 05:37:56', 'hash_type': 'MD5', 'hash': '7d50aa6364912efaa0bdcb78ee499c4e', 'filename': '10. Reviewer Hubungan dewan direksi dan kinerja keu perusahaan.pdf', 'datasetid': 'document', 'filesize': 568156}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 26585, 'placement': 1, 'security': 'public'}]",pub,"[{'name': {'family': 'Hasnawati', 'honourific': None, 'lineage': None, 'given': 'Sri'}}]",2020-11-22 11:50:26,2020-11-22 11:50:26,['Universitas Lampung'],1031,,,,,,,,,,,,,,,,,,,,,,,
9,published,26589,Bandar lampung Indonesia,show,7,http://repository.lppm.unila.ac.id/id/eprint/12138,Form Penilaian Reviewer: Financial Performance small versos large listed companies in Indonesia.,"Form Penilaian Reviewer; This study aims to continue the results of previous studies on the Indonesia Stock Exchange, which large companies provide greater returns than small companies. This is in contrast to previous research results in several countries and world stock markets. Based on these findings, the question arises, Is a large company that produces a larger return compared with a small company supported by good financial performance as well? The study was conducted using the same data and period with the previous research. The selected sample of 60 companies is separated into small companies and large companies during 2013-2015. The results found that large companies generally had better financial performance and lower financial risk than small companies. In addition to financial performance, the good performance of large companies is also due to the balanced composition of ownership structure.",['HG'],[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/12138'}],2020-11-22 11:50:45,archive,,1970-01-01 00:00:00.000002018,disk0/00/02/65/89,"[{'id': 'sri.hasnawati@feb.unila.ac.id', 'name': {'family': 'Hasnawati', 'honourific': None, 'lineage': None, 'given': 'Sri'}}]",['FEB6'],other,http://repository.lppm.unila.ac.id/id/eprint/26589,public,IFA- Unila,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40487', 'main': '12. Reviewer Financial performance small versus.pdf', 'docid': 40487, 'files': [{'datasetid': 'document', 'filesize': 559185, 'mime_type': 'application/pdf', 'fileid': 239028, 'filename': '12. Reviewer Financial performance small versus.pdf', 'hash': '2708d2a8c3ce555399f79055805791fe', 'hash_type': 'MD5', 'mtime': '2020-11-22 06:08:36', 'objectid': 40487, 'uri': 'http://repository.lppm.unila.ac.id/id/file/239028'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 26589, 'security': 'public', 'placement': 1}]",pub,"[{'name': {'given': 'Sri', 'lineage': None, 'honourific': None, 'family': 'Hasnawati'}}]",2020-11-22 11:50:45,2020-11-22 11:50:45,['Universitas lampung'],1031,,,,,,,,,,,,,,,,,,,,,,,
