,date_type,eprintid,event_title,metadata_visibility,event_type,rev_number,official_url,title,abstract,subjects,status_changed,eprint_status,dir,date,creators,divisions,type,refereed,full_text_status,uri,pres_type,documents,ispublished,datestamp,pagerange,lastmod,userid,publisher,id_number,number,issn,publication,volume,related_url,corp_creators,patent_applicant,referencetext,keywords,contact_email,event_dates,event_location
0,published,23910,Indonesian Operations Research Association - International Conference on Operations Research 2017,show,conference,7,http://doi.org/10.1088/1757-899X/332/1/012003,Solving Fuzzy Shortest Path Problem by Genetic Algorithm,"Shortest Path Problem (SPP) is known as one of well-studied fields in the area Operations Research and Mathematical Optimization. It has been applied for many engineering and management designs. The objective is usually to determine path(s) in the network with minimum total cost or traveling time. In the past, the cost value for each arc was usually assigned or estimated as a deteministic value. For some specific real world applications, however, it is often difficult to determine the cost value properly. One way of handling such uncertainty in decision making is by introducing fuzzy approach. With this situation, it will become difficult to solve the problem optimally. This paper presents the investigations on the application of Genetic Algorithm (GA) to a new SPP model in which the cost values are represented as Triangular Fuzzy Number (TFN). We adopts the concept of ranking fuzzy numbers to determine how good the solutions. Here, by giving his/her degree value, the decision maker can determine the range of objective value. This would be very valuable for decision support system in the real world applications.Simulation experiments were carried out by modifying several test problems with 10-25 nodes. It is noted that the proposed approach is capable attaining a good solution with different degree of optimism for the tested problems.",['T1'],2020-09-07 07:59:52,archive,disk0/00/02/39/10,1970-01-01 00:00:00.000002018,"[{'name': {'family': 'Admi Syarif', 'honourific': None, 'lineage': None, 'given': 'AS'}, 'id': 'admi_syarif@yahoo.com'}, {'id': 'kurnia.muludi@fmipa.unila.ac.id', 'name': {'given': 'Kurnia', 'honourific': None, 'family': 'Muludi', 'lineage': None}}, {'id': 'rico.andrian@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Andrian', 'honourific': None, 'given': 'Rico'}}, {'id': 'mitsuogen@gmail.com', 'name': {'honourific': None, 'family': 'Gen', 'lineage': None, 'given': 'Mitsuo'}}]",['FMIPA3'],conference_item,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/23910,paper,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37588', 'main': 'SI_11_IOP_ICSTAR_2018 - Volume 332.pdf', 'docid': 37588, 'files': [{'objectid': 37588, 'uri': 'http://repository.lppm.unila.ac.id/id/file/218009', 'fileid': 218009, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-09-07 05:46:42', 'hash': 'd097a98d1adb4f960c7a4ae22284e490', 'filename': 'SI_11_IOP_ICSTAR_2018 - Volume 332.pdf', 'datasetid': 'document', 'filesize': 1269619}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 23910, 'security': 'public', 'placement': 1}]",pub,2020-09-07 07:59:52,1-12,2020-09-07 07:59:52,725,,,,,,,,,,,,,,
1,,28374,,show,,7,http://doi.org/10.1088/1757-899X/332/1/012003,Peer Review: Solving fuzzy shortest path problem by genetic algorithm,"Shortest Path Problem (SPP) is known as one of well-studied fields in the area Operations Research and Mathematical Optimization. It has been applied for many engineering and management designs. The objective is usually to determine path(s) in the network with minimum total cost or traveling time. In the past, the cost value for each arc was usually assigned or estimated as a deteministic value. For some specific real world applications, however, it is often difficult to determine the cost value properly. One way of handling such uncertainty in decision making is by introducing fuzzy approach. With this situation, it will become difficult to solve the problem optimally. This paper presents the investigations on the application of Genetic Algorithm (GA) to a new SPP model in which the cost values are represented as Triangular Fuzzy Number (TFN). We adopts the concept of ranking fuzzy numbers to determine how good the solutions. Here, by giving his/her degree value, the decision maker can determine the range of objective value. This would be very valuable for decision support system in the real world applications.Simulation experiments were carried out by modifying several test problems with 10-25 nodes. It is noted that the proposed approach is capable attaining a good solution with different degree of optimism for the tested problems.",['T1'],2021-04-01 01:47:18,archive,disk0/00/02/83/74,2018-04-01 00:00:00.000000000,"[{'name': {'lineage': None, 'family': 'Admi Syarif', 'honourific': None, 'given': 'AS'}, 'id': 'admi_syarif@yahoo.com'}, {'name': {'family': 'Rico Andrian', 'honourific': None, 'lineage': None, 'given': 'RA'}, 'id': 'rico.andrian@fmipa.unila.ac.id'}, {'id': 'kurnia.muludi@fmipa.unila.ac.id', 'name': {'given': 'Kurnia', 'lineage': None, 'family': 'Muludi', 'honourific': None}}, {'id': 'mitsuogen@gmail.com', 'name': {'given': 'Mitsuo', 'lineage': None, 'family': 'Gen', 'honourific': None}}]",['FMIPA3'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/28374,,"[{'files': [{'filesize': 2559494, 'datasetid': 'document', 'filename': '18. iop17_nilai.pdf', 'hash': 'da9f47e701126faf7ca0759e0772cb43', 'mtime': '2021-03-31 19:55:06', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 255549, 'uri': 'http://repository.lppm.unila.ac.id/id/file/255549', 'objectid': 42891}], 'docid': 42891, 'main': '18. iop17_nilai.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42891', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 28374, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,2021-04-01 01:47:18,,2021-04-01 01:47:18,725,IOP Publishing,DOI: 10.1088/1757-899X/332/1/012003,,,,,,,,,,,,
2,,16018,,show,,7,http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1655/1332,Sistem Informasi Kuliah Kerja Nyata (KKN) Berbasis Android Universitas Lampung,,['QA76'],2019-11-08 10:27:51,archive,disk0/00/01/60/18,2018-10-01 00:00:00.000000000,"[{'id': None, 'name': {'given': 'Aristoteles', 'lineage': None, 'family': 'Aristoteles', 'honourific': None}}, {'id': 'nur.efendi@fisip.unila.ac.id', 'name': {'family': 'Efendi', 'honourific': None, 'lineage': None, 'given': 'N'}}, {'name': {'given': 'Febi Eka', 'family': 'Febriansyah', 'honourific': None, 'lineage': None}, 'id': 'febi.febriansyah@fmipa.unila.ac.id'}]",['FMIPA3'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/16018,,"[{'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29117', 'docid': 29117, 'main': '1655-3869-1-PB.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/137301', 'objectid': 29117, 'mtime': '2019-11-08 09:47:34', 'hash_type': 'MD5', 'filename': '1655-3869-1-PB.pdf', 'hash': '3b5882563edee7eee88d031c895852bd', 'fileid': 137301, 'mime_type': 'application/pdf', 'filesize': 1039344, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 16018, 'security': 'public', 'placement': 1}]",pub,2019-11-08 10:27:51,1-10,2019-11-08 10:27:51,215,Jurusan Ilmu Komputer Universitas Lampung,,2.0,2541-0350,Jurnal Komputasi,6.0,,,,,,,,
3,published,16019,,show,,7,http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1573/1319,Panduan Lapangan Jenis Kupu-kupu di Lingkungan Universitas Lampung Berbasis Android,,['QA76'],2019-11-08 10:27:57,archive,disk0/00/01/60/19,2018-04-01 00:00:00.000000000,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Aristoteles', 'given': 'Aristoteles'}}, {'name': {'given': 'Martinus', 'honourific': None, 'family': 'Martinus', 'lineage': None}, 'id': 'martinus@eng.unila.ac.id'}]",['FMIPA3'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/16019,,"[{'files': [{'objectid': 29118, 'uri': 'http://repository.lppm.unila.ac.id/id/file/137308', 'datasetid': 'document', 'filesize': 465963, 'mime_type': 'application/pdf', 'fileid': 137308, 'filename': '1573-3789-1-PB.pdf', 'hash': '85ac98d81a77e28afbddae5305a1a748', 'hash_type': 'MD5', 'mtime': '2019-11-08 09:51:10'}], 'docid': 29118, 'main': '1573-3789-1-PB.pdf', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29118', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 16019, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,2019-11-08 10:27:57,64-74,2019-11-08 10:27:57,215,Jurusan Ilmu Komputer Universitas Lampung,,1.0,2541-0350,Jurnal Komputasi,6.0,,,,,,,,
4,,9594,,show,,18,https://www.scirp.org/journal/PaperInformation.aspx?PaperID=85685,Improving Protein Sequence Classification Performance Using Adjacent and Overlapped Segments on Existing Protein Descriptors,"In protein sequence classification research, it is popular to convert a variable length sequence of protein into a fixed length numerical vector by using various descriptors, for instance, composition of k-mer composition. Such position-independent descriptors are useful since they are applicable to any length of sequence; however, positional information of subsequence is discarded even though it might have high contribution to classification performance. To solve this problem, we divided the original sequence into some segments, and then calculated the numerical features for them. It enables us to partially introduce positional information (for instance, compositions of serine in anterior and posterior segments of a sequence). Through comprehensive experiments on the number of segments and length of overlapping region, we found our classification approach with sequence segmentation and feature selection is effective to improve the performance. We evaluated our approach on three protein classification problems and achieved significant improvement in all cases which have a dataset with sufficient amino acid in each sequence. This result has shown the great potential of using additional segments in protein sequence classification to solve other sequence problems in bioinformatics.",['QA75'],2018-11-16 17:22:03,archive,disk0/00/00/95/94,2018-06-29 00:00:00.000000000,"[{'id': 'reza.faisal@gmail.com', 'name': {'given': 'Muhammad Reza', 'family': 'Faisal', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'lineage': None, 'family': 'Abipihi', 'honourific': None, 'given': 'Bahriddin'}}, {'id': None, 'name': {'given': 'Ngoc G', 'lineage': None, 'honourific': None, 'family': 'Nguyen'}}, {'id': None, 'name': {'given': 'Bedy', 'lineage': None, 'honourific': None, 'family': 'Purnama'}}, {'id': None, 'name': {'given': 'Mera K', 'family': 'Delimayanti', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'given': 'Dau', 'lineage': None, 'honourific': None, 'family': 'Phan'}}, {'id': None, 'name': {'given': 'Favorisen R', 'lineage': None, 'honourific': None, 'family': 'Lumbanraja'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Kubo', 'given': 'Mamoru'}}, {'id': None, 'name': {'given': 'Kenji', 'lineage': None, 'family': 'Satou', 'honourific': None}}]",['FMIPA3'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/9594,,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/22625', 'rev_number': 1, 'main': 'JBiSE_2018062813402281.pdf', 'docid': 22625, 'files': [{'datasetid': 'document', 'filesize': 415501, 'fileid': 91160, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-11-07 04:32:40', 'hash': '6ba836a5d77e9015ee2468f9faec34d4', 'filename': 'JBiSE_2018062813402281.pdf', 'objectid': 22625, 'uri': 'http://repository.lppm.unila.ac.id/id/file/91160'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 9594, 'placement': 1, 'security': 'public'}]",pub,2018-11-16 17:22:03,126-143,2018-11-16 17:22:03,99,Scientific Research,https://doi.org/10.4236/jbise.2018.116012,6.0,1937-6871,Journal of Biomedical Science and Engineering,11.0,,,,,,,,
5,,10117,,show,,7,http://jurnalsaintek.uinsby.ac.id/index.php/SYSTEMIC/,Priority Determination of Application Candidate UsingWard and Peppard’s Composite Matrix Portfolio and Business Process Analysis for Customer Relationship Management (CRM),"By using CRM, the organization will be able to identify of what customerrequires and needs, thus will improve the service. The designing of CRMthe ComputerScience Department using Zachman  Framework  is  one  of  the  approach  methods to  serve  customers  in  better  ways. Zachman  Framework  has  not  provided  a  method  for  determining the  priority  of  the application candidates that will be designed.In this research the authors use the Ward and Peppard’scomposite matrix portfolio and business process analysis for priority to determine the priority of application candidates. The phase of candidate’sdetermination by using Ward and Peppard’s composite matrix and business processconsist of six steps.The results arein the form of mappingfor each application candidate/application system into four quadrants which are providedin compositematrix for the decision-makingprocess. The matrixconsistsof keyoperational,  strategic,  high  potential  and  support.  The  mapping  on  Ward  and Peppard’s  composite  matrix  is  then  used  to  separate  the  application  candidates  into  two groups, the main priority of application group/information system and non-main priority of application  group/information  system.  There  are  five  information  systems  which  are classified into mainpriority application group/information systemand recommended to be developedin further research",['QA75'],2018-11-16 17:27:22,archive,disk0/00/01/01/17,2018-08-01 00:00:00.000000000,"[{'name': {'family': 'Hijriani', 'honourific': None, 'lineage': None, 'given': 'Astria'}, 'id': 'astria.hijriani@gmail.com'}, {'id': 'aprilliadewi06@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Aprillia', 'given': 'Dewi'}}]",['FMIPA3'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/10117,,"[{'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23126', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 4317, 'fileid': 94789, 'mime_type': 'text/html', 'mtime': '2018-11-16 03:24:38', 'hash_type': 'MD5', 'hash': '019f1c665e4ac95c8a8f3a28e6e6851f', 'filename': 309, 'objectid': 23126, 'uri': 'http://repository.lppm.unila.ac.id/id/file/94789'}], 'main': 309, 'docid': 23126, 'content': 'published', 'mime_type': 'text/html', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 10117}]",pub,2018-11-16 17:27:22,30-38,2018-11-16 17:27:22,80,Fakultas Sains dan Teknologi Universitas Islam Negeri Sunan Ampel Surabaya,https://doi.org/10.29080/systemic.v4i1,1.0,2548-6551,SYSTEMIC : Information System and Informatics Journal,4.0,"[{'url': 'http://jurnalsaintek.uinsby.ac.id/index.php/SYSTEMIC/issue/view/42', 'type': 'pub'}]","['Lampung University', 'Lampung University']",,,,,,
6,published,19841,,show,,7,https://jurnal.fmipa.unila.ac.id/komputasi/article/view/1699,Simulasi Sistem Informasi Komoditas Pasar Berbasis Web Menggunakan Metode Continuous Double Auction,"Sale-purchase often expect the occurrence of mutually fair transaction. Perfect Competition Market is an ideal market structure, because many sellers and buyers will be determined the price based on demand and supply. Continuous Double Auction (CDA) is one method that allows the occurrence of many transactions with the result that buyers get the cheapest price and the seller get a highest price. Currently, transactions can be made online by multiple platforms that promise the information, spacious seller and buyer access, and perfect price competition. CDA method can also be applied to the online market system. This research tries to make e-auction system and simulate that  market commodities using CDA method, focusing on the indication of price change (price fluctuation) that happened. The quantity of participants who make a sale or buy will also affect the price fluctuation changes. If there are more sellers than the buyer, the market increase (Bullish) and otherwise the market decrease (Bearish). The simulation which applies profit-selling strategy, will increase the price higher than the random simulation.",['QA75'],2020-05-18 02:22:29,archive,disk0/00/01/98/41,2018-10-01 00:00:00.000000000,"[{'id': None, 'name': {'honourific': None, 'family': 'Krisnanto', 'lineage': None, 'given': 'Feri'}}, {'name': {'lineage': None, 'family': 'Tristiyanto', 'honourific': None, 'given': 'Tristiyanto'}, 'id': 'tristiyanto.1981@fmipa.unila.ac.id'}, {'name': {'given': 'Ardiansyah', 'lineage': None, 'family': 'Ardiansyah', 'honourific': None}, 'id': 'ardiansyah@fmipa.unila.ac.id'}]",['FMIPA3'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/19841,,"[{'format': 'text', 'pos': 1, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33141', 'main': 1699, 'docid': 33141, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/187857', 'objectid': 33141, 'filesize': 28923, 'datasetid': 'document', 'mtime': '2020-05-17 04:18:50', 'hash_type': 'MD5', 'filename': 1699, 'hash': 'b0555407038c84f572f1b5f89d8e7f1d', 'fileid': 187857, 'mime_type': 'text/html'}], 'mime_type': 'text/html', 'language': 'id', 'eprintid': 19841, 'security': 'public', 'placement': 1}]",pub,2020-05-18 02:22:29,88-96,2020-05-18 02:22:29,139,Jurusan Ilmu Komputer Universitas Lampung,,2.0,2541-0350,Jurnal Komputasi,6.0,,,,,,,,
7,published,15987,,show,,8,https://e-hakcipta.dgip.go.id/index.php/c?code=m8K6%2FjrOD4iKqq032gBolf1B9%2BGcXscRRet1POxuOJM%3D,Sistem Informasi Pemetaan UMKM,,['QA76'],2019-11-08 10:22:08,archive,disk0/00/01/59/87,2018-10-19 00:00:00.000000000,"[{'id': '.didikunila@gmail.com', 'name': {'given': 'Didik', 'lineage': None, 'honourific': None, 'family': 'Kurniawan'}}, {'id': '.', 'name': {'given': 'Anie Rose', 'family': 'Irawati', 'honourific': None, 'lineage': None}}]",['FMIPA3'],patent,,public,http://repository.lppm.unila.ac.id/id/eprint/15987,,"[{'docid': 29077, 'main': 'Sertifikat_EC00201850274_000121567.pdf', 'files': [{'fileid': 137038, 'mime_type': 'application/pdf', 'mtime': '2019-11-08 08:18:59', 'hash_type': 'MD5', 'hash': 'de4e87b81d3a5c9ffde5d37b133f1e1f', 'filename': 'Sertifikat_EC00201850274_000121567.pdf', 'datasetid': 'document', 'filesize': 771138, 'objectid': 29077, 'uri': 'http://repository.lppm.unila.ac.id/id/file/137038'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29077', 'rev_number': 2, 'eprintid': 15987, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,2019-11-08 10:22:08,,2019-11-08 10:22:08,193,,121567,,,,,,,Program Komputer,,,,,
8,published,9593,,show,,9,https://www.scirp.org/journal/PaperInformation.aspx?PaperID=85690,"Improved Protein Phosphorylation Site Prediction by a
New Combination of Feature Set and Feature Selection","Phosphorylation of protein is an important post-translational modification that enables activation
of various enzymes and receptors included in signaling pathways. To reduce the cost of identifying phosphorylation site by laborious experiments, computational prediction of it has been actively studied. In this study, by adopting a new set of features and applying  feature selection by Random Forest with grid search before training by Support Vector Machine, our method achieved better or comparable performance of phosphorylation site prediction for two different data sets.",['QA75'],2018-11-16 17:22:00,archive,disk0/00/00/95/93,2018-06-29 00:00:00.000000000,"[{'name': {'given': 'Favorisen R', 'family': 'Lumbanraja', 'honourific': None, 'lineage': None}, 'id': 'favorisen@gmail.com'}, {'name': {'family': 'Nguyen', 'honourific': None, 'lineage': None, 'given': 'Ngoc G'}, 'id': None}, {'name': {'given': 'Dau', 'family': 'Phan', 'honourific': None, 'lineage': None}, 'id': None}, {'id': None, 'name': {'given': 'Mohammad  Reza', 'lineage': None, 'family': 'Faisal', 'honourific': None}}, {'name': {'given': 'Bahriddin', 'lineage': None, 'family': 'Abipihi', 'honourific': None}, 'id': None}, {'id': None, 'name': {'given': 'Bedy', 'family': 'Purnama', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Mera K', 'family': 'Delimayanti', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'family': 'Kubo', 'honourific': None, 'lineage': None, 'given': 'Mamoru'}, 'id': None}, {'id': None, 'name': {'given': 'Kenji', 'honourific': None, 'family': 'Satou', 'lineage': None}}]",['FMIPA3'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/9593,,"[{'docid': 22624, 'main': 'JBiSE_2018062813462109.pdf', 'files': [{'hash': '2a099449fb464aade7e154103dd8c8b4', 'filename': 'JBiSE_2018062813462109.pdf', 'hash_type': 'MD5', 'mtime': '2018-11-07 04:02:21', 'mime_type': 'application/pdf', 'fileid': 91154, 'filesize': 1914653, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/91154', 'objectid': 22624}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22624', 'eprintid': 9593, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",pub,2018-11-16 17:22:00,144-157,2018-11-16 17:22:00,99,Scientific Research,https://doi.org/10.4236/jbise.2018.116013,6.0,1937-6871,Journal of Biomedical Science and Engineering,11.0,,,,,,,,
9,,14498,,show,,8,,Peer Review paper ARSITEKTUR SISTEM EKSTRKSI INFORMASI,,['QA76'],2019-10-15 02:03:36,archive,disk0/00/01/44/98,1970-01-01 00:00:00.000002018,"[{'id': 'kurnia.muludi@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Muludi', 'given': 'Kurnia'}}]",['FMIPA3'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/14498,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/27578', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 27578, 'uri': 'http://repository.lppm.unila.ac.id/id/file/125653', 'datasetid': 'document', 'filesize': 868197, 'fileid': 125653, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-10-09 03:40:19', 'hash': '60ae300dde058cfe1ca15bc125c5d237', 'filename': 'ARSITEKTUR SISTEM EKSTRKSI INFORMASI 2018.pdf'}], 'docid': 27578, 'main': 'ARSITEKTUR SISTEM EKSTRKSI INFORMASI 2018.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 14498}]",unpub,2019-10-15 02:03:36,,2019-10-15 02:03:36,883,Universitas Lampung,,,,,,,,,,,,,
